Date,KOSPI,KOSDAQ,Energy,Chemicals,Nonferrous Metals,Materials,Construction,Macinery,Shipbuilding,Capital Goods,Transportation,Automobiles,Consumer Durables,Hotels,Media,Retail,Consumer Staples,Healthcare,Banking,Securities,Insurance,Software,IT hardware,Semiconductors,IT home appliance,Display,Communication Services,Utilities
2011-01-07,109461 ,5760 ,4847 ,8412 ,1506 ,6710 ,3988 ,2181 ,5682 ,1434 ,2669 ,13530 ,1307 ,827 ,712 ,2689 ,3457 ,919 ,12793 ,2292 ,3850 ,1944 ,2125 ,18534 ,3517 ,3205 ,3692 ,2400 
2011-01-14,109841 ,5733 ,4978 ,8447 ,1453 ,6614 ,4014 ,2158 ,6128 ,1445 ,2592 ,13592 ,1252 ,827 ,710 ,2694 ,3478 ,885 ,12905 ,2283 ,3882 ,1927 ,2125 ,18349 ,3554 ,3187 ,3689 ,2407 
2011-01-21,110074 ,5812 ,5096 ,8623 ,1469 ,6647 ,4074 ,2155 ,6361 ,1417 ,2604 ,13593 ,1268 ,848 ,757 ,2662 ,3426 ,899 ,13009 ,2289 ,3877 ,1897 ,2023 ,18290 ,3555 ,3133 ,3624 ,2292 
2011-01-28,110363 ,5765 ,5379 ,8776 ,1469 ,6619 ,4093 ,2136 ,6431 ,1410 ,2592 ,13640 ,1261 ,842 ,741 ,2672 ,3283 ,815 ,13118 ,2265 ,3896 ,1816 ,2020 ,18449 ,3546 ,3000 ,3573 ,2287 
2011-02-04,111799 ,5943 ,5426 ,8918 ,1477 ,6739 ,4147 ,2156 ,6415 ,1444 ,2585 ,13771 ,1273 ,849 ,753 ,2713 ,3338 ,842 ,13153 ,2309 ,3883 ,1849 ,2064 ,19070 ,3631 ,3061 ,3509 ,2367 
2011-02-11,112212 ,5754 ,5502 ,9032 ,1505 ,6747 ,4160 ,2142 ,6420 ,1481 ,2586 ,13773 ,1300 ,841 ,726 ,2727 ,3262 ,828 ,13280 ,2284 ,3853 ,1840 ,2096 ,19166 ,3620 ,3006 ,3494 ,2295 
2011-02-18,112220 ,5708 ,5546 ,9082 ,1493 ,6752 ,4166 ,2125 ,6403 ,1503 ,2420 ,13748 ,1299 ,828 ,715 ,2730 ,3287 ,811 ,13384 ,2279 ,3896 ,1808 ,2074 ,19258 ,3618 ,2987 ,3503 ,2214 
2011-02-25,112186 ,5505 ,5494 ,8971 ,1403 ,6772 ,4168 ,2022 ,6613 ,1491 ,2397 ,13930 ,1267 ,828 ,698 ,2741 ,3167 ,816 ,13388 ,2280 ,3888 ,1806 ,2082 ,19181 ,3626 ,2946 ,3503 ,2213 
2011-03-04,112999 ,5450 ,5562 ,9099 ,1428 ,6806 ,4222 ,2044 ,6593 ,1388 ,2449 ,14087 ,1223 ,836 ,684 ,2762 ,3096 ,846 ,13408 ,2311 ,3791 ,1841 ,2130 ,19156 ,4009 ,2980 ,3549 ,2151 
2011-03-11,112561 ,5609 ,5509 ,9063 ,1433 ,6813 ,4123 ,2094 ,6597 ,1405 ,2394 ,14112 ,1308 ,838 ,656 ,2754 ,3067 ,869 ,13409 ,2311 ,3806 ,1881 ,2048 ,18936 ,4011 ,2971 ,3549 ,2216 
2011-03-18,112448 ,5614 ,5643 ,9181 ,1450 ,6808 ,4122 ,2077 ,6581 ,1405 ,2386 ,14124 ,1303 ,833 ,654 ,2750 ,3126 ,863 ,13401 ,2311 ,3826 ,1881 ,2040 ,18861 ,3974 ,2885 ,3511 ,2065 
2011-03-25,112613 ,5574 ,5849 ,9259 ,1471 ,6788 ,4102 ,2087 ,6573 ,1399 ,2287 ,14208 ,1318 ,829 ,625 ,2767 ,3275 ,864 ,13448 ,2322 ,3840 ,1828 ,2018 ,18620 ,3919 ,2830 ,3518 ,2146 
2011-04-01,113483 ,5726 ,6086 ,9376 ,1520 ,6812 ,4165 ,2134 ,6524 ,1407 ,2314 ,14335 ,1341 ,835 ,663 ,2810 ,3323 ,836 ,13470 ,2323 ,3879 ,1864 ,2040 ,18905 ,3548 ,2987 ,3552 ,2163 
2011-04-08,113449 ,5713 ,6288 ,9468 ,1532 ,6846 ,4093 ,2141 ,6488 ,1417 ,2272 ,14532 ,1371 ,830 ,654 ,2892 ,3404 ,867 ,13384 ,2271 ,3919 ,1861 ,2003 ,18761 ,3520 ,2963 ,3502 ,1886 
2011-04-15,113890 ,5728 ,6375 ,9572 ,1579 ,6874 ,4087 ,2231 ,6440 ,1419 ,2349 ,14775 ,1362 ,820 ,668 ,2910 ,3409 ,881 ,13365 ,2267 ,3923 ,1874 ,1987 ,18744 ,3499 ,2826 ,3508 ,1874 
2011-04-22,114028 ,5670 ,6516 ,9886 ,1549 ,6913 ,4044 ,2202 ,6443 ,1424 ,2239 ,14928 ,1327 ,815 ,668 ,2916 ,3475 ,882 ,13397 ,2244 ,3974 ,1871 ,1982 ,18681 ,3257 ,2846 ,3490 ,1728 
2011-04-29,114632 ,5773 ,6634 ,10043 ,1586 ,6860 ,4036 ,2291 ,6549 ,1472 ,2154 ,15500 ,1326 ,836 ,688 ,2890 ,3492 ,900 ,13487 ,2244 ,3955 ,1879 ,1953 ,18600 ,3048 ,2793 ,3456 ,1733 
2011-05-06,116768 ,5928 ,6787 ,10246 ,1605 ,6889 ,4087 ,2361 ,6489 ,1493 ,2306 ,16032 ,1351 ,841 ,695 ,2922 ,3582 ,920 ,13601 ,2271 ,4003 ,1939 ,1991 ,18953 ,3108 ,2850 ,3573 ,1802 
2011-05-13,117340 ,5852 ,6939 ,10296 ,1541 ,6899 ,4084 ,2353 ,6426 ,1491 ,2173 ,16119 ,1346 ,839 ,696 ,2922 ,3600 ,918 ,13600 ,2302 ,4027 ,1930 ,2012 ,18924 ,3465 ,2802 ,3601 ,1890 
2011-05-20,117310 ,5892 ,7017 ,10451 ,1564 ,6902 ,4088 ,2357 ,6407 ,1470 ,2178 ,16145 ,1403 ,836 ,601 ,2939 ,3625 ,957 ,13565 ,2246 ,3967 ,2004 ,1966 ,18919 ,3475 ,2785 ,3618 ,1717 
2011-05-27,117444 ,5930 ,7091 ,10473 ,1559 ,6949 ,4082 ,2359 ,6389 ,1473 ,2145 ,16241 ,1420 ,830 ,601 ,2944 ,3628 ,961 ,13676 ,2209 ,3986 ,2014 ,1996 ,18905 ,3399 ,2792 ,3618 ,1634 
2011-06-03,118925 ,6146 ,7212 ,10649 ,1585 ,7012 ,4119 ,2385 ,6376 ,1467 ,2079 ,16438 ,1453 ,834 ,645 ,2968 ,3647 ,1024 ,13762 ,2237 ,4025 ,2045 ,2048 ,19264 ,3460 ,2848 ,3636 ,1855 
2011-06-10,119205 ,6126 ,7212 ,10619 ,1581 ,7039 ,4122 ,2380 ,6369 ,1477 ,2073 ,16462 ,1449 ,831 ,643 ,3437 ,3655 ,1024 ,13775 ,2204 ,4031 ,2030 ,2037 ,19103 ,3392 ,2807 ,3636 ,1943 
2011-06-17,118646 ,6223 ,7229 ,10683 ,1578 ,7024 ,4123 ,2374 ,6369 ,1479 ,2059 ,16469 ,1369 ,833 ,667 ,3382 ,3655 ,1028 ,13781 ,2184 ,4036 ,2034 ,2022 ,18800 ,3353 ,2723 ,3674 ,1941 
2011-06-24,118177 ,6138 ,7166 ,10677 ,1525 ,7012 ,4158 ,2359 ,6377 ,1462 ,2021 ,16473 ,1393 ,830 ,664 ,3291 ,3551 ,1038 ,13905 ,2184 ,4030 ,2045 ,2002 ,18737 ,3278 ,2679 ,3666 ,1790 
2011-07-01,120396 ,6298 ,7793 ,11202 ,1530 ,7078 ,4347 ,2498 ,6332 ,1628 ,1999 ,16725 ,1381 ,842 ,856 ,3473 ,3643 ,1061 ,13888 ,2200 ,4098 ,2179 ,1951 ,18732 ,3261 ,2665 ,3803 ,1531 
2011-07-08,119645 ,6238 ,7576 ,11182 ,1509 ,6988 ,4366 ,2450 ,6323 ,1679 ,1916 ,16800 ,1344 ,837 ,855 ,3508 ,3560 ,1059 ,13926 ,2201 ,4145 ,2153 ,1916 ,18356 ,3189 ,2660 ,3855 ,1531 
2011-07-15,119024 ,6120 ,7423 ,10956 ,1487 ,7025 ,4353 ,2395 ,6338 ,1615 ,1894 ,16826 ,1381 ,836 ,851 ,3420 ,3520 ,1011 ,14023 ,2170 ,4191 ,2175 ,1840 ,18271 ,3116 ,2588 ,3907 ,1530 
2011-07-22,119874 ,6031 ,7453 ,10867 ,1486 ,7388 ,4254 ,2388 ,6126 ,1564 ,1761 ,17816 ,1369 ,837 ,854 ,3346 ,3402 ,1008 ,14702 ,2167 ,4206 ,2185 ,1815 ,18030 ,3041 ,2365 ,3889 ,1585 
2011-07-29,119158 ,5945 ,7289 ,10823 ,1499 ,7418 ,4277 ,2452 ,6131 ,1586 ,1751 ,18291 ,1368 ,815 ,830 ,3307 ,3347 ,994 ,14446 ,2118 ,4269 ,2176 ,1712 ,17855 ,2900 ,2271 ,3844 ,1333 
2011-08-05,120358 ,6043 ,7334 ,10825 ,1478 ,7494 ,4349 ,2547 ,6121 ,1638 ,1633 ,18652 ,1390 ,820 ,862 ,3334 ,3384 ,1015 ,14573 ,2145 ,4375 ,2189 ,1734 ,18016 ,2913 ,2364 ,3755 ,1461 
