Date,KOSPI,KOSDAQ,Energy,Chemicals,Nonferrous Metals,Materials,Construction,Macinery,Shipbuilding,Capital Goods,Transportation,Automobiles,Consumer Durables,Hotels,Media,Retail,Consumer Staples,Healthcare,Banking,Securities,Insurance,Software,IT hardware,Semiconductors,IT home appliance,Display,Communication Services,Utilities
2011-01-07,121535 ,6538 ,5669 ,9630 ,1741 ,8179 ,4947 ,2709 ,6118 ,1480 ,3965 ,9003 ,1586 ,1037 ,821 ,3304 ,3798 ,1097 ,16595 ,2792 ,3634 ,2031 ,2578 ,20575 ,3441 ,3607 ,5479 ,2259 
2011-01-14,121595 ,6524 ,5799 ,9653 ,1669 ,7994 ,4962 ,2703 ,6513 ,1493 ,3866 ,8977 ,1516 ,1039 ,817 ,3302 ,3826 ,1056 ,16749 ,2784 ,3646 ,2015 ,2569 ,20414 ,3456 ,3583 ,5456 ,2262 
2011-01-21,121530 ,6678 ,5904 ,9806 ,1672 ,8024 ,4954 ,2700 ,6660 ,1478 ,3840 ,8983 ,1537 ,1068 ,882 ,3240 ,3752 ,1073 ,16964 ,2794 ,3632 ,1990 ,2426 ,20336 ,3465 ,3517 ,5391 ,2123 
2011-01-28,121767 ,6615 ,6246 ,9935 ,1671 ,7996 ,4942 ,2675 ,6687 ,1463 ,3841 ,9061 ,1528 ,1064 ,868 ,3230 ,3630 ,978 ,17129 ,2868 ,3657 ,1885 ,2369 ,20398 ,3519 ,3327 ,5294 ,2118 
2011-02-04,123714 ,6802 ,6321 ,10130 ,1682 ,8110 ,5016 ,2740 ,6665 ,1497 ,3861 ,9154 ,1544 ,1072 ,881 ,3266 ,3673 ,1006 ,17185 ,2929 ,3706 ,1915 ,2423 ,21002 ,3623 ,3385 ,5265 ,2468 
2011-02-11,124218 ,6558 ,6454 ,10216 ,1647 ,8114 ,5026 ,2733 ,6671 ,1499 ,3855 ,9184 ,1575 ,1070 ,854 ,3267 ,3606 ,1000 ,17515 ,2891 ,3690 ,1897 ,2451 ,20945 ,3632 ,3293 ,5248 ,2444 
2011-02-18,124372 ,6537 ,6490 ,10280 ,1631 ,8119 ,5015 ,2718 ,6931 ,1534 ,3774 ,9149 ,1568 ,1057 ,846 ,3264 ,3654 ,973 ,17603 ,2886 ,3686 ,1868 ,2435 ,20953 ,3633 ,3262 ,5249 ,2333 
2011-02-25,124605 ,6389 ,6490 ,10247 ,1552 ,8136 ,5009 ,2629 ,7203 ,1512 ,3755 ,9333 ,1534 ,1055 ,808 ,3266 ,3604 ,985 ,17640 ,2891 ,3669 ,1865 ,2447 ,20901 ,3648 ,3233 ,5249 ,2332 
2011-03-04,125768 ,6350 ,6600 ,10369 ,1576 ,8218 ,5093 ,2599 ,7156 ,1466 ,3830 ,9408 ,1476 ,1063 ,791 ,3295 ,3570 ,1028 ,17726 ,2909 ,3586 ,1903 ,2499 ,21083 ,4042 ,3267 ,5289 ,2275 
2011-03-11,125091 ,6553 ,6551 ,10343 ,1582 ,8235 ,4944 ,2707 ,7163 ,1505 ,3729 ,9431 ,1597 ,1066 ,772 ,3286 ,3528 ,1063 ,17738 ,2909 ,3577 ,1950 ,2433 ,20563 ,4034 ,3276 ,5291 ,2370 
