Date,KOSPI,Energy,Chemistry,"Non-ferrous, wood, etc.",Steel,Construction,Machine,Shipbuilding,Capital goods,Transit,Automobile,Cosmetics,Hotel,Media,Retail,Consumer_staples,Healthcare,Bank,Stock,Insurance,Software,IT hardware,Semiconductor,IT home appliance,Display,Communication,Utility
2011-01-07,1215352 ,56686 ,96296 ,17410 ,81792 ,49467 ,27086 ,61175 ,14799 ,39653 ,90026 ,15858 ,10373 ,8214 ,33044 ,37979 ,10970 ,165950 ,27916 ,36339 ,20312 ,25776 ,205754 ,34407 ,36069 ,54788 ,22589 
2011-01-14,1215952 ,57985 ,96528 ,16692 ,79940 ,49618 ,27027 ,65135 ,14930 ,38659 ,89774 ,15163 ,10389 ,8169 ,33017 ,38258 ,10558 ,167490 ,27844 ,36460 ,20153 ,25693 ,204143 ,34562 ,35826 ,54559 ,22621 
2011-01-21,1215299 ,59035 ,98056 ,16720 ,80244 ,49538 ,27002 ,66597 ,14776 ,38401 ,89825 ,15367 ,10682 ,8821 ,32402 ,37521 ,10725 ,169640 ,27938 ,36318 ,19902 ,24263 ,203358 ,34647 ,35167 ,53907 ,21229 
2011-01-28,1217666 ,62460 ,99345 ,16714 ,79962 ,49418 ,26754 ,66871 ,14634 ,38407 ,90614 ,15278 ,10642 ,8676 ,32302 ,36296 ,9780 ,171291 ,28683 ,36570 ,18852 ,23687 ,203983 ,35191 ,33273 ,52943 ,21185 
2011-02-04,1237139 ,63210 ,101299 ,16818 ,81098 ,50160 ,27398 ,66647 ,14965 ,38608 ,91537 ,15444 ,10715 ,8815 ,32655 ,36725 ,10056 ,171846 ,29295 ,37058 ,19152 ,24226 ,210019 ,36228 ,33854 ,52655 ,24681 
2011-02-11,1242182 ,64541 ,102158 ,16473 ,81142 ,50255 ,27334 ,66707 ,14994 ,38547 ,91836 ,15748 ,10703 ,8545 ,32666 ,36056 ,9999 ,175149 ,28909 ,36904 ,18971 ,24508 ,209450 ,36315 ,32927 ,52482 ,24445 
2011-02-18,1243719 ,64903 ,102797 ,16307 ,81194 ,50151 ,27185 ,69309 ,15337 ,37740 ,91493 ,15679 ,10570 ,8461 ,32643 ,36536 ,9730 ,176027 ,28855 ,36858 ,18676 ,24345 ,209527 ,36331 ,32621 ,52490 ,23326 
2011-02-25,1246047 ,64901 ,102475 ,15524 ,81355 ,50089 ,26295 ,72031 ,15116 ,37554 ,93328 ,15341 ,10550 ,8084 ,32659 ,36042 ,9850 ,176396 ,28907 ,36691 ,18654 ,24467 ,209006 ,36484 ,32331 ,52489 ,23318 
2011-03-04,1257678 ,66004 ,103690 ,15759 ,82180 ,50928 ,25987 ,71565 ,14660 ,38300 ,94081 ,14762 ,10627 ,7906 ,32950 ,35701 ,10276 ,177261 ,29094 ,35858 ,19031 ,24991 ,210831 ,40418 ,32674 ,52893 ,22747 
2011-03-11,1250909 ,65508 ,103431 ,15823 ,82350 ,49444 ,27065 ,71632 ,15051 ,37290 ,94306 ,15972 ,10659 ,7723 ,32862 ,35283 ,10629 ,177384 ,29093 ,35770 ,19502 ,24334 ,205628 ,40340 ,32756 ,52908 ,23698 
