Date,KOSPI,KOSDAQ,Energy,Chemicals,Nonferrous Metals,Materials,Construction,Macinery,Shipbuilding,Capital Goods,Transportation,Automobiles,Consumer Durables,Hotels,Media,Retail,Consumer Staples,Healthcare,Banking,Securities,Insurance,Software,IT hardware,Semiconductors,IT home appliance,Display,Communication Services,Utilities
2011-01-07,9.79 ,9.57 ,8.54 ,9.92 ,8.14 ,9.15 ,13.76 ,12.72 ,10.51 ,11.38 ,10.41 ,8.32 ,11.69 ,12.47 ,10.87 ,12.21 ,10.96 ,14.05 ,7.77 ,11.05 ,12.93 ,14.29 ,11.17 ,8.47 ,9.37 ,11.04 ,8.31 ,12.69 
2011-01-14,9.88 ,9.72 ,8.31 ,10.13 ,8.72 ,9.14 ,14.07 ,13.07 ,10.82 ,11.57 ,10.81 ,8.43 ,11.70 ,12.32 ,11.35 ,11.85 ,10.81 ,14.12 ,7.92 ,11.78 ,12.96 ,14.02 ,10.82 ,8.70 ,9.13 ,10.66 ,8.10 ,12.42 
2011-01-21,9.69 ,9.39 ,8.24 ,9.84 ,8.40 ,8.92 ,13.82 ,12.38 ,10.08 ,11.40 ,10.72 ,7.83 ,11.35 ,11.37 ,10.09 ,11.58 ,10.67 ,14.13 ,7.43 ,11.21 ,13.06 ,13.93 ,10.79 ,9.05 ,9.49 ,10.55 ,8.27 ,13.09 
2011-01-28,9.85 ,9.33 ,8.83 ,10.10 ,8.32 ,9.02 ,14.05 ,12.60 ,10.30 ,11.76 ,10.78 ,7.83 ,11.38 ,11.60 ,10.34 ,11.96 ,10.91 ,14.40 ,7.37 ,11.49 ,12.77 ,14.02 ,11.21 ,9.37 ,9.45 ,11.25 ,8.23 ,12.96 
2011-02-04,9.51 ,9.00 ,8.58 ,9.84 ,8.15 ,8.83 ,13.48 ,12.11 ,10.05 ,11.46 ,10.51 ,7.44 ,11.27 ,11.50 ,9.94 ,9.57 ,10.70 ,14.07 ,7.28 ,10.81 ,13.05 ,13.49 ,11.13 ,8.86 ,9.05 ,11.09 ,8.25 ,12.36 
2011-02-11,9.04 ,9.01 ,7.91 ,9.08 ,8.27 ,9.00 ,12.55 ,11.69 ,8.95 ,10.52 ,10.14 ,7.23 ,10.33 ,10.69 ,10.00 ,8.74 ,10.59 ,13.62 ,6.96 ,10.44 ,12.76 ,13.35 ,10.68 ,8.27 ,8.78 ,10.93 ,8.14 ,12.36 
2011-02-18,9.22 ,9.14 ,7.81 ,9.34 ,8.66 ,9.19 ,12.46 ,11.44 ,8.91 ,10.21 ,10.81 ,7.52 ,10.63 ,11.15 ,10.14 ,9.09 ,10.68 ,13.85 ,6.94 ,10.34 ,13.17 ,13.74 ,10.94 ,8.64 ,9.05 ,11.02 ,7.91 ,13.12 
2011-02-25,9.06 ,9.13 ,7.90 ,9.05 ,8.58 ,8.72 ,11.97 ,11.43 ,9.01 ,10.17 ,10.14 ,7.46 ,10.70 ,11.24 ,9.93 ,10.33 ,10.69 ,14.04 ,6.81 ,10.00 ,12.83 ,13.76 ,10.54 ,8.38 ,8.75 ,11.01 ,8.01 ,12.75 
2011-03-04,9.18 ,9.24 ,7.94 ,9.27 ,8.48 ,8.74 ,11.93 ,11.12 ,8.93 ,10.39 ,9.89 ,7.85 ,11.04 ,11.54 ,10.06 ,10.48 ,10.84 ,14.15 ,7.08 ,10.01 ,13.66 ,13.80 ,10.54 ,8.55 ,7.80 ,11.12 ,7.85 ,12.93 
2011-03-11,8.99 ,9.30 ,8.17 ,9.29 ,9.14 ,8.39 ,11.86 ,11.22 ,8.59 ,10.53 ,10.11 ,7.70 ,10.36 ,11.17 ,10.55 ,10.75 ,10.84 ,13.88 ,7.11 ,9.77 ,13.30 ,14.07 ,9.93 ,7.98 ,7.25 ,10.79 ,7.77 ,12.50 
