Date,KOSPI,KOSDAQ,Energy,Chemicals,Nonferrous Metals,Materials,Construction,Macinery,Shipbuilding,Capital Goods,Transportation,Automobiles,Consumer Durables,Hotels,Media,Retail,Consumer Staples,Healthcare,Banking,Securities,Insurance,Software,IT hardware,Semiconductors,IT home appliance,Display,Communication Services,Utilities
2011-01-07,1410474 ,53453 ,71939 ,82748 ,15841 ,74912 ,82668 ,24427 ,57497 ,62771 ,54272 ,96320 ,11288 ,5312 ,5789 ,31584 ,31461 ,7538 ,194892 ,26293 ,71483 ,8710 ,23874 ,186120 ,62810 ,50700 ,44597 ,78081 
2011-01-14,1416816 ,53812 ,72566 ,83215 ,14926 ,75747 ,82717 ,24346 ,62896 ,62773 ,54297 ,96026 ,10299 ,5328 ,5785 ,31678 ,31536 ,7352 ,195772 ,26331 ,71452 ,8661 ,24166 ,186450 ,63017 ,50491 ,44694 ,78105 
2011-01-21,1414466 ,58023 ,74589 ,83665 ,15395 ,76009 ,82943 ,24347 ,63905 ,62476 ,54520 ,95619 ,10449 ,6687 ,6679 ,31512 ,31517 ,7504 ,192785 ,25043 ,71452 ,8562 ,23217 ,186215 ,63822 ,50487 ,44756 ,78336 
2011-01-28,1417270 ,56520 ,76525 ,84427 ,15454 ,75708 ,83418 ,24081 ,64773 ,62243 ,54667 ,96098 ,10491 ,6702 ,6638 ,31595 ,30196 ,6652 ,193158 ,24725 ,71540 ,7022 ,22668 ,186481 ,65232 ,50165 ,44823 ,78308 
2011-02-04,1433300 ,57729 ,77137 ,85568 ,15668 ,76243 ,84733 ,24446 ,64936 ,62891 ,55038 ,96884 ,10607 ,6786 ,6696 ,31838 ,31470 ,6852 ,194863 ,24886 ,72025 ,7132 ,23039 ,190536 ,65858 ,50618 ,45029 ,79247 
2011-02-11,1431381 ,55387 ,77338 ,85764 ,16460 ,76381 ,84634 ,24450 ,64970 ,63783 ,55117 ,97240 ,11605 ,6789 ,6481 ,31859 ,30703 ,6834 ,189056 ,23236 ,72211 ,7181 ,23518 ,191449 ,65862 ,49164 ,45033 ,79651 
2011-02-18,1435628 ,56423 ,77728 ,86243 ,16322 ,76120 ,84312 ,24481 ,72773 ,65168 ,54526 ,97071 ,11615 ,6770 ,6482 ,31865 ,31601 ,6626 ,188849 ,22725 ,68839 ,6929 ,23731 ,192121 ,65883 ,48643 ,45033 ,79594 
2011-02-25,1439962 ,55072 ,77770 ,86193 ,15362 ,76927 ,84333 ,24255 ,74955 ,65655 ,54574 ,101714 ,11352 ,6714 ,6367 ,31903 ,31239 ,6737 ,185723 ,22565 ,68795 ,6900 ,23855 ,192391 ,65949 ,48186 ,45033 ,79586 
2011-03-04,1443415 ,54106 ,78605 ,87154 ,15405 ,77221 ,85335 ,21983 ,75112 ,64478 ,55371 ,102444 ,11010 ,6772 ,6282 ,32178 ,29730 ,7062 ,186414 ,23827 ,67687 ,6991 ,24261 ,191505 ,67067 ,48139 ,45172 ,80316 
2011-03-11,1443736 ,56618 ,78579 ,87383 ,15467 ,77520 ,84769 ,25206 ,75169 ,64981 ,55338 ,102710 ,11457 ,6778 ,6275 ,32151 ,28579 ,7285 ,186214 ,23696 ,67678 ,8218 ,23432 ,190367 ,67049 ,48598 ,45172 ,80285 
2011-03-18,1445394 ,56546 ,79254 ,87882 ,15475 ,77562 ,84739 ,24834 ,75130 ,64937 ,55279 ,102763 ,11433 ,6774 ,6279 ,32178 ,29908 ,7275 ,186237 ,24662 ,67611 ,8211 ,23149 ,189970 ,66819 ,47988 ,45239 ,80352 
2011-03-25,1447784 ,56238 ,81919 ,88289 ,15621 ,77799 ,82309 ,24835 ,73248 ,64327 ,55121 ,103609 ,11537 ,6781 ,6183 ,32114 ,32165 ,7272 ,186585 ,25234 ,67644 ,7848 ,23096 ,189663 ,66815 ,48132 ,45241 ,80634 
2011-04-01,1458280 ,58022 ,83489 ,89463 ,16605 ,78735 ,83159 ,25255 ,73327 ,64921 ,55610 ,104201 ,11817 ,6803 ,6296 ,32316 ,32367 ,6876 ,187745 ,25370 ,68133 ,7968 ,23395 ,190333 ,66707 ,48281 ,45368 ,81764 
2011-04-08,1460648 ,58906 ,85734 ,90114 ,16687 ,79056 ,82895 ,25331 ,73719 ,64909 ,55879 ,104949 ,12150 ,6805 ,6291 ,32817 ,33602 ,7145 ,183543 ,25312 ,68193 ,7853 ,23199 ,190247 ,66415 ,49131 ,45431 ,82147 
2011-04-15,1460590 ,59199 ,86516 ,90730 ,17003 ,80301 ,82859 ,26922 ,73492 ,65333 ,53580 ,106143 ,12153 ,6763 ,6349 ,32944 ,33732 ,7307 ,178837 ,25336 ,68472 ,8012 ,23208 ,190462 ,66557 ,49119 ,45401 ,82258 
2011-04-22,1463215 ,57007 ,87438 ,92220 ,16655 ,80880 ,80475 ,26880 ,73692 ,65337 ,53503 ,106706 ,11941 ,6792 ,6352 ,33011 ,33956 ,7242 ,178333 ,25585 ,68450 ,8000 ,23204 ,190124 ,66257 ,49082 ,45395 ,82711 
2011-04-29,1470233 ,59030 ,88486 ,95097 ,17489 ,81572 ,82528 ,27254 ,74082 ,65458 ,53443 ,107758 ,11941 ,6942 ,6429 ,32890 ,34118 ,7336 ,176697 ,25755 ,69263 ,8009 ,23334 ,191168 ,65343 ,48900 ,45308 ,82662 
2011-05-06,1481209 ,61052 ,90461 ,95947 ,17608 ,82165 ,83386 ,27793 ,74547 ,66080 ,53812 ,109367 ,12062 ,7156 ,6436 ,33173 ,35084 ,7414 ,175627 ,25886 ,69519 ,8135 ,23663 ,192854 ,65813 ,49289 ,45540 ,83444 
2011-05-13,1482302 ,60648 ,91490 ,96269 ,16458 ,82263 ,83311 ,27742 ,74438 ,66076 ,53556 ,109753 ,11900 ,7156 ,6370 ,33189 ,35167 ,7421 ,170115 ,25825 ,69625 ,8052 ,23899 ,192280 ,72590 ,48943 ,45307 ,83755 
2011-05-20,1475994 ,59725 ,91593 ,96511 ,16594 ,82557 ,83302 ,27686 ,74479 ,64974 ,54149 ,109872 ,12368 ,7165 ,6321 ,33184 ,35807 ,7501 ,168328 ,25597 ,69586 ,8329 ,23254 ,192341 ,72774 ,48937 ,45299 ,77213 
2011-05-27,1475547 ,60141 ,92568 ,96768 ,16557 ,82522 ,83220 ,27870 ,74521 ,65093 ,53819 ,110365 ,12615 ,7172 ,6332 ,33203 ,35877 ,7555 ,167427 ,24618 ,69576 ,8313 ,23500 ,192203 ,72425 ,49384 ,45299 ,76886 
2011-06-03,1493723 ,62103 ,93621 ,97735 ,16691 ,79919 ,83206 ,27950 ,74807 ,65428 ,54315 ,111007 ,12628 ,7269 ,6840 ,33075 ,36176 ,7917 ,167034 ,25133 ,69957 ,8449 ,24160 ,196453 ,75461 ,49788 ,45411 ,85396 
2011-06-10,1495925 ,62070 ,93617 ,97741 ,16689 ,80156 ,83216 ,27935 ,74736 ,65351 ,54353 ,111173 ,12641 ,7248 ,6853 ,42229 ,36283 ,7919 ,154172 ,25132 ,69972 ,8417 ,24095 ,196270 ,75348 ,49579 ,45411 ,91457 
2011-06-17,1494922 ,62959 ,93669 ,98170 ,16685 ,80320 ,83204 ,27961 ,74736 ,65452 ,54403 ,111197 ,12214 ,7225 ,7021 ,41745 ,36178 ,7919 ,154172 ,24641 ,70243 ,8425 ,24057 ,196633 ,75392 ,49379 ,45392 ,91451 
2011-06-24,1492772 ,62109 ,92550 ,98047 ,15998 ,79989 ,83591 ,27921 ,74759 ,65170 ,54505 ,111211 ,12500 ,7218 ,7020 ,41372 ,34467 ,7978 ,156102 ,24641 ,70275 ,8448 ,24043 ,195898 ,75063 ,49221 ,45386 ,91510 
2011-07-01,1586287 ,62442 ,113957 ,118588 ,15034 ,80478 ,93167 ,46104 ,74968 ,74839 ,55254 ,112663 ,13342 ,7370 ,7304 ,44569 ,37258 ,8073 ,157306 ,24702 ,70600 ,8300 ,23884 ,197688 ,74917 ,50124 ,45797 ,92443 
2011-07-08,1598388 ,62688 ,114100 ,121846 ,14935 ,84544 ,93480 ,45722 ,74886 ,76999 ,55195 ,113728 ,13010 ,7362 ,7337 ,44005 ,36540 ,8056 ,158047 ,24711 ,70734 ,8328 ,23657 ,198202 ,74285 ,49952 ,48976 ,92443 
