Class,Return,Leverage
Alternatives,60.1,Long
Alternatives,38.6,Long
Alternatives,43.5,Long
Alternatives,-98.1,Long
Alternatives,-40.2,Long
Alternatives,-41.2,Long
Alternatives,-69.1,Long
Alternatives,-4,Long
Alternatives,-4,Long
Alternatives,16.3,Short
Alternatives,232.2,Short
Alternatives,59.2,Short
Alternatives,26.1,Short
Alternatives,58,Short
Alternatives,55.5,Short
Alternatives,-20.6,Short
Alternatives,-91.8,Short
Alternatives,-34.1,Short
Alternatives,-12.9,Short
Alternatives,-34.5,Short
Alternatives,-37.3,Short
Alternatives,-1.4,Short
Alternatives,33.8,Short
Alternatives,2.7,Short
Alternatives,1.8,Short
Alternatives,3,Short
Alternatives,3.8,Short
Alternatives,11.9,
Alternatives,24.7,
Alternatives,14.9,
Alternatives,20.7,
Alternatives,116.3,
Alternatives,102.3,
Alternatives,101.2,
Alternatives,58.1,
Alternatives,68.6,
Alternatives,66.8,
Alternatives,28,
Alternatives,23.2,
Alternatives,11.9,
Alternatives,11.6,
Alternatives,12.3,
Alternatives,5.6,
Alternatives,5.6,
Alternatives,6.8,
Alternatives,35.4,
Alternatives,14.4,
Alternatives,25,
Alternatives,19.8,
Alternatives,18.6,
Alternatives,22.9,
Alternatives,15,
Alternatives,23.6,
Alternatives,40.2,
Alternatives,-15.7,
Alternatives,-31.8,
Alternatives,-10.1,
Alternatives,-16.5,
Alternatives,-63.9,
Alternatives,-28.2,
Alternatives,-59.1,
Alternatives,-79.8,
Alternatives,-87.9,
Alternatives,-83.2,
Alternatives,-98.3,
Alternatives,2.1,
Alternatives,5.6,
Alternatives,4.5,
Alternatives,-6.6,
Alternatives,2.2,
Alternatives,1.7,
Alternatives,-4.2,
Alternatives,-19.8,
Alternatives,-28.2,
Alternatives,-100,
Alternatives,-100,
Alternatives,-22.3,
Alternatives,-22.3,
Alternatives,-5.8,
Alternatives,-22.8,
Alternatives,-31.7,
Alternatives,-1.4,
Alternatives,0,
Alternatives,0.4,
Alternatives,0.5,
Alternatives,16.2,
Alternatives,19.1,
Alternatives,-13.4,
Alternatives,-27.7,
Alternatives,-41.5,
Alternatives,-41.8,
Alternatives,-75.6,
Alternatives,14.7,
Alternatives,9.2,
Alternatives,7.9,
Alternatives,5,
Alternatives,4.2,
Alternatives,3.8,
Alternatives,0.1,
Alternatives,1.6,
Alternatives,-2.2,
Alternatives,-8.3,
Alternatives,-10.5,
Alternatives,-0.5,
Alternatives,0.4,
Alternatives,0.8,
Alternatives,-0.5,
Alternatives,0.4,
Commodities,52.9,Long
Commodities,101.3,Long
Commodities,101,Long
Commodities,452.7,Long
Commodities,68.7,Long
Commodities,23.6,Long
Commodities,169.5,Long
Commodities,325.4,Long
Commodities,137.7,Long
Commodities,-10.4,Long
Commodities,-51.8,Long
Commodities,-51.6,Long
Commodities,-72.2,Long
Commodities,-17,Long
Commodities,-9.9,Long
Commodities,-8.1,Long
Commodities,-97.6,Long
Commodities,-85.8,Long
Commodities,29.1,Long
Commodities,10.1,Long
Commodities,8.5,Long
Commodities,10.9,Long
Commodities,23.3,Long
Commodities,3.7,Long
Commodities,96,Long
Commodities,-6.9,Long
Commodities,-34.6,Long
Commodities,33.2,Short
Commodities,65.4,Short
Commodities,72,Short
Commodities,108.6,Short
Commodities,239.2,Short
Commodities,218.1,Short
Commodities,-34.2,Short
Commodities,-57.7,Short
Commodities,-58.5,Short
Commodities,-90.3,Short
Commodities,-86.8,Short
Commodities,-86.8,Short
Commodities,-6.1,Short
Commodities,-12.2,Short
Commodities,-12.1,Short
Commodities,-18,Short
Commodities,12.1,Short
Commodities,-2.7,Short
Commodities,46.4,
Commodities,13.4,
Commodities,72.4,
Commodities,48.5,
Commodities,41.8,
Commodities,54.9,
Commodities,114.1,
Commodities,78.1,
Commodities,103.3,
Commodities,60,
Commodities,75.4,
Commodities,44.5,
Commodities,48.1,
Commodities,116.3,
Commodities,55.6,
Commodities,46.9,
Commodities,231.3,
Commodities,191.7,
Commodities,56.1,
Commodities,394.6,
Commodities,39.6,
Commodities,39.7,
Commodities,38.2,
Commodities,94.2,
Commodities,39.6,
Commodities,24.7,
Commodities,54.2,
Commodities,54,
Commodities,63.7,
Commodities,61.4,
Commodities,39.4,
Commodities,44,
Commodities,56.5,
Commodities,45.5,
Commodities,156.7,
Commodities,39.5,
Commodities,198.9,
Commodities,156.6,
Commodities,63.9,
Commodities,154.9,
Commodities,95.1,
Commodities,101.9,
Commodities,151.6,
Commodities,14.5,
Commodities,13.4,
Commodities,118.3,
Commodities,160.2,
Commodities,59.2,
Commodities,55.4,
Commodities,318.4,
Commodities,66.9,
Commodities,78,
Commodities,56.1,
Commodities,55.4,
Commodities,71.1,
Commodities,52.2,
Commodities,64.4,
Commodities,95.4,
Commodities,53.4,
Commodities,99.1,
Commodities,69.5,
Commodities,125,
Commodities,89.8,
Commodities,58.6,
Commodities,110.9,
Commodities,65.5,
Commodities,235.1,
Commodities,200,
Commodities,50.8,
Commodities,140.6,
Commodities,86.1,
Commodities,63.8,
Commodities,71.6,
Commodities,150,
Commodities,131.1,
Commodities,151.4,
Commodities,58.7,
Commodities,88.9,
Commodities,118,
Commodities,133.6,
Commodities,109.1,
Commodities,159.7,
Commodities,59,
Commodities,228.2,
Commodities,113.4,
Commodities,141.6,
Commodities,107.7,
Commodities,135.7,
Commodities,127.7,
Commodities,83.9,
Commodities,72.2,
Commodities,42.3,
Commodities,26.1,
Commodities,44.2,
Commodities,74.2,
Commodities,67.3,
Commodities,56.3,
Commodities,52.5,
Commodities,71.2,
Commodities,54.1,
Commodities,73,
Commodities,33.8,
Commodities,86,
Commodities,299.3,
Commodities,211.4,
Commodities,114.4,
Commodities,177.8,
Commodities,125,
Commodities,126.3,
Commodities,144.1,
Commodities,89.1,
Commodities,445.5,
Commodities,127.5,
Commodities,344.1,
Commodities,80.8,
Commodities,205,
Commodities,5.7,
Commodities,9.3,
Commodities,-100,
Commodities,-20.7,
Commodities,-11.4,
Commodities,-34.9,
Commodities,-61.7,
Commodities,-60.4,
Commodities,-54.7,
Commodities,-51.5,
Commodities,-54.2,
Commodities,-21.2,
Commodities,-24.5,
Commodities,-100,
Commodities,-30.8,
Commodities,-24.1,
Commodities,-100,
Commodities,-78.7,
Commodities,-34,
Commodities,-65,
Commodities,-8.3,
Commodities,-8.4,
Commodities,-11.3,
Commodities,-40.1,
Commodities,-9.2,
Commodities,-16.4,
Commodities,-28.3,
Commodities,-28.3,
Commodities,-15.4,
Commodities,-18.7,
Commodities,-15.1,
Commodities,-29.6,
Commodities,-31.4,
Commodities,-28.3,
Commodities,-40.5,
Commodities,-30.3,
Commodities,-100,
Commodities,-40.4,
Commodities,-33,
Commodities,-42,
Commodities,-100,
Commodities,-67.8,
Commodities,-94.1,
Commodities,-29.2,
Commodities,-32.5,
Commodities,-69.3,
Commodities,-85.7,
Commodities,-23,
Commodities,-19,
Commodities,-100,
Commodities,-20.7,
Commodities,-32.5,
Commodities,-36.9,
Commodities,-45.4,
Commodities,-22.8,
Commodities,-100,
Commodities,-48.4,
Commodities,-100,
Commodities,-100,
Commodities,-48.7,
Commodities,-47.2,
Commodities,-47.5,
Commodities,-48.3,
Commodities,-100,
Commodities,-47.3,
Commodities,-42.2,
Commodities,-100,
Commodities,-65.6,
Commodities,-22.3,
Commodities,-30.7,
Commodities,-24.5,
Commodities,-23.2,
Commodities,-51.1,
Commodities,-100,
Commodities,-100,
Commodities,-70.1,
Commodities,-22.7,
Commodities,-56.7,
Commodities,-100,
Commodities,-60.3,
Commodities,-100,
Commodities,-100,
Commodities,-100,
Commodities,-100,
Commodities,74.2,
Commodities,-66,
Commodities,-55.7,
Commodities,-58.2,
Commodities,-78.6,
Commodities,-56.4,
Commodities,-54.5,
Commodities,-80.2,
Commodities,-36.2,
Commodities,-46.2,
Commodities,-49.5,
Commodities,-31.7,
Commodities,-29.5,
Commodities,-33.1,
Commodities,-27.3,
Commodities,-43.2,
Commodities,-35.2,
Commodities,-40.6,
Commodities,-29.1,
Commodities,-67.4,
Commodities,-65.6,
Commodities,-55.1,
Commodities,-55.9,
Commodities,-66.3,
Commodities,-82,
Commodities,-100,
Commodities,-53.5,
Commodities,-88.5,
Commodities,-56.8,
Commodities,-100,
Commodities,-78,
Commodities,-96.2,
Commodities,26.7,
Commodities,11.4,
Commodities,-4,
Commodities,6.9,
Commodities,6.9,
Commodities,-0.2,
Commodities,-1.4,
Commodities,-2.2,
Commodities,-2.9,
Commodities,-1.6,
Commodities,-1.4,
Commodities,6.1,
Commodities,4,
Commodities,-3.7,
Commodities,-0.8,
Commodities,2.7,
Commodities,2.1,
Commodities,-2.4,
Commodities,2.2,
Commodities,64.4,
Commodities,14.7,
Commodities,14.6,
Commodities,11.8,
Commodities,17.4,
Commodities,10.3,
Commodities,5.6,
Commodities,10,
Commodities,10.1,
Commodities,8.4,
Commodities,7.2,
Commodities,6,
Commodities,5.7,
Commodities,5.8,
Commodities,4.8,
Commodities,8.6,
Commodities,1.1,
Commodities,-2,
Commodities,7.9,
Commodities,-3.1,
Commodities,6.7,
Commodities,-2,
Commodities,-5.6,
Commodities,-9.7,
Commodities,-7.1,
Commodities,-12.5,
Commodities,-2.5,
Commodities,-19.3,
Commodities,9.9,
Commodities,8.9,
Commodities,8,
Commodities,11.7,
Commodities,9.4,
Commodities,6.7,
Commodities,-0.6,
Commodities,11.1,
Commodities,-16,
Commodities,-0.3,
Commodities,3.3,
Commodities,-6.3,
Commodities,1.8,
Commodities,-1.9,
Commodities,-0.4,
Commodities,-1.7,
Commodities,-6.5,
Commodities,-1.2,
Commodities,-6.2,
Commodities,-7.7,
Commodities,-4,
Commodities,14.1,
Commodities,35.7,
Commodities,16.2,
Commodities,11.5,
Commodities,3.2,
Commodities,-3,
Commodities,-1.7,
Commodities,2.9,
Commodities,7.1,
Commodities,1.8,
Commodities,0.9,
Commodities,4.5,
Commodities,-11.8,
Commodities,-5,
Commodities,-16.7,
Commodities,2.1,
Commodities,99.1,
Commodities,3,
Commodities,1.1,
Commodities,1,
Commodities,-1.1,
Commodities,-0.1,
Commodities,-14.7,
Commodities,-22,
Commodities,-5.3,
Commodities,-6.2,
Commodities,1.4,
Commodities,1.2,
Commodities,-2.4,
Commodities,-2.7,
Commodities,1.3,
Commodities,-1,
Commodities,-2.8,
Commodities,-10.1,
Commodities,2.9,
Commodities,26.9,
Commodities,6.2,
Commodities,-1.1,
Commodities,-0.6,
Commodities,-5,
Commodities,-4.5,
Commodities,-4.9,
Commodities,-8.2,
Commodities,2.6,
Commodities,-0.9,
Commodities,-16.2,
Commodities,-22.3,
Commodities,-49.3,
Equity,99.1,Long
Equity,138.8,Long
Equity,257.9,Long
Equity,79.9,Long
Equity,-54.9,Long
Equity,263.7,Long
Equity,161.2,Long
Equity,442.6,Long
Equity,167.3,Long
Equity,232.8,Long
Equity,176.2,Long
Equity,286.9,Long
Equity,131.6,Long
Equity,449.9,Long
Equity,483,Long
Equity,330.6,Long
Equity,163.5,Long
Equity,405.6,Long
Equity,319.8,Long
Equity,605.5,Long
Equity,505,Long
Equity,255.5,Long
Equity,213.2,Long
Equity,161.6,Long
Equity,170.1,Long
Equity,283.1,Long
Equity,227,Long
Equity,226.1,Long
Equity,207.2,Long
Equity,142.7,Long
Equity,130.1,Long
Equity,121.3,Long
Equity,112.5,Long
Equity,71.6,Long
Equity,189.6,Long
Equity,232.2,Long
Equity,715.6,Long
Equity,79.4,Long
Equity,80.3,Long
Equity,33.8,Long
Equity,33.8,Long
Equity,440.8,Long
Equity,444,Long
Equity,236.5,Long
Equity,240.3,Long
Equity,290.6,Long
Equity,108.6,Long
Equity,280.2,Long
Equity,273.4,Long
Equity,691.2,Long
Equity,464.5,Long
Equity,224.3,Long
Equity,366.6,Long
Equity,580.7,Long
Equity,88,Long
Equity,64.3,Long
Equity,325.8,Long
Equity,"1,612.50",Long
Equity,652.5,Long
Equity,160,Long
Equity,374.6,Long
Equity,376.4,Long
Equity,204.8,Long
Equity,320.6,Long
Equity,8.6,Long
Equity,-16.2,Long
Equity,-31.4,Long
Equity,82,Long
Equity,160.1,Long
Equity,201.3,Long
Equity,93.5,Long
Equity,250.1,Long
Equity,123.3,Long
Equity,206.9,Long
Equity,336.3,Long
Equity,110.6,Long
Equity,176.6,Long
Equity,89.6,Long
Equity,243.6,Long
