Class,Return,Leverage
Equity,1612.5 ,Long
Equity,715.6 ,Long
Equity,691.2 ,Long
Equity,652.5 ,Long
Equity,605.5 ,Long
Equity,580.7 ,Long
Equity,505.0 ,Long
Equity,483.0 ,Long
Equity,472.9 ,Short
Equity,464.5 ,Long
Commodities,452.7 ,Long
Equity,449.9 ,Long
Commodities,445.5 ,
Equity,444.0 ,Long
Equity,442.6 ,Long
Equity,440.8 ,Long
Equity,405.6 ,Long
Commodities,394.6 ,
Equity,376.4 ,Long
Equity,374.6 ,Long
Equity,366.6 ,Long
Commodities,344.1 ,
Equity,336.3 ,Long
Equity,330.6 ,Long
Equity,325.8 ,Long
Commodities,325.4 ,Long
Equity,320.6 ,Long
Equity,319.8 ,Long
Commodities,318.4 ,
Commodities,299.3 ,
Equity,290.6 ,Long
Equity,286.9 ,Long
Equity,283.1 ,Long
Equity,280.2 ,Long
Equity,273.4 ,Long
Equity,267.0 ,
Equity,263.7 ,Long
Equity,263.7 ,
Equity,263.3 ,
Equity,261.3 ,Long
Equity,257.9 ,Long
Equity,255.5 ,Long
Equity,250.1 ,Long
Equity,243.6 ,Long
Equity,242.1 ,
Equity,240.3 ,Long
Commodities,239.2 ,Short
Equity,236.5 ,Long
Commodities,235.1 ,
Equity,232.8 ,Long
Alternatives,232.2 ,Short
Equity,232.2 ,Long
Equity,231.7 ,
Commodities,231.3 ,
Commodities,228.2 ,
Equity,227.0 ,Long
Equity,226.1 ,Long
Equity,224.3 ,Long
Equity,222.3 ,
Commodities,218.1 ,Short
Equity,214.6 ,
Equity,213.2 ,Long
Equity,211.6 ,
Equity,211.5 ,
Commodities,211.4 ,
Equity,209.4 ,
Equity,208.7 ,
Equity,207.2 ,Long
Equity,206.9 ,Long
Equity,205.8 ,
Commodities,205.0 ,
Equity,204.8 ,Long
Equity,201.3 ,Long
Equity,200.8 ,
Equity,200.6 ,
Commodities,200.0 ,
Equity,199.6 ,
Equity,199.2 ,
Commodities,198.9 ,
Equity,193.5 ,Short
Equity,193.3 ,
Equity,192.8 ,
Equity,192.1 ,Long
Commodities,191.7 ,
Equity,190.7 ,
Equity,190.4 ,Long
Equity,190.4 ,Short
Equity,189.6 ,Long
Equity,188.1 ,
Equity,187.3 ,Short
Equity,186.7 ,
Equity,185.5 ,
Equity,181.7 ,
Equity,179.6 ,
Commodities,177.8 ,
Equity,176.6 ,Long
Equity,176.6 ,
Equity,176.2 ,Long
Equity,172.6 ,
Equity,171.8 ,
Equity,171.6 ,
Equity,171.1 ,
Equity,170.9 ,
Equity,170.1 ,Long
Commodities,169.5 ,Long
Equity,169.3 ,
Equity,167.3 ,Long
Equity,167.3 ,Short
Equity,164.0 ,
Equity,163.5 ,Long
Equity,162.4 ,
Equity,162.1 ,
Equity,161.6 ,Long
Equity,161.2 ,Long
Equity,160.3 ,
Commodities,160.2 ,
Equity,160.1 ,Long
Equity,160.0 ,Long
Commodities,159.7 ,
Equity,158.9 ,
Commodities,156.7 ,
Commodities,156.6 ,
Equity,155.5 ,
Equity,155.3 ,
Equity,155.0 ,
Commodities,154.9 ,
Equity,154.5 ,
Equity,154.3 ,
Equity,154.3 ,
Equity,153.1 ,
Equity,153.1 ,
Commodities,151.6 ,
Commodities,151.4 ,
Equity,150.6 ,
Commodities,150.0 ,
Equity,149.7 ,Long
Equity,149.7 ,Short
Equity,148.6 ,
Equity,148.5 ,
Equity,147.5 ,
Equity,146.1 ,
Equity,145.8 ,
Equity,144.3 ,Long
Commodities,144.1 ,
Equity,143.8 ,
Equity,142.7 ,Long
Equity,142.6 ,
Commodities,141.6 ,
Equity,141.2 ,
Commodities,140.6 ,
Equity,140.6 ,
Equity,140.4 ,
Equity,140.0 ,
Equity,138.8 ,Long
Equity,138.7 ,
Equity,138.0 ,
Commodities,137.7 ,Long
Equity,137.7 ,
Equity,137.7 ,
Equity,137.4 ,
Equity,136.2 ,
Equity,136.1 ,
Equity,135.9 ,
Commodities,135.7 ,
Equity,135.7 ,
Equity,134.7 ,
Equity,134.6 ,
Equity,134.5 ,
Equity,134.4 ,
Equity,134.1 ,
Commodities,133.6 ,
Equity,133.6 ,
Equity,132.9 ,
Equity,132.2 ,
Equity,132.0 ,
Equity,131.6 ,Long
Commodities,131.1 ,
Equity,130.9 ,
Equity,130.5 ,
Equity,130.3 ,
Equity,130.1 ,Long
Equity,129.3 ,
Equity,128.2 ,
Equity,128.1 ,
Equity,128.0 ,
Commodities,127.7 ,
Commodities,127.5 ,
Equity,127.0 ,
Equity,127.0 ,
Commodities,126.3 ,
Equity,126.3 ,
Equity,126.2 ,
Equity,126.2 ,
Equity,126.1 ,
Fixed Income,126.0 ,
Equity,125.9 ,
Equity,125.8 ,
Fixed Income,125.7 ,Long
Equity,125.5 ,
Equity,125.2 ,
Commodities,125.0 ,
Commodities,125.0 ,
Equity,124.6 ,
Equity,123.3 ,Long
Equity,122.8 ,
Equity,122.8 ,
Equity,122.5 ,
Equity,122.5 ,
Equity,122.0 ,Long
Equity,121.9 ,
Equity,121.6 ,
Equity,121.3 ,Long
Equity,121.0 ,
Equity,120.9 ,
Equity,120.9 ,
Equity,120.6 ,
Equity,120.3 ,
Equity,120.0 ,
Equity,119.2 ,
Equity,119.1 ,
Equity,118.9 ,Long
Equity,118.8 ,
Equity,118.7 ,
Equity,118.6 ,
Commodities,118.3 ,
Equity,118.3 ,
Commodities,118.0 ,
Equity,117.7 ,
Equity,117.6 ,
Equity,117.5 ,
Equity,117.3 ,
Equity,117.2 ,
Equity,116.8 ,Short
Equity,116.6 ,
Alternatives,116.3 ,
Commodities,116.3 ,
Equity,115.4 ,
Equity,115.4 ,
Commodities,114.4 ,
Commodities,114.1 ,
Equity,114.1 ,
Equity,113.7 ,
Equity,113.7 ,
Equity,113.6 ,
Commodities,113.4 ,
Equity,113.4 ,
Equity,113.3 ,
Equity,112.8 ,
Equity,112.7 ,
Equity,112.5 ,Long
Equity,112.2 ,
Equity,112.1 ,Long
Equity,112.0 ,
Equity,111.7 ,Short
Equity,111.4 ,
Equity,111.4 ,
Commodities,110.9 ,
Equity,110.7 ,
Equity,110.6 ,Long
Equity,109.9 ,
Equity,109.8 ,
Equity,109.7 ,
Equity,109.3 ,
Commodities,109.1 ,
Equity,109.1 ,Short
Equity,109.0 ,
Equity,108.8 ,
Equity,108.7 ,
Commodities,108.6 ,Short
Equity,108.6 ,Long
Equity,108.3 ,
Equity,107.9 ,
Commodities,107.7 ,
Equity,107.5 ,Long
Equity,107.3 ,
Equity,107.0 ,
Equity,106.9 ,
Equity,106.6 ,
Equity,106.5 ,
Equity,106.3 ,
Equity,106.3 ,
Equity,106.1 ,
Equity,106.0 ,
Equity,106.0 ,
Equity,104.9 ,
Equity,104.8 ,
Equity,104.4 ,
Equity,104.2 ,
Equity,104.1 ,Short
Equity,103.7 ,
Equity,103.7 ,
Equity,103.6 ,Short
Equity,103.6 ,
Equity,103.6 ,
Commodities,103.3 ,
Equity,103.3 ,
Equity,103.2 ,
Equity,103.1 ,
Alternatives,102.3 ,
Equity,102.3 ,
Equity,102.2 ,
Commodities,101.9 ,
Equity,101.9 ,
Equity,101.7 ,
Equity,101.6 ,
Equity,101.6 ,
Equity,101.4 ,
Commodities,101.3 ,Long
Equity,101.3 ,
Alternatives,101.2 ,
Equity,101.2 ,
Equity,101.1 ,
Commodities,101.0 ,Long
Equity,101.0 ,
Equity,100.9 ,
Equity,100.9 ,
Equity,100.7 ,
Equity,100.7 ,
Equity,100.7 ,
Equity,100.6 ,
Equity,100.5 ,
Equity,100.2 ,
Equity,100.1 ,
Fixed Income,100.1 ,
Equity,100.0 ,
Equity,100.0 ,
Equity,100.0 ,
Equity,99.7 ,
Equity,99.7 ,
Equity,99.6 ,
Equity,99.5 ,
Equity,99.5 ,
Equity,99.4 ,
Equity,99.2 ,
Equity,99.2 ,
