Date,Risk_Premium
2005-07-24,10.1
2005-07-31,9.71
2005-08-07,10.38
2005-08-14,10.17
2005-08-21,10.33
2005-08-28,10.52
2005-09-04,10.3
2005-09-11,9.86
2005-09-18,9.79
2005-09-25,9.77
2005-10-02,9.57
2005-10-09,9.77
2005-10-16,9.87
2005-10-23,9.93
2005-10-30,10.36
2005-11-06,9.57
2005-11-13,9.93
2005-11-20,9.76
2005-11-27,9.62
2005-12-04,9.51
2005-12-11,9.34
2005-12-18,9.18
2005-12-25,8.85
2006-01-01,8.78
2006-01-08,9.58
2006-01-15,9.55
2006-01-22,10.18
2006-01-29,9.76
2006-02-05,10.06
2006-02-12,10.06
2006-02-19,10.03
2006-02-26,9.82
2006-03-05,10.08
2006-03-12,10.2
2006-03-19,9.99
2006-03-26,10.04
2006-04-02,9.73
2006-04-09,9.35
2006-04-16,9.14
2006-04-23,8.81
2006-04-30,8.99
2006-05-07,8.99
2006-05-14,9.16
2006-05-21,9.6
2006-05-28,9.98
2006-06-04,10.05
2006-06-11,10.63
2006-06-18,10.37
2006-06-25,10.47
2006-07-02,9.95
2006-07-09,10.08
2006-07-16,10.23
2006-07-23,10.07
2006-07-30,9.81
2006-08-06,9.83
2006-08-13,9.79
2006-08-20,9.42
2006-08-27,9.43
2006-09-03,9.32
2006-09-10,9.28
2006-09-17,9.18
2006-09-24,9.23
2006-10-01,9.05
2006-10-08,9.19
2006-10-15,9.21
2006-10-22,9.16
2006-10-29,9.19
2006-11-05,9.16
2006-11-12,9.04
2006-11-19,8.79
2006-11-26,8.76
2006-12-03,8.69
2006-12-10,9.01
2006-12-17,8.69
2006-12-24,8.62
2006-12-31,8.63
2007-01-07,10.9
2007-01-14,10.86
2007-01-21,10.99
2007-01-28,10.95
2007-02-04,10.52
2007-02-11,10.64
2007-02-18,10.47
2007-02-25,10.31
2007-03-04,10.81
2007-03-11,10.78
2007-03-18,10.74
2007-03-25,10.51
2007-04-01,10.29
2007-04-08,10.09
2007-04-15,9.69
2007-04-22,9.68
2007-04-29,9.5
2007-05-06,9.4
2007-05-13,9.21
2007-05-20,8.99
2007-05-27,8.77
2007-06-03,8.29
2007-06-10,8.27
2007-06-17,8.07
2007-06-24,8.05
2007-07-01,8.23
2007-07-08,7.65
2007-07-15,7.31
2007-07-22,7.27
2007-07-29,7.55
2007-08-05,7.71
2007-08-12,8
2007-08-19,9.01
2007-08-26,8.52
2007-09-02,8.1
2007-09-09,8.04
2007-09-16,8.01
2007-09-23,7.84
2007-09-30,7.71
2007-10-07,7.51
2007-10-14,7.25
2007-10-21,7.54
2007-10-28,7.38
2007-11-04,7.12
2007-11-11,7.2
2007-11-18,7.32
2007-11-25,8.06
2007-12-02,7.5
2007-12-09,7.41
2007-12-16,7.49
2007-12-23,7.53
2007-12-30,7.49
2008-01-06,9.14
2008-01-13,9.59
2008-01-20,9.85
2008-01-27,9.89
2008-02-03,10.02
2008-02-10,9.69
2008-02-17,9.63
2008-02-24,9.56
2008-03-02,9.41
2008-03-09,9.67
2008-03-16,10.1
2008-03-23,9.8
2008-03-30,9.51
2008-04-06,9.18
2008-04-13,8.95
2008-04-20,9.12
2008-04-27,8.82
2008-05-04,8.51
2008-05-11,8.64
2008-05-18,8.3
2008-05-25,8.61
2008-06-01,8.55
2008-06-08,8.64
2008-06-15,9.06
2008-06-22,9.17
2008-06-29,9.43
2008-07-06,10.04
2008-07-13,10
2008-07-20,10.41
2008-07-27,9.85
2008-08-03,9.99
