Date,PER (EA3)(배),순매수대금 누적액(기관계)(백만원),순매수대금 누적액(개인)(백만원),순매수대금 누적액(외국인계)(백만원),주요상품선물_WTI-1M($/bbl),주요상품선물_금(선물)($/ounce),미국 SP 500 Index(종가)(Pt),미국 Nasdaq 100(종가)(Pt),중국Shanghai Composite(종가)(Pt),국채금리_미국국채(2년)(%),국채금리_미국국채(10년)(%),시장평균_중국(위안)(통화대원),시장평균_미국(달러)(통화대원),시장금리:국고3년(국채관리기금채3년)(%),시장금리:국고10년(%)
2021-12-05,11.43,"89,138.00","-266,077.00","151,738.00",66.26,"1,782.00","4,538.43","15,712.04","3,607.43",0.61,1.36,184.61,"1,177.30",1.90,2.23
2021-12-06,11.46,"241,727.00","-435,451.00","154,773.00",69.49,"1,777.50","4,591.67","15,846.16","3,589.31",0.63,1.43,184.84,"1,178.60",1.87,2.21
2021-12-07,11.53,"166,046.00","-574,854.00","362,086.00",72.05,"1,782.60","4,686.75","16,325.66","3,595.09",0.69,1.48,185.64,"1,183.70",1.87,2.24
2021-12-08,11.57,"968,707.00","-1,261,016.00","283,212.00",72.36,"1,783.40","4,701.21","16,394.34","3,637.57",0.69,1.53,185.52,"1,181.20",1.83,2.19
2021-12-09,11.67,"1,605,980.00","-1,769,478.00","609,763.00",70.94,"1,774.60","4,667.45","16,149.57","3,673.04",0.69,1.50,185.43,"1,176.40",1.79,2.19
2021-12-10,11.60,"1,845,501.00","-1,754,824.00","321,292.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.65,1.48,184.05,"1,173.80",1.81,2.20
2021-12-11,11.60,"2,085,022.00","-1,740,170.00","32,821.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.67,1.48,184.05,"1,173.80",1.81,2.20
2021-12-12,11.60,"2,324,543.00","-1,725,516.00","-255,650.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.63,1.48,184.05,"1,173.80",1.81,2.20
2021-12-13,11.56,"2,793,571.00","-2,094,402.00","-393,952.00",71.29,"1,786.30","4,668.97","16,082.55","3,681.08",0.66,1.41,184.96,"1,178.20",1.79,2.17
2021-12-14,11.52,"2,606,107.00","-2,132,291.00","-210,583.00",70.73,"1,770.40","4,634.09","15,914.90","3,661.53",0.67,1.44,185.14,"1,178.80",1.78,2.17
2021-12-15,11.52,"2,436,116.00","-1,965,084.00","-233,492.00",70.87,"1,762.60","4,709.85","16,289.59","3,647.63",0.62,1.46,185.88,"1,183.60",1.81,2.17
2021-12-16,11.60,"2,384,648.00","-2,134,442.00","-49,964.00",72.38,"1,796.60","4,668.67","15,863.94","3,675.02",0.64,1.42,186.29,"1,186.20",1.77,2.15
2021-12-17,11.63,"2,370,876.00","-2,661,542.00","481,769.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.62,1.41,185.84,"1,183.50",1.77,2.15
2021-12-18,11.63,"2,357,104.00","-3,188,642.00","1,013,502.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.64,1.41,185.84,"1,183.50",1.77,2.15
2021-12-19,11.63,"2,343,332.00","-3,715,742.00","1,545,235.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.67,1.41,185.84,"1,183.50",1.77,2.15
2021-12-20,11.39,"1,768,754.00","-2,629,957.00","990,740.00",68.23,"1,793.70","4,568.02","15,627.64","3,593.60",0.66,1.43,185.76,"1,184.40",1.74,2.11
2021-12-21,11.44,"2,371,086.00","-3,277,824.00","1,020,068.00",71.12,"1,787.90","4,649.23","15,986.28","3,625.13",0.69,1.47,186.61,"1,189.80",1.72,2.10
2021-12-22,11.48,"2,432,238.00","-3,777,584.00","1,436,196.00",72.76,"1,801.60","4,696.56","16,180.14","3,622.62",0.69,1.45,186.99,"1,191.50",1.76,2.15
2021-12-23,11.54,"3,010,794.00","-4,598,101.00","1,662,093.00",73.79,"1,811.20","4,725.79","16,308.21","3,643.34",0.70,1.49,187.00,"1,191.20",1.81,2.21
2021-12-24,11.64,"3,926,918.00","-5,730,490.00","1,851,599.00",73.79,"1,811.20","4,725.79","16,308.21","3,618.05",0.76,1.49,186.41,"1,187.50",1.80,2.21
2021-12-25,11.63,"4,843,042.00","-6,862,879.00","2,041,105.00",73.79,"1,811.20","4,725.79","16,308.21","3,618.05",0.75,1.49,186.41,"1,187.50",1.80,2.21
2021-12-26,11.63,"5,759,166.00","-7,995,268.00","2,230,611.00",73.79,"1,811.20","4,725.79","16,308.21","3,618.05",0.73,1.49,186.41,"1,187.50",1.80,2.21
2021-12-27,11.59,"6,195,363.00","-8,539,243.00","2,279,040.00",75.57,"1,808.10","4,791.19","16,567.50","3,615.97",0.73,1.48,186.32,"1,186.40",1.78,2.21
2021-12-28,11.68,"7,713,725.00","-10,536,578.00","2,728,177.00",75.98,"1,810.20","4,786.35","16,488.66","3,630.11",0.73,1.48,186.18,"1,186.20",1.79,2.20
2021-12-29,11.55,"5,977,584.00","-8,684,210.00","2,605,545.00",76.56,"1,805.10","4,793.06","16,491.01","3,597.00",0.78,1.56,186.33,"1,186.70",1.78,2.18
2021-12-30,11.48,"5,216,987.00","-7,730,361.00","2,391,594.00",76.99,"1,812.70","4,778.73","16,429.10","3,619.19",0.76,1.51,186.33,"1,186.60",1.80,2.25
2021-12-31,11.48,"4,456,390.00","-6,776,512.00","2,177,643.00",75.21,"1,827.50","4,766.18","16,320.08","3,639.78",0.83,1.51,186.02,"1,185.50",1.80,2.25
2022-01-01,11.48,"3,695,793.00","-5,822,663.00","1,963,692.00",75.21,"1,827.50","4,766.18","16,320.08","3,639.78",0.87,1.51,186.02,"1,185.50",1.80,2.25
2022-01-02,11.48,"2,935,196.00","-4,868,814.00","1,749,741.00",75.21,"1,827.50","4,766.18","16,320.08","3,639.78",0.87,1.51,186.02,"1,185.50",1.80,2.25
2022-01-03,11.62,"2,123,971.00","-4,345,389.00","2,014,960.00",76.08,"1,799.40","4,796.56","16,501.77","3,639.78",0.87,1.64,186.51,"1,185.50",1.86,2.33
2022-01-04,11.60,"1,378,605.00","-3,699,791.00","2,105,479.00",76.99,"1,814.00","4,793.54","16,279.73","3,632.33",0.90,1.65,187.35,"1,190.80",1.87,2.32
2022-01-05,11.43,"56,262.00","-3,001,425.00","2,723,160.00",77.85,"1,824.60","4,700.58","15,771.78","3,595.18",0.89,1.70,187.41,"1,194.30",1.91,2.38
2022-01-06,11.33,"-429,376.00","-2,716,372.00","2,904,156.00",79.46,"1,788.70","4,696.05","15,765.36","3,586.08",0.92,1.73,188.27,"1,198.20",2.01,2.48
2022-01-07,11.47,"-765,263.00","-2,960,225.00","3,559,405.00",78.90,"1,797.00","4,677.03","15,592.19","3,579.54",0.89,1.77,187.94,"1,199.60",2.02,2.46
2022-01-08,11.48,"-1,101,150.00","-3,204,078.00","4,214,654.00",78.90,"1,797.00","4,677.03","15,592.19","3,579.54",0.97,1.77,187.94,"1,199.60",2.02,2.46
2022-01-09,11.46,"-1,437,037.00","-3,447,931.00","4,869,903.00",78.90,"1,797.00","4,677.03","15,592.19","3,579.54",1.00,1.77,187.94,"1,199.60",2.02,2.46
2022-01-10,11.26,"-1,937,089.00","-2,875,033.00","4,788,039.00",78.23,"1,798.40","4,670.29","15,614.43","3,593.52",1.05,1.76,188.53,"1,202.40",2.06,2.48
