Date,12MF_PE,FundFlow_Institutional,FundFlow_Retail,FundFlow_foreigner,WTI,Gold,S&P500,NASDAQ100,Shanghai,USGG_2Y,USGG_10Y,USDCNY,USDKRW,KRGG_3Y,KRGG_10Y
2021-12-05,11.43,89138.00,-266077.00,151738.00,66.26,1782.00,4538.43,15712.04,3607.43,0.61,1.36,184.61,1177.30,1.90,2.23
2021-12-06,11.46,241727.00,-435451.00,154773.00,69.49,1777.50,4591.67,15846.16,3589.31,0.63,1.43,184.84,1178.60,1.87,2.21
2021-12-07,11.53,166046.00,-574854.00,362086.00,72.05,1782.60,4686.75,16325.66,3595.09,0.69,1.48,185.64,1183.70,1.87,2.24
2021-12-08,11.57,968707.00,-1261016.00,283212.00,72.36,1783.40,4701.21,16394.34,3637.57,0.69,1.53,185.52,1181.20,1.83,2.19
2021-12-09,11.67,1605980.00,-1769478.00,609763.00,70.94,1774.60,4667.45,16149.57,3673.04,0.69,1.50,185.43,1176.40,1.79,2.19
2021-12-10,11.60,1845501.00,-1754824.00,321292.00,71.67,1782.90,4712.02,16331.98,3666.35,0.65,1.48,184.05,1173.80,1.81,2.20
2021-12-11,11.60,2085022.00,-1740170.00,32821.00,71.67,1782.90,4712.02,16331.98,3666.35,0.67,1.48,184.05,1173.80,1.81,2.20
2021-12-12,11.60,2324543.00,-1725516.00,-255650.00,71.67,1782.90,4712.02,16331.98,3666.35,0.63,1.48,184.05,1173.80,1.81,2.20
2021-12-13,11.56,2793571.00,-2094402.00,-393952.00,71.29,1786.30,4668.97,16082.55,3681.08,0.66,1.41,184.96,1178.20,1.79,2.17
2021-12-14,11.52,2606107.00,-2132291.00,-210583.00,70.73,1770.40,4634.09,15914.90,3661.53,0.67,1.44,185.14,1178.80,1.78,2.17
2021-12-15,11.52,2436116.00,-1965084.00,-233492.00,70.87,1762.60,4709.85,16289.59,3647.63,0.62,1.46,185.88,1183.60,1.81,2.17
2021-12-16,11.60,2384648.00,-2134442.00,-49964.00,72.38,1796.60,4668.67,15863.94,3675.02,0.64,1.42,186.29,1186.20,1.77,2.15
2021-12-17,11.63,2370876.00,-2661542.00,481769.00,70.86,1803.80,4620.64,15801.46,3632.36,0.62,1.41,185.84,1183.50,1.77,2.15
2021-12-18,11.63,2357104.00,-3188642.00,1013502.00,70.86,1803.80,4620.64,15801.46,3632.36,0.64,1.41,185.84,1183.50,1.77,2.15
2021-12-19,11.63,2343332.00,-3715742.00,1545235.00,70.86,1803.80,4620.64,15801.46,3632.36,0.67,1.41,185.84,1183.50,1.77,2.15
2021-12-20,11.39,1768754.00,-2629957.00,990740.00,68.23,1793.70,4568.02,15627.64,3593.60,0.66,1.43,185.76,1184.40,1.74,2.11
2021-12-21,11.44,2371086.00,-3277824.00,1020068.00,71.12,1787.90,4649.23,15986.28,3625.13,0.69,1.47,186.61,1189.80,1.72,2.10
2021-12-22,11.48,2432238.00,-3777584.00,1436196.00,72.76,1801.60,4696.56,16180.14,3622.62,0.69,1.45,186.99,1191.50,1.76,2.15
2021-12-23,11.54,3010794.00,-4598101.00,1662093.00,73.79,1811.20,4725.79,16308.21,3643.34,0.70,1.49,187.00,1191.20,1.81,2.21
2021-12-24,11.64,3926918.00,-5730490.00,1851599.00,73.79,1811.20,4725.79,16308.21,3618.05,0.76,1.49,186.41,1187.50,1.80,2.21
2021-12-25,11.63,4843042.00,-6862879.00,2041105.00,73.79,1811.20,4725.79,16308.21,3618.05,0.75,1.49,186.41,1187.50,1.80,2.21
2021-12-26,11.63,5759166.00,-7995268.00,2230611.00,73.79,1811.20,4725.79,16308.21,3618.05,0.73,1.49,186.41,1187.50,1.80,2.21
2021-12-27,11.59,6195363.00,-8539243.00,2279040.00,75.57,1808.10,4791.19,16567.50,3615.97,0.73,1.48,186.32,1186.40,1.78,2.21
2021-12-28,11.68,7713725.00,-10536578.00,2728177.00,75.98,1810.20,4786.35,16488.66,3630.11,0.73,1.48,186.18,1186.20,1.79,2.20
2021-12-29,11.55,5977584.00,-8684210.00,2605545.00,76.56,1805.10,4793.06,16491.01,3597.00,0.78,1.56,186.33,1186.70,1.78,2.18
2021-12-30,11.48,5216987.00,-7730361.00,2391594.00,76.99,1812.70,4778.73,16429.10,3619.19,0.76,1.51,186.33,1186.60,1.80,2.25
2021-12-31,11.48,4456390.00,-6776512.00,2177643.00,75.21,1827.50,4766.18,16320.08,3639.78,0.83,1.51,186.02,1185.50,1.80,2.25
2022-01-01,11.48,3695793.00,-5822663.00,1963692.00,75.21,1827.50,4766.18,16320.08,3639.78,0.87,1.51,186.02,1185.50,1.80,2.25
2022-01-02,11.48,2935196.00,-4868814.00,1749741.00,75.21,1827.50,4766.18,16320.08,3639.78,0.87,1.51,186.02,1185.50,1.80,2.25
2022-01-03,11.62,2123971.00,-4345389.00,2014960.00,76.08,1799.40,4796.56,16501.77,3639.78,0.87,1.64,186.51,1185.50,1.86,2.33
2022-01-04,11.60,1378605.00,-3699791.00,2105479.00,76.99,1814.00,4793.54,16279.73,3632.33,0.90,1.65,187.35,1190.80,1.87,2.32
2022-01-05,11.43,56262.00,-3001425.00,2723160.00,77.85,1824.60,4700.58,15771.78,3595.18,0.89,1.70,187.41,1194.30,1.91,2.38
2022-01-06,11.33,-429376.00,-2716372.00,2904156.00,79.46,1788.70,4696.05,15765.36,3586.08,0.92,1.73,188.27,1198.20,2.01,2.48
2022-01-07,11.47,-765263.00,-2960225.00,3559405.00,78.90,1797.00,4677.03,15592.19,3579.54,0.89,1.77,187.94,1199.60,2.02,2.46
2022-01-08,11.48,-1101150.00,-3204078.00,4214654.00,78.90,1797.00,4677.03,15592.19,3579.54,0.97,1.77,187.94,1199.60,2.02,2.46
2022-01-09,11.46,-1437037.00,-3447931.00,4869903.00,78.90,1797.00,4677.03,15592.19,3579.54,1.00,1.77,187.94,1199.60,2.02,2.46
2022-01-10,11.26,-1937089.00,-2875033.00,4788039.00,78.23,1798.40,4670.29,15614.43,3593.52,1.05,1.76,188.53,1202.40,2.06,2.48
2022-01-11,11.27,-2199044.00,-3093674.00,5270620.00,81.22,1818.60,4713.07,15844.12,3567.44,1.05,1.75,188.20,1200.00,2.04,2.49
2022-01-12,11.44,-1593545.00,-4166849.00,5725953.00,82.64,1827.20,4726.35,15905.10,3597.43,1.03,1.75,187.51,1195.20,2.00,2.43
2022-01-13,11.37,-1896609.00,-4260453.00,6095747.00,82.12,1821.20,4659.03,15495.62,3555.26,1.02,1.70,187.14,1189.90,1.95,2.40
2022-01-14,11.22,-2491886.00,-3453555.00,5850623.00,83.82,1816.50,4662.85,15611.59,3521.26,1.03,1.79,186.83,1188.20,2.04,2.45
2022-01-15,11.21,-3087163.00,-2646657.00,5605499.00,83.82,1816.50,4662.85,15611.59,3521.26,0.97,1.79,186.83,1188.20,2.04,2.45
2022-01-16,11.21,-3682440.00,-1839759.00,5360375.00,83.82,1816.50,4662.85,15611.59,3521.26,1.03,1.79,186.83,1188.20,2.04,2.45
2022-01-17,11.02,-3504263.00,-1358540.00,4671723.00,83.82,1816.50,4662.85,15611.59,3541.67,1.16,1.81,186.94,1187.60,2.15,2.57
2022-01-18,10.94,-3731684.00,-1158693.00,4687548.00,85.43,1812.30,4577.11,15210.76,3569.91,1.19,1.88,187.80,1192.30,2.13,2.55
