Date,12MF_PE,FundFlow_Institutional,FundFlow_Retail,FundFlow_foreigner,WTI,Gold,S&P500,NASDAQ100,Shanghai,USGG_2Y,USGG_10Y,USDCNY,USDKRW,KRGG_3Y,KRGG_10Y
2021-12-05,11.43,"89,138.00","-266,077.00","151,738.00",66.26,"1,782.00","4,538.43","15,712.04","3,607.43",0.05,1.36,184.61,"1,177.30",1.90,2.23
2021-12-06,11.46,"152,589.00","-169,374.00","3,035.00",69.49,"1,777.50","4,591.67","15,846.16","3,589.31",0.05,1.43,184.84,"1,178.60",1.87,2.21
2021-12-07,11.53,"-75,681.00","-139,403.00","207,313.00",72.05,"1,782.60","4,686.75","16,325.66","3,595.09",0.06,1.48,185.64,"1,183.70",1.87,2.24
2021-12-08,11.57,"802,661.00","-686,162.00","-78,874.00",72.36,"1,783.40","4,701.21","16,394.34","3,637.57",0.07,1.53,185.52,"1,181.20",1.83,2.19
2021-12-09,11.67,"637,273.00","-508,462.00","326,551.00",70.94,"1,774.60","4,667.45","16,149.57","3,673.04",0.06,1.50,185.43,"1,176.40",1.79,2.19
2021-12-10,11.60,"239,521.00","14,654.00","-288,471.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.06,1.48,184.05,"1,173.80",1.81,2.20
2021-12-11,11.60,"239,521.00","14,654.00","-288,471.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.06,1.48,184.05,"1,173.80",1.81,2.20
2021-12-12,11.60,"239,521.00","14,654.00","-288,471.00",71.67,"1,782.90","4,712.02","16,331.98","3,666.35",0.06,1.48,184.05,"1,173.80",1.81,2.20
2021-12-13,11.56,"469,028.00","-368,886.00","-138,302.00",71.29,"1,786.30","4,668.97","16,082.55","3,681.08",0.06,1.41,184.96,"1,178.20",1.79,2.17
2021-12-14,11.52,"-187,464.00","-37,889.00","183,369.00",70.73,"1,770.40","4,634.09","15,914.90","3,661.53",0.06,1.44,185.14,"1,178.80",1.78,2.17
2021-12-15,11.52,"-169,991.00","167,207.00","-22,909.00",70.87,"1,762.60","4,709.85","16,289.59","3,647.63",0.05,1.46,185.88,"1,183.60",1.81,2.17
2021-12-16,11.60,"-51,468.00","-169,358.00","183,528.00",72.38,"1,796.60","4,668.67","15,863.94","3,675.02",0.05,1.42,186.29,"1,186.20",1.77,2.15
2021-12-17,11.63,"-13,772.00","-527,100.00","531,733.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.05,1.41,185.84,"1,183.50",1.77,2.15
2021-12-18,11.63,"-13,772.00","-527,100.00","531,733.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.05,1.41,185.84,"1,183.50",1.77,2.15
2021-12-19,11.63,"-13,772.00","-527,100.00","531,733.00",70.86,"1,803.80","4,620.64","15,801.46","3,632.36",0.05,1.41,185.84,"1,183.50",1.77,2.15
2021-12-20,11.39,"-574,578.00","1,085,785.00","-554,495.00",68.23,"1,793.70","4,568.02","15,627.64","3,593.60",0.08,1.43,185.76,"1,184.40",1.74,2.11
2021-12-21,11.44,"602,332.00","-647,867.00","29,328.00",71.12,"1,787.90","4,649.23","15,986.28","3,625.13",0.07,1.47,186.61,"1,189.80",1.72,2.10
2021-12-22,11.48,"61,152.00","-499,760.00","416,128.00",72.76,"1,801.60","4,696.56","16,180.14","3,622.62",0.07,1.45,186.99,"1,191.50",1.76,2.15
2021-12-23,11.54,"578,556.00","-820,517.00","225,897.00",73.79,"1,811.20","4,725.79","16,308.21","3,643.34",0.07,1.49,187.00,"1,191.20",1.81,2.21
