Date,KOSPI 3M Chg,12M Fwd PE 3M Chg,CESI Global,CESI USD,US Bond Spread,Citi Macro Risk Index,USDKRW 1M Chg,VIX,VKOSPI,12M Fwd EPS 1M Chg,12M Fwd EPS 3M Chg,GDP OUTPUT GAP
2011-01-23,9.0976,7.2311,33.5000,38.6000,325.0970,0.1840,-2.3047,18.4700,16.8700,-0.2656,1.5996,-4.0200
2011-01-30,11.9451,9.6620,27.7000,28.2000,317.8330,0.3220,-1.0817,20.0400,14.5000,1.5372,1.8310,-4.0200
2011-02-06,6.8630,3.8428,36.8000,64.1000,348.7540,0.2080,-1.6860,15.9300,16.2800,1.0780,0.8301,-4.0200
2011-02-13,3.3490,-0.2038,31.2000,67.1000,351.4000,0.2300,1.2742,15.6900,19.4600,1.1584,1.4690,-4.0200
2011-02-20,3.7188,-0.3512,33.0000,72.0000,348.7470,0.2520,-1.0693,16.4300,17.7600,0.3551,1.3159,-4.0200
2011-02-27,3.2406,-0.2043,34.4000,70.2000,328.4520,0.3480,1.1312,19.2200,19.8300,-0.1630,1.0657,-4.0200
2011-03-06,2.4228,-1.0902,38.2000,97.5000,337.6200,0.2970,1.0360,19.0600,16.2500,0.3695,1.0454,-4.0200
2011-03-13,-1.5407,-4.9314,24.1000,68.3000,333.0270,0.3620,-0.3810,20.0800,19.2300,0.3259,1.5837,-4.0200
2011-03-20,-2.2292,-4.7327,23.6000,63.3000,320.0660,0.4930,1.2993,24.4400,20.4200,-0.4050,0.3800,-4.0200
2011-03-27,1.2042,-1.2676,24.4000,54.2000,335.5460,0.3110,-1.0760,17.9100,15.5600,-0.2800,-0.4193,-4.0200
2011-04-03,3.4135,0.8426,26.3000,51.5000,338.3200,0.3000,-2.1109,17.4000,16.3900,-0.0233,1.4710,-3.7430
2011-04-10,2.0022,-3.7557,23.3000,34.1000,353.8510,0.2630,-3.6440,17.8700,18.1300,1.6750,3.6027,-3.7430
2011-04-17,1.5336,-4.5195,23.7000,23.0000,334.6390,0.2710,-3.2647,15.3200,18.0400,1.6406,2.3969,-3.7430
2011-04-24,6.1790,-0.0939,21.3000,11.6000,334.1840,0.2770,-3.0064,14.6900,16.8500,2.4050,2.2471,-3.7430
2011-05-01,4.0083,-1.7638,11.2000,1.0000,324.7560,0.3090,-1.8009,14.7500,18.3600,3.6638,3.5962,-3.7430
2011-05-08,3.6399,-2.6938,-0.4000,-31.3000,314.0100,0.4630,-0.0074,18.4000,19.6200,2.7062,5.2715,-3.7430
2011-05-15,7.2269,1.1901,2.9000,-34.4000,314.6000,0.4210,-0.2890,17.0700,20.2400,3.4261,4.6923,-3.7430
2011-05-22,4.8859,-1.1653,-3.2000,-49.1000,310.0430,0.4356,0.1804,17.4300,17.2900,3.1710,5.1161,-3.7430
