Date,KOSPI 1M Chg,12M Fwd PE 1M Chg,CESI Global,CESI USD,US Bond Spread,Citi Macro Risk Index,USDKRW 1M Chg,VIX,VKOSPI,12M Fwd EPS 1M Chg,12M Fwd EPS 3M Chg,GDP OUTPUT GAP
2006-06-04,-9.1588,-12.4355,40.9000,39.7000,19.0880,0.5640,0.8940,14.3200,21.7400,3.4968,5.3649,0.8150
2006-06-11,-14.4997,-14.6225,46.0000,46.4000,10.2530,0.5610,2.3208,18.1200,28.4000,0.2519,5.3894,0.8150
2006-06-18,-8.0231,-7.3348,46.9000,46.7000,24.5530,0.5400,1.0040,17.2500,24.3200,-0.7296,3.9557,0.8150
2006-06-25,-7.0938,-5.3207,45.0000,44.1000,31.5070,0.5430,1.1158,15.8900,26.1200,-1.8688,5.3806,0.8150
2006-07-02,-1.0611,-0.3451,49.0000,43.8000,16.8530,0.4850,0.0738,13.0800,22.7200,-0.5846,5.2465,0.4290
2006-07-09,3.0980,2.9789,43.2000,23.8000,17.2710,0.5080,-0.6915,13.9700,23.9400,-0.0543,8.9422,0.4290
2006-07-16,-0.5593,-2.2347,41.2000,16.6000,1.2430,0.5540,-0.1988,18.0500,26.8800,1.7172,9.5340,0.4290
2006-07-23,3.4763,1.9883,37.1000,14.1000,-3.2860,0.5390,-0.7479,17.4000,24.2900,1.4697,1.7857,0.4290
2006-07-30,0.1482,-0.3272,25.0000,-1.8000,-5.5790,0.4720,0.5481,14.3300,22.9100,0.5197,2.9556,0.4290
2006-08-06,2.4004,2.1020,20.3000,-8.7000,-14.0180,0.4830,1.7776,14.3400,22.1000,0.3058,3.8627,0.4290
2006-08-13,2.9455,4.7932,23.1000,-4.1000,-9.9630,0.4170,0.8387,14.3000,22.9800,-1.9583,-1.1506,0.4290
2006-08-20,4.7014,4.9982,19.7000,0.3000,-22.8370,0.3230,1.0222,11.6400,19.2300,-0.2856,-0.0136,0.4290
2006-08-27,2.4887,2.6214,13.9000,-1.3000,-28.7140,0.4380,0.8439,12.3100,19.2200,-0.1633,-0.6297,0.4290
2006-09-03,3.9984,3.5115,3.7000,-5.5000,-28.0080,0.4700,-0.4353,11.9600,17.8500,0.4674,0.8226,0.4290
2006-09-10,4.8595,3.1847,4.5000,-4.9000,-15.4170,0.4290,-0.5718,13.1600,19.3100,1.8321,0.4075,0.4290
2006-09-17,2.2538,1.3736,-6.4000,-21.8000,-13.0260,0.3680,-0.2347,11.7600,16.6200,0.8729,1.6004,0.4290
2006-09-24,1.4315,-0.6353,-19.2000,-46.0000,-28.1780,0.5060,-1.5645,12.5900,18.2500,2.3576,3.6500,0.4290
2006-10-01,1.0865,-0.1059,-16.8000,-39.2000,-24.8930,0.4630,-1.4887,11.9800,16.7100,1.2272,2.6600,0.7620
2006-10-08,-0.2133,-1.8751,-13.8000,-49.0000,-22.6420,0.4370,-0.7476,11.5600,18.2400,1.8059,2.2763,0.7620
2006-10-15,-0.9184,-2.1758,-19.0000,-68.1000,-21.6850,0.3380,-0.2300,10.7500,18.9600,1.2507,1.1344,0.7620
2006-10-22,1.1762,0.7737,-15.0000,-49.3000,-27.3090,0.2150,1.1036,10.6300,17.7700,0.7056,2.8696,0.7620
2006-10-29,-0.1692,-0.8463,-9.4000,-44.9000,-41.3070,0.2080,0.1162,10.8000,17.2500,0.6394,2.7823,0.7620
2006-11-05,2.3580,0.3866,-7.7000,-51.5000,-33.5230,0.2750,-1.2537,11.1600,15.7300,2.0064,4.0103,0.7620
2006-11-12,3.4947,1.1598,-9.3000,-46.5000,-47.4270,0.2710,-2.1066,10.7900,14.4300,2.2635,5.4894,0.7620
2006-11-19,3.5170,1.6753,-11.2000,-55.3000,-46.1940,0.1950,-1.9324,10.0500,14.2900,1.2692,4.4735,0.7620
2006-11-26,3.8449,1.6221,-4.3000,-50.7000,-46.2350,0.2970,-1.6098,10.7300,14.2800,2.2106,5.2262,0.7620
2006-12-03,3.6477,3.0314,-4.7000,-60.3000,-57.2590,0.3820,-0.9335,11.6600,14.4400,0.4429,3.9849,0.7620
2006-12-10,-0.3797,-0.8645,-6.3000,-44.1000,-40.2580,0.3300,-1.4667,12.0700,18.2300,0.5615,4.1731,0.7620
2006-12-17,0.6833,2.3584,11.8000,3.1000,-31.9160,0.1810,-1.6776,10.0500,15.1000,-1.6841,1.8253,0.7620
2006-12-24,1.1085,3.9400,14.2000,3.8000,-31.4310,0.2140,-0.4023,11.3600,14.6500,-2.7391,-0.0133,0.7620
2006-12-31,0.0070,1.9045,18.3000,22.0000,-28.4150,0.1880,0.1238,11.5600,15.4000,-0.8754,1.8251,0.7620
2007-01-07,-0.3359,0.3807,23.2000,40.0000,-37.3170,0.2040,1.4994,12.1400,17.2500,-0.7272,1.5812,0.5480
2007-01-14,-2.3561,-3.7995,31.5000,59.1000,-29.2930,0.0740,1.8362,10.1500,16.5400,1.4872,2.0632,0.5480
2007-01-21,-5.3517,-6.2147,35.5000,61.6000,-31.8620,0.0640,0.8564,10.4000,17.4800,0.8522,0.1322,0.5480
2007-01-28,-4.4010,-5.3612,30.1000,66.1000,-23.3980,0.1030,1.1724,11.1300,17.2300,0.0065,1.1847,0.5480
2007-02-04,1.9758,3.0540,24.3000,58.5000,-28.9970,0.0820,0.3265,10.0800,16.3900,-1.0334,-1.4459,0.5480
2007-02-11,2.8314,1.2366,24.2000,60.7000,-34.6230,0.1330,-0.5798,11.1000,16.0500,1.5766,1.3776,0.5480
2007-02-18,6.4863,3.9327,15.8000,32.4000,-46.7850,0.1070,0.0214,10.0200,16.0800,2.6604,1.5078,0.5480
2007-02-25,7.1865,5.2127,17.4000,34.2000,-49.9780,0.1140,-0.2711,10.5800,17.1200,2.5510,1.5217,0.5480
2007-03-04,0.0941,-3.8964,14.4000,28.2000,-59.8750,0.5520,0.6242,18.6100,20.0600,4.0048,2.0490,0.5480
2007-03-11,-0.2872,-2.2984,13.7000,14.4000,-47.1850,0.3990,1.2037,14.0900,18.7000,2.1124,2.9412,0.5480
2007-03-18,-1.4446,-3.1231,16.4000,4.8000,-47.7250,0.4710,0.8809,16.7900,20.2900,1.6140,4.9130,0.5480
2007-03-25,-1.5307,-2.5577,16.4000,3.5000,-41.3420,0.3430,-0.0693,12.9500,19.2800,0.3636,4.7603,0.5480
2007-04-01,2.6922,4.3059,19.6000,4.8000,-38.3510,0.3650,-0.2386,14.6400,19.6400,-1.3280,1.5830,0.6790
2007-04-08,4.2548,5.6326,20.6000,-0.8000,-28.4400,0.3400,-1.4854,13.2300,18.6300,-1.2804,2.3676,0.6790
2007-04-15,6.5061,9.0445,11.4000,-1.6000,-23.8710,0.2910,-1.6459,12.2000,18.0000,-2.2529,1.0467,0.6790
