DPS,EBIT,FCF,NetDebt_to_Sales,DPS_E,EBIT_E,DPS_Derection
,-32739.93,-5199.21,36.03,1771,4545.95,-1
,-17546.51,-9508.27,61.96,,-730.88,-1
,-6986.88,-7186.88,74.28,200,3155,-1
125,-5008.62,-6233.68,57.8,,,-1
,-4493.89,-122.94,12.32,,,-1
,-4357.09,4375.29,113.41,,-410,-1
,-3625.3,-2680.09,34.58,177,3257.05,-1
,-2793.27,-2156.94,86.87,,393.33,-1
1000,-2674.94,1213.6,35.31,1041,634.76,-1
,-2612.61,-1445.58,14.99,,,-1
,-2350.27,4255.45,81.66,,889.5,-1
400,-2215.55,-2552.88,75.87,,,-1
,-1567.08,-480.59,40.82,,,-1
,-1342.41,181.16,112.2,,,-1
1000,-778.54,301.04,3.09,,,-1
,-679.96,111.85,17.25,,,-1
,-646.47,1285.53,76.95,,783,-1
,-641.76,-1465.26,6.84,,-89.5,-1
,-615.43,-91.11,78.65,,,-1
,-488.27,-2260.94,32.12,268,139,-1
,-482.81,2.25,60.47,,,-1
300,-368.43,897.58,36.28,400,486,-1
,-361.44,272.14,120.51,,,-1
,-358.12,-564.45,5.63,,428,-1
,-353.27,-86.99,43.74,,-56.33,-1
500,-328.33,-279.3,8.79,750,169.04,-1
,-299.37,162.8,63.49,,,-1
,-292.39,12.72,49.67,,,-1
,-284.08,-2479.17,111.69,,,-1
100,-257.57,-265.07,32.46,,,-1
,-248.62,-184.22,5.36,,,-1
,-248.26,18.17,96.81,,,-1
,-228.9,306.8,77.51,,,-1
120,-226.32,119.64,51.62,,,-1
,-222.67,1709.61,38.31,,,-1
,-216.01,82.04,124.34,,,-1
,-215.29,-117.8,86.1,,,-1
,-184.1,-194.17,73.29,,,-1
,-181.4,377.29,3.86,,,-1
,-168.42,-279.21,,,188.25,-1
,-161.55,-2361.88,77.96,,,-1
,-153.22,48.38,20.26,,,-1
,-152.53,395.2,33.41,,,-1
500,-151.96,3418.55,3.22,,,-1
20,-149.8,-164.51,1.15,,,-1
,-148.43,1476.68,33.18,,360,-1
,-143.06,-244.65,0.62,,,-1
,-141.33,3621.29,208.71,,,-1
,-138.78,-183.43,6.66,,,-1
,-134.61,-98.65,73.27,,,-1
,-133.42,-95.91,79.21,,,-1
,-132.18,535.33,161.35,,,-1
,-131.55,-406.47,41.83,,,-1
,-129.99,-119.32,54.45,,,-1
,-129.15,-427.02,149.64,,254,-1
,-125.46,310.33,75.4,,,-1
,-121.99,392.2,82.9,,,-1
,-119.92,-57.63,84.48,,,-1
25,-107.41,441.96,27.24,,,-1
,-97.43,8.66,47.42,,,-1
,-94.6,-67.15,21.97,,,-1
,-90.73,-77.87,46.33,,,-1
,-89.48,-22.74,4.22,,,-1
,-88.29,-207.4,141.35,,,-1
,-83.33,-147.63,78.65,,,-1
,-74.78,163.48,63.41,,,-1
,-72.32,230.72,,,,-1
,-70.3,28.84,12.51,,,-1
,-69.52,282.27,146.84,,,-1
,-69.12,155.74,9.62,,,-1
,-68.8,-6.14,108.22,,,-1
50,-66.25,-14.85,33.16,,,-1
,-61.21,164.58,25.1,,,-1
,-59.27,376.79,3.69,,,-1
,-57.53,-187.12,41.93,,681,-1
,-57.27,-77.33,27.02,,,-1
20,-56.21,191.79,,,,-1
,-52.23,-118.55,48.36,,,-1
750,-51.82,344.95,5.08,,,-1
50,-51.46,-9.12,13.3,,,-1
,-51.38,-26.12,48.17,,,-1
10,-50.48,-469.98,56.61,,,-1
,-47.84,-115.12,39.71,,,-1
,-47.7,314.73,42.94,,,-1
,-43.53,-543.9,47.66,,,-1
,-42.8,-35.09,,,15,-1
,-42.7,-44.36,87.37,,,-1
20,-40.85,45.04,,,,-1
300,-40.75,-1.47,823.29,,,-1
,-36.21,-117.86,30.25,,,-1
1250,-35.9,44.34,8.96,,,-1
,-32.97,289.09,5.96,,46.41,-1
,-31.12,-81.03,8.22,,,-1
,-30.64,-36.06,35.08,,,-1
75,-30.04,-94.55,,100,-19.48,-1
300,-28.07,152.25,,320,937.83,-1
,-25.73,66.79,263.28,,,-1
500,-25.54,110.63,42.56,,,-1
,-24.02,-163.26,98.69,,,-1
,-21.87,-76.73,6.59,,,-1
750,-19.48,9.59,1.09,,,-1
,-18.66,-43.26,,,11,-1
870,-18.44,50.7,,367,113.2,-1
750,-17.97,-101.47,0.43,,,-1
,-16.25,-104.44,31.58,,,-1
130,-14.65,-75.64,8.27,258,143,-1
,-14.4,23.4,11.48,,,-1
,-14.12,121.52,69.65,,,-1
750,-12.57,11.42,0.26,,,-1
750,-11.87,-80.48,26.59,,,-1
