Risk,Return,Asset,Type,
154.83,3.18,Alternatives,,
85.89,1.6,Alternatives,,
77.47,0.25,Alternatives,,
69.06,1.81,Alternatives,,
68.02,20.66,Alternatives,,
62.72,5.51,Alternatives,,
62.31,5.95,Alternatives,,
61.85,0.14,Alternatives,,
60.34,-2.2,Alternatives,,
59.38,0.46,Alternatives,,
58.69,-9.48,Alternatives,,
58.26,4.59,Alternatives,,
57.83,3.64,Alternatives,,
55.79,-0.01,Alternatives,,
54.56,6.54,Alternatives,,
53.51,0.77,Alternatives,,
52.12,-2.1,Alternatives,,
51.66,6.11,Alternatives,,
51.34,7.13,Alternatives,,
51.12,19.4,Alternatives,,
50.82,-2.15,Alternatives,,
50.81,-0.36,Alternatives,,
50.21,-0.69,Alternatives,,
49.81,12.32,Alternatives,,
49.11,3.47,Alternatives,,
49.06,3.05,Alternatives,,
48.93,0.79,Alternatives,,
48.86,4.6,Alternatives,,
48.46,2.28,Alternatives,,
48.21,0.83,Alternatives,,
48.12,5.39,Alternatives,,
47.35,1.64,Alternatives,,
46.97,2.43,Alternatives,,
46.73,0.12,Alternatives,,
46.42,0.93,Alternatives,,
46.21,2.4,Alternatives,,
46.05,0.8,Alternatives,,
45.86,0.51,Alternatives,,
45.04,-2.65,Alternatives,,
44.29,19.11,Alternatives,,
44.25,-27.7,Alternatives,,
44.09,-13.43,Alternatives,,
43.67,-41.84,Alternatives,,
40.77,64.39,Commodities,,
40.6,-3.95,Commodities,,
40.42,-1.36,Commodities,,
40.33,-2.89,Commodities,,
40.23,-2.2,Commodities,,
40.06,2.15,Commodities,,
40,1.42,Commodities,,
39.9,-1.42,Commodities,,
39.55,1.22,Commodities,,
39.32,-0.25,Commodities,,
39.3,6.09,Commodities,,
39.29,-1.6,Commodities,,
39.24,29.09,Commodities,,
39.11,4.01,Commodities,,
39,-2.38,Commodities,,
38.97,6.94,Commodities,,
38.86,2.7,Commodities,,
38.69,-0.78,Commodities,,
38.48,-2.71,Commodities,,
38.18,26.75,Commodities,,
38.03,6.87,Commodities,,
37.98,11.36,Commodities,,
37.91,3.16,Commodities,,
43.36,11.75,Commodities,Agriculture,
43.16,-0.29,Commodities,Agriculture,
43.02,-6.46,Commodities,Agriculture,
42.93,-1.03,Commodities,Agriculture,
