Risk,Return,Type
33.2,1.91,Equity_Region
33.13,5.37,Equity_Region
28.83,3.99,Equity_Region
28.83,4.73,Equity_Region
28.81,5.43,Equity_Region
28.72,7.09,Equity_Region
28.54,3.94,Equity_Region
28.49,-1.26,Equity_Region
28.42,3.36,Equity_Region
28.34,4.16,Equity_Region
28.34,3.82,Equity_Region
28.33,5.02,Equity_Region
28.32,7,Equity_Region
28.24,7.4,Equity_Region
28.23,4.48,Equity_Region
28.22,3.92,Equity_Region
28.2,7.58,Equity_Region
28.17,7.13,Equity_Region
28.13,2.45,Equity_Region
28.06,8.92,Equity_Region
28.03,9.39,Equity_Region
28,5.75,Equity_Region
28,4.36,Equity_Region
27.9,1.49,Equity_Region
27.8,4.19,Equity_Region
27.76,7.99,Equity_Region
27.75,6.4,Equity_Region
27.73,5.74,Equity_Region
27.66,23.21,Equity_Region
27.51,5.86,Equity_Region
27.49,5.66,Equity_Region
27.4,6.19,Equity_Region
27.38,3.97,Equity_Region
27.38,2.14,Equity_Region
27.37,2.92,Equity_Region
27.37,9.63,Equity_Region
27.34,3.7,Equity_Region
27.26,25.55,Equity_Region
27.24,5.67,Equity_Region
27.21,0.43,Equity_Region
27.18,11.31,Equity_Region
27.18,13.92,Equity_Region
27.15,12.42,Equity_Region
27.12,23.15,Equity_Region
27.1,10.53,Equity_Region
27.07,1.61,Equity_Region
27.06,8.65,Equity_Region
27.02,11.8,Equity_Region
27,-1.56,Equity_Region
26.97,15.38,Equity_Region
26.95,13.58,Equity_Region
26.92,21.45,Equity_Region
26.91,8.04,Equity_Region
26.9,31.43,Equity_Region
26.89,-0.77,Equity_Region
26.88,1.3,Equity_Region
26.86,2.36,Equity_Region
26.85,7,Equity_Region
26.79,7.42,Equity_Region
26.79,8.85,Equity_Region
26.76,8.24,Equity_Region
26.72,4.08,Equity_Region
26.71,1.08,Equity_Region
26.64,4.73,Equity_Region
26.62,5.76,Equity_Region
26.61,5.57,Equity_Region
26.58,6.58,Equity_Region
26.55,7.94,Equity_Region
26.54,10.5,Equity_Region
26.53,11.83,Equity_Region
26.52,5.08,Equity_Region
26.48,8.39,Equity_Region
26.45,22.38,Equity_Region
26.43,6.56,Equity_Region
26.36,3.53,Equity_Region
26.32,4.48,Equity_Region
26.3,5.11,Equity_Region
26.29,4.45,Equity_Region
26.28,3.23,Equity_Region
26.28,21.02,Equity_Region
26.22,20.65,Equity_Region
26.22,5.67,Equity_Region
26.21,8.64,Equity_Region
26.21,2.68,Equity_Region
26.17,2.9,Equity_Region
26.16,4.41,Equity_Region
26.13,12.3,Equity_Region
26.09,4.46,Equity_Region
26.07,4.49,Equity_Region
26.06,5.65,Equity_Region
26,1.29,Equity_Region
26,-0.3,Equity_Region
26,5.93,Equity_Region
25.97,0.26,Equity_Region
25.96,-0.66,Equity_Region
25.95,0.03,Equity_Region
25.94,12.24,Equity_Region
25.89,0.4,Equity_Region
25.87,3.47,Equity_Region
25.84,1.23,Equity_Region
25.84,0.65,Equity_Region
25.82,8.98,Equity_Region
25.8,0.35,Equity_Region
25.78,6.26,Equity_Region
25.76,20.1,Equity_Region
25.69,18.23,Equity_Region
25.66,23.84,Equity_Region
25.65,2.71,Equity_Region
25.6,3.08,Equity_Region
25.59,3.81,Equity_Region
25.58,6.89,Equity_Region
25.49,5.88,Equity_Region
25.45,5.75,Equity_Region
25.35,8.36,Equity_Region
25.33,26.61,Equity_Region
25.29,11.69,Equity_Region
25.28,4.92,Equity_Region
25.26,2.12,Equity_Region
25.23,4.41,Equity_Region
25.18,6.91,Equity_Region
25.17,3.66,Equity_Region
25.15,2.64,Equity_Region
25.14,2.5,Equity_Region
25.14,2.69,Equity_Region
25.13,21.46,Equity_Region
25.13,2.33,Equity_Region
25.11,0.23,Equity_Region
25.07,7.51,Equity_Region
24.93,8.54,Equity_Region
24.93,4.19,Equity_Region
24.92,4.67,Equity_Region
24.92,4.65,Equity_Region
24.91,5.76,Equity_Region
24.88,13.62,Equity_Region
24.87,5.93,Equity_Region
24.83,4.87,Equity_Region
24.79,7.69,Equity_Region
24.77,4.92,Equity_Region
24.77,5.62,Equity_Region
24.72,2.65,Equity_Region
24.68,0.04,Equity_Region
24.65,7.03,Equity_Region
24.63,6.73,Equity_Region
24.63,4.55,Equity_Region
24.62,6.99,Equity_Region
24.58,0.3,Equity_Region
24.57,4.35,Equity_Region
24.54,2.03,Equity_Region
24.54,7.83,Equity_Region
24.53,14.18,Equity_Region
24.5,11.04,Equity_Region
24.5,0.74,Equity_Region
24.47,3.36,Equity_Region
24.46,2.67,Equity_Region
24.45,4.31,Equity_Region
24.45,0.8,Equity_Region
24.42,-0.12,Equity_Region
24.27,10.72,Equity_Region
24.27,6.34,Equity_Region
24.22,6.95,Equity_Region
24.21,0.89,Equity_Region
24.2,-1.89,Equity_Region
24.2,-1.93,Equity_Region
24.2,-3.91,Equity_Region
24.18,8.25,Equity_Region
24.16,4.32,Equity_Region
24.14,7.44,Equity_Region
24.12,16.21,Equity_Region
24.12,0.21,Equity_Region
24.1,-0.47,Equity_Region
24.04,7.91,Equity_Region
24.02,4.55,Equity_Region
23.96,6.15,Equity_Region
23.95,4.89,Equity_Region
23.95,3.67,Equity_Region
23.95,18.23,Equity_Region
23.93,6.12,Equity_Region
23.9,7.2,Equity_Region
23.9,7.54,Equity_Region
23.89,2.25,Equity_Region
23.88,21.12,Equity_Region
23.88,4.43,Equity_Region
23.8,-0.91,Equity_Region
23.78,5.34,Equity_Region
23.78,3.71,Equity_Region
23.76,8.64,Equity_Region
23.72,5.97,Equity_Region
23.71,25.27,Equity_Region
23.71,7.59,Equity_Region
23.7,10.79,Equity_Region
23.67,7.41,Equity_Region
23.64,14.38,Equity_Region
23.64,25.14,Equity_Region
23.63,10.39,Equity_Region
23.62,10.01,Equity_Region
23.59,8.08,Equity_Region
23.57,1.07,Equity_Region
23.57,9.9,Equity_Region
23.56,6.45,Equity_Region
23.56,4.77,Equity_Region
23.55,9.33,Equity_Region
23.51,3.61,Equity_Region
23.5,12.04,Equity_Region
23.48,1.84,Equity_Region
23.48,8.02,Equity_Region
23.48,4.79,Equity_Region
23.46,4.41,Equity_Region
23.44,5.9,Equity_Region
23.42,-1.72,Equity_Region
23.38,4.17,Equity_Region
23.37,3.08,Equity_Region
23.36,3.23,Equity_Region
23.34,3.21,Equity_Region
23.33,8.74,Equity_Region
23.31,3.15,Equity_Region
23.3,5.26,Equity_Region
23.3,2.97,Equity_Region
23.28,2.97,Equity_Region
23.27,5.48,Equity_Region
23.25,-1.62,Equity_Region
23.2,-0.2,Equity_Region
23.19,9.11,Equity_Region
23.17,2.2,Equity_Region
23.16,14,Equity_Region
23.11,7.89,Equity_Region
23.07,3.65,Equity_Region
23.05,0.79,Equity_Region
23.05,-1.1,Equity_Region
23.04,2.28,Equity_Region
23.02,38.42,Equity_Region
23.01,19.88,Equity_Region
22.97,7.53,Equity_Region
22.93,-0.4,Equity_Region
22.91,19.37,Equity_Region
22.82,-36.68,Equity_Region
22.79,12.99,Equity_Region
18.96,26.51,Equity_Region
18.96,16.4,Equity_Region
18.94,22.14,Equity_Region
18.93,8.21,Equity_Region
18.93,-11.84,Equity_Region
18.92,0.61,Equity_Region
18.92,2.17,Equity_Region
18.9,3.83,Equity_Region
18.9,7.61,Equity_Region
18.9,16.79,Equity_Region
33.21,0.82,Equity_Country
32.84,8.86,Equity_Country
32.7,9.37,Equity_Country
32.62,5.12,Equity_Country
32.54,6.78,Equity_Country
32.43,5.06,Equity_Country
32.41,4.37,Equity_Country
32.32,0.16,Equity_Country
32.28,-0.27,Equity_Country
32.25,8.23,Equity_Country
32.19,-3.27,Equity_Country
32.11,-1.06,Equity_Country
31.94,6.57,Equity_Country
31.87,14.41,Equity_Country
31.79,10.55,Equity_Country
31.34,6.94,Equity_Country
31.33,-0.3,Equity_Country
31.04,34.1,Equity_Country
31.03,9.15,Equity_Country
31.01,12.22,Equity_Country
30.59,13.47,Equity_Country
30.58,13.9,Equity_Country
30.57,7.84,Equity_Country
30.39,6.39,Equity_Country
30.2,5.97,Equity_Country
30.19,6.59,Equity_Country
30.19,7.51,Equity_Country
30.13,13.12,Equity_Country
30.03,2.44,Equity_Country
29.97,4.36,Equity_Country
29.87,6.77,Equity_Country
29.85,2.15,Equity_Country
29.72,-7.39,Equity_Country
29.02,0.13,Equity_Country
28.99,-8.13,Equity_Country
28.88,16.77,Equity_Country
24.27,-6.05,Equity_Country
22.79,9.08,Equity_Country
22.75,5.11,Equity_Country
22.74,7.43,Equity_Country
22.73,3.38,Equity_Country
22.62,6.45,Equity_Country
22.62,8.65,Equity_Country
22.61,3.95,Equity_Country
22.6,4.76,Equity_Country
22.6,5.02,Equity_Country
22.59,4.11,Equity_Country
22.38,30.21,Equity_Country
22.38,26.65,Equity_Country
22.37,10.41,Equity_Country
22.36,20.85,Equity_Country
22.34,32.09,Equity_Country
22.33,16.03,Equity_Country
22.32,12.52,Equity_Country
22.32,13.77,Equity_Country
22.29,8.61,Equity_Country
22.26,15.15,Equity_Country
22.24,9.69,Equity_Country
22.21,9.59,Equity_Country
22.21,25.62,Equity_Country
22.21,6.72,Equity_Country
22.19,10.11,Equity_Country
22.18,1.82,Equity_Country
22.17,16.34,Equity_Country
22.15,12.22,Equity_Country
22.14,5.62,Equity_Country
22.13,9.54,Equity_Country
22.13,3.87,Equity_Country
22.12,1.81,Equity_Country
22.11,1.54,Equity_Country
22.11,7.45,Equity_Country
22.1,26.62,Equity_Country
22.09,15.76,Equity_Country
19.44,1.18,Equity_Country
19.44,6.72,Equity_Country
19.43,2.54,Equity_Country
19.39,10.02,Equity_Country
19.37,23.43,Equity_Country
19.36,13.26,Equity_Country
19.36,8.84,Equity_Country
19.34,6.53,Equity_Country
19.32,-0.21,Equity_Country
19.26,11.75,Equity_Country
19.25,6.04,Equity_Country
19.24,7.47,Equity_Country
19.24,14.23,Equity_Country
19.24,22.52,Equity_Country
19.22,0.49,Equity_Country
19.2,5.25,Equity_Country
19.2,6.94,Equity_Country
19.2,3.47,Equity_Country
19.19,5.28,Equity_Country
19.19,2.5,Equity_Country
19.17,9.26,Equity_Country
19.17,6.81,Equity_Country
19.17,3.89,Equity_Country
19.16,7.36,Equity_Country
19.15,3.88,Equity_Country
19.12,4.64,Equity_Country
19.1,8.8,Equity_Country
19.09,8.69,Equity_Country
19.06,8.48,Equity_Country
19.05,3.36,Equity_Country
19.05,7.04,Equity_Country
19.04,7.15,Equity_Country
19.04,27.42,Equity_Country
19.03,6.83,Equity_Country
19.02,-2.66,Equity_Country
19.02,-1.7,Equity_Country
19.01,2.28,Equity_Country
19,2.03,Equity_Country
19,6.87,Equity_Country
19,8.99,Equity_Country
18.99,7.6,Equity_Country
