Type,KCGS_Grade,CO2/REV
1,A+,162
1,A+,56
1,A+,22
1,A+,17
1,A+,9
1,A+,5
1,A+,4
1,A+,4
1,A+,1
1,A+,1
1,A+,0
2,A,5033
2,A,3011
2,A,1731
2,A,1423
2,A,1097
2,A,987
2,A,840
2,A,833
2,A,706
2,A,706
2,A,706
2,A,706
2,A,706
2,A,706
2,A,695
2,A,695
2,A,623
2,A,589
2,A,563
2,A,540
2,A,539
2,A,529
2,A,409
2,A,385
2,A,293
2,A,257
2,A,222
2,A,209
2,A,206
2,A,159
2,A,151
2,A,145
2,A,136
2,A,136
2,A,121
2,A,117
2,A,105
2,A,102
2,A,93
2,A,93
2,A,93
2,A,93
2,A,93
2,A,93
2,A,93
2,A,93
2,A,74
2,A,74
2,A,68
2,A,64
2,A,61
2,A,52
2,A,49
2,A,47
2,A,47
2,A,46
2,A,46
2,A,43
2,A,43
2,A,41
2,A,41
2,A,41
2,A,40
2,A,39
2,A,33
2,A,33
2,A,33
2,A,32
2,A,32
2,A,31
2,A,31
2,A,31
2,A,28
2,A,28
2,A,28
2,A,27
2,A,26
2,A,25
2,A,24
2,A,23
2,A,22
2,A,22
2,A,21
2,A,21
2,A,18
2,A,18
2,A,18
2,A,17
2,A,15
2,A,13
2,A,11
2,A,11
2,A,10
2,A,10
2,A,10
2,A,9
2,A,8
2,A,7
2,A,7
2,A,7
2,A,6
2,A,6
2,A,5
2,A,4
2,A,3
2,A,3
2,A,3
2,A,3
2,A,2
2,A,2
2,A,2
2,A,2
2,A,2
2,A,1
2,A,1
2,A,1
2,A,0
3,B+,5033
3,B+,5033
3,B+,5033
3,B+,5033
3,B+,5033
3,B+,2874
3,B+,2874
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1731
3,B+,1726
3,B+,1505
3,B+,987
3,B+,934
3,B+,856
3,B+,840
3,B+,840
3,B+,840
3,B+,840
3,B+,840
3,B+,706
3,B+,706
3,B+,706
3,B+,695
3,B+,563
3,B+,474
3,B+,427
3,B+,393
3,B+,377
3,B+,352
3,B+,344
3,B+,235
3,B+,222
3,B+,222
3,B+,209
3,B+,209
3,B+,192
3,B+,158
3,B+,158
3,B+,158
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,151
3,B+,136
3,B+,136
3,B+,136
3,B+,123
3,B+,116
3,B+,96
3,B+,96
3,B+,93
3,B+,93
3,B+,88
3,B+,86
3,B+,78
3,B+,78
3,B+,78
3,B+,78
3,B+,76
3,B+,76
3,B+,75
3,B+,74
3,B+,73
3,B+,69
3,B+,69
3,B+,69
3,B+,69
3,B+,69
3,B+,63
3,B+,60
3,B+,49
3,B+,47
3,B+,47
3,B+,46
3,B+,44
3,B+,43
3,B+,43
3,B+,34
3,B+,31
3,B+,31
3,B+,30
3,B+,30
3,B+,28
3,B+,25
3,B+,25
3,B+,24
3,B+,24
3,B+,24
3,B+,22
3,B+,22
3,B+,21
3,B+,21
3,B+,21
3,B+,21
3,B+,21
3,B+,20
3,B+,19
3,B+,16
3,B+,15
3,B+,12
