Sector,Industry_Group,CO2/REV,KCGS_Grade,
Communication Services,Media & Entertainment,23,B,
Communication Services,Media & Entertainment,23,C,
Communication Services,Media & Entertainment,23,NULL,
Communication Services,Media & Entertainment,21,A,
Communication Services,Media & Entertainment,15,D,
Communication Services,Media & Entertainment,13,B,
Communication Services,Media & Entertainment,13,D,
Communication Services,Media & Entertainment,13,D,
Communication Services,Media & Entertainment,13,D,
Communication Services,Media & Entertainment,13,D,
Communication Services,Media & Entertainment,13,D,
Communication Services,Media & Entertainment,8,B,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,D,
Communication Services,Media & Entertainment,8,NULL,
Communication Services,Media & Entertainment,6,D,
Communication Services,Media & Entertainment,6,D,
Communication Services,Media & Entertainment,6,D,
Communication Services,Media & Entertainment,6,NULL,
Communication Services,Media & Entertainment,6,NULL,
Communication Services,Media & Entertainment,6,NULL,
Communication Services,Media & Entertainment,5,D,
Communication Services,Media & Entertainment,4,A,
Communication Services,Media & Entertainment,4,C,
Communication Services,Media & Entertainment,4,D,
Communication Services,Media & Entertainment,3,B+,
Communication Services,Media & Entertainment,3,B+,
Communication Services,Media & Entertainment,1,C,
Communication Services,Telecommunication Services,105,A,
Communication Services,Telecommunication Services,61,A,
Communication Services,Telecommunication Services,56,A+,
Communication Services,Telecommunication Services,45,D,
Consumer Discretionary,Consumer Durables & Apparel,33,A,
Consumer Discretionary,Consumer Durables & Apparel,33,B,
Consumer Discretionary,Consumer Durables & Apparel,33,C,
Consumer Discretionary,Consumer Durables & Apparel,33,C,
Consumer Discretionary,Consumer Durables & Apparel,33,C,
Consumer Discretionary,Consumer Durables & Apparel,33,C,
Consumer Discretionary,Consumer Durables & Apparel,33,D,
Consumer Discretionary,Consumer Durables & Apparel,33,D,
Consumer Discretionary,Consumer Durables & Apparel,33,D,
Consumer Discretionary,Consumer Durables & Apparel,33,D,
Consumer Discretionary,Consumer Durables & Apparel,30,B,
Consumer Discretionary,Consumer Durables & Apparel,30,B,
Consumer Discretionary,Consumer Durables & Apparel,30,B,
Consumer Discretionary,Consumer Durables & Apparel,30,B,
Consumer Discretionary,Consumer Durables & Apparel,30,B+,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,C,
Consumer Discretionary,Consumer Durables & Apparel,30,D,
Consumer Discretionary,Consumer Durables & Apparel,30,D,
Consumer Discretionary,Consumer Durables & Apparel,30,D,
Consumer Discretionary,Consumer Durables & Apparel,30,NULL,
Consumer Discretionary,Consumer Durables & Apparel,27,A,
Consumer Discretionary,Consumer Durables & Apparel,24,B,
Consumer Discretionary,Consumer Durables & Apparel,24,B+,
Consumer Discretionary,Consumer Durables & Apparel,24,B+,
Consumer Discretionary,Consumer Durables & Apparel,24,C,
Consumer Discretionary,Consumer Durables & Apparel,24,C,
Consumer Discretionary,Consumer Durables & Apparel,24,C,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,D,
Consumer Discretionary,Consumer Durables & Apparel,24,NULL,
Consumer Discretionary,Consumer Durables & Apparel,24,B+,
Consumer Discretionary,Consumer Durables & Apparel,16,D,
Consumer Discretionary,Consumer Durables & Apparel,15,B+,
Consumer Discretionary,Consumer Durables & Apparel,14,D,
Consumer Discretionary,Consumer Durables & Apparel,12,B+,
Consumer Discretionary,Consumer Durables & Apparel,5,B,
Consumer Discretionary,Consumer Durables & Apparel,3,A,
Consumer Discretionary,Consumer Durables & Apparel,2,A,
Consumer Discretionary,Automobiles & Components,1505,B+,
Consumer Discretionary,Automobiles & Components,192,B+,
Consumer Discretionary,Automobiles & Components,78,B,
Consumer Discretionary,Automobiles & Components,78,B,
Consumer Discretionary,Automobiles & Components,78,B+,
Consumer Discretionary,Automobiles & Components,78,B+,
Consumer Discretionary,Automobiles & Components,78,B+,
Consumer Discretionary,Automobiles & Components,78,B+,
Consumer Discretionary,Automobiles & Components,78,D,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B,
Consumer Discretionary,Automobiles & Components,69,B+,
Consumer Discretionary,Automobiles & Components,69,B+,
Consumer Discretionary,Automobiles & Components,69,B+,
Consumer Discretionary,Automobiles & Components,69,B+,
Consumer Discretionary,Automobiles & Components,69,B+,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
Consumer Discretionary,Automobiles & Components,69,C,
