Date,KOSPI
2012-01-08,-11.34
2012-01-15,-9.86
2012-01-22,-6.46
2012-01-29,-6.21
2012-02-05,-4.28
2012-02-12,-0.06
2012-02-19,3.02
2012-02-26,4.19
2012-03-04,6.2
2012-03-11,1.94
2012-03-18,4.69
2012-03-25,2.12
2012-04-01,-2.56
2012-04-08,-2.83
2012-04-15,-3.72
2012-04-22,-7.68
2012-04-29,-8.67
2012-05-06,-7.18
2012-05-13,-10.16
2012-05-20,-15.23
2012-05-27,-8.92
2012-06-03,-12.98
2012-06-10,-10.09
2012-06-17,-9.05
2012-06-24,-8.67
2012-07-01,-9.64
2012-07-08,-12.92
2012-07-15,-13.08
2012-07-22,-13.16
2012-07-29,-13.18
2012-08-05,-7.37
2012-08-12,12.48
2012-08-19,7.47
2012-08-26,14.18
2012-09-02,4.83
2012-09-09,8.99
2012-09-16,19.25
2012-09-23,11.41
2012-09-30,18.81
2012-10-07,22.16
2012-10-14,8.07
2012-10-21,6.62
2012-10-28,1.16
2012-11-04,2.55
2012-11-11,1.09
2012-11-18,1.92
2012-11-25,9.95
2012-12-02,6.79
2012-12-09,4.21
2012-12-16,10.59
2012-12-23,9.86
2012-12-30,12.09
2013-01-06,10.21
2013-01-13,10.59
2013-01-20,6.82
2013-01-27,0.73
2013-02-03,1.38
2013-02-10,-1.1
2013-02-17,-0.48
2013-02-24,1.34
2013-03-03,2.9
2013-03-10,1.8
2013-03-17,-2.2
2013-03-24,-3.63
2013-03-31,-0.29
2013-04-07,-5.32
2013-04-14,-3.45
2013-04-21,-5.28
2013-04-28,-2.15
2013-05-05,-2.69
2013-05-12,-0.91
2013-05-19,7.36
2013-05-26,8.19
2013-06-02,8.34
2013-06-09,3.47
2013-06-16,-0.2
2013-06-23,-4.48
2013-06-30,2.09
2013-07-07,-3.12
2013-07-14,4.6
2013-07-21,1.79
2013-07-28,6.48
2013-08-04,1.7
2013-08-11,-4.74
2013-08-18,-3.1
2013-08-25,-4.34
2013-09-01,1.44
2013-09-08,4.59
2013-09-15,2.68
2013-09-22,0.59
2013-09-29,1.64
2013-10-06,1.08
2013-10-13,6.54
2013-10-20,6.62
2013-10-27,7.47
2013-11-03,9.61
2013-11-10,5.33
2013-11-17,9.22
2013-11-24,6.95
2013-12-01,7.02
2013-12-08,2.48
2013-12-15,-1.82
2013-12-22,-0.21
2013-12-29,1.41
2014-01-05,-3.77
2014-01-12,-3.6
2014-01-19,-1.43
2014-01-26,-1.13
2014-02-02,-0.55
2014-02-09,-0.23
2014-02-16,-2.2
2014-02-23,-3.25
2014-03-02,-2.46
2014-03-09,-1.68
2014-03-16,-4.35
2014-03-23,-0.87
2014-03-30,-0.61
2014-04-06,2.05
2014-04-13,2.82
2014-04-20,6.67
2014-04-27,2.27
2014-05-04,1.16
2014-05-11,-0.17
2014-05-18,2.65
2014-05-25,3.76
2014-06-01,0.61
2014-06-08,2.69
2014-06-15,6.99
2014-06-22,7.42
2014-06-29,9.61
2014-07-06,10.44
2014-07-13,6.41
2014-07-20,8.89
2014-07-27,7.52
2014-08-03,9.08
2014-08-10,8.83
2014-08-17,7.59
2014-08-24,11.14
2014-08-31,7.81
2014-09-07,4.06
2014-09-14,0.73
2014-09-21,0.99
2014-09-28,-0.59
2014-10-05,-3.47
2014-10-12,-5.77
2014-10-19,-10.06
2014-10-26,-8.84
2014-11-02,-5.14
2014-11-09,-5.03
2014-11-16,-2.92
2014-11-23,-3.65
2014-11-30,-4.9
2014-12-07,-1.56
2014-12-14,-3.83
2014-12-21,-3.67
2014-12-28,-3.94
2015-01-04,-3.63
2015-01-11,-1.6
2015-01-18,-3.79
2015-01-25,0.05
2015-02-01,0.21
2015-02-08,2.07
2015-02-15,0.93
2015-02-22,0.11
2015-03-01,-1.26
2015-03-08,0.76
2015-03-15,1.86
2015-03-22,5.5
2015-03-29,0.74
2015-04-05,0.4
2015-04-12,1.24
2015-04-19,4.79
2015-04-26,5.29
2015-05-03,5.82
2015-05-10,4.2
2015-05-17,1
2015-05-24,2.45
2015-05-31,0.57
2015-06-07,-0.77
2015-06-14,-2.6
2015-06-21,-2.11
2015-06-28,-0.75
2015-07-05,-1.09
2015-07-12,-3.41
2015-07-19,-3.11
2015-07-26,-5.46
2015-08-02,-8.13
2015-08-09,-8.45
2015-08-16,-9.48
2015-08-23,-12.26
2015-08-30,-11.48
2015-09-06,-12.18
2015-09-13,-8.76
2015-09-20,-6.57
2015-09-27,-8.26
2015-10-04,-3.82
2015-10-11,0.46
2015-10-18,3.32
2015-10-25,3.92
2015-11-01,1.64
2015-11-08,2.66
2015-11-15,-1.59
2015-11-22,-0.29
2015-11-29,-0.29
2015-12-06,-3.35
2015-12-13,-0.74
2015-12-20,1.07
2015-12-27,-0.51
2016-01-03,-0.09
2016-01-10,-2.83
2016-01-17,-5.57
2016-01-24,-6.59
2016-01-31,-5.99
2016-02-07,-5.25
2016-02-14,-7.86
2016-02-21,-4.67
2016-02-28,-5.65
2016-03-06,-4.36
2016-03-13,-2.64
2016-03-20,-3.84
2016-03-27,-4.23
2016-04-03,-3.27
2016-04-10,-4.82
2016-04-17,-4.83
2016-04-24,-5.93
2016-05-01,-6.9
2016-05-08,-7.37
2016-05-15,-6.98
2016-05-22,-8.43
2016-05-29,-5.37
2016-06-05,-2.11
2016-06-12,0.51
2016-06-19,-1.26
2016-06-26,-4.5
2016-07-03,-1.62
2016-07-10,1.17
2016-07-17,2.36
2016-07-24,2.69
2016-07-31,4.11
2016-08-07,5.69
2016-08-14,9.94
2016-08-21,12.43
2016-08-28,14.58
2016-09-04,13.61
2016-09-11,11.78
2016-09-18,9.69
2016-09-25,12.31
2016-10-02,10.76
2016-10-09,8.74
2016-10-16,6.05
2016-10-23,5.1
2016-10-30,4.58
2016-11-06,1.93
2016-11-13,4.38
2016-11-20,5.54
2016-11-27,4.19
2016-12-04,4.45
2016-12-11,11.01
2016-12-18,9.83
2016-12-25,8.09
2017-01-01,9.96
2017-01-08,14.46
2017-01-15,17.05
2017-01-22,21.1
2017-01-29,21.46
2017-02-05,19.79
2017-02-12,17.48
2017-02-19,18.24
2017-02-26,17.41
2017-03-05,14.62
2017-03-12,15.05
2017-03-19,17.75
2017-03-26,17.7
2017-04-02,16.31
2017-04-09,17.34
2017-04-16,13.54
2017-04-23,14.42
2017-04-30,18.94
2017-05-07,22.6
2017-05-14,25.52
2017-05-21,27.19
2017-05-28,30.14
2017-06-04,28.58
2017-06-11,26.12
2017-06-18,29.51
2017-06-25,28.48
2017-07-02,30.24
2017-07-09,29.53
2017-07-16,29.56
2017-07-23,31.04
2017-07-30,27.28
2017-08-06,28.36
2017-08-13,20.61
2017-08-20,21.95
2017-08-27,23.46
2017-09-03,22.68
2017-09-10,20.28
2017-09-17,27.15
2017-09-24,25.11
2017-10-01,23.99
2017-10-08,23.99
2017-10-15,31.57
2017-10-22,29.89
2017-10-29,30.91
2017-11-05,36.83
2017-11-12,34.39
2017-11-19,36.26
2017-11-26,35.92
2017-12-03,30.33
2017-12-10,26.55
2017-12-17,27.42
2017-12-24,25.2
2017-12-31,27.47
2018-01-07,28.01
2018-01-14,23.37
2018-01-21,25.47
2018-01-28,26.39
2018-02-04,24.15
2018-02-11,16.08
2018-02-18,19.63
2018-02-25,18.35
2018-03-04,15.28
2018-03-11,19.21
2018-03-18,17.45
2018-03-25,12.66
2018-04-01,13.86
2018-04-08,13.58
2018-04-15,14.9
2018-04-22,16.58
2018-04-29,13.85
2018-05-06,10.34
2018-05-13,8.25
2018-05-20,7.63
2018-05-27,6.14
2018-06-03,4.94
2018-06-10,4.76
2018-06-17,2.54
2018-06-24,-0.04
2018-07-01,-2.25
2018-07-08,-4.17
2018-07-15,-3.74
2018-07-22,-5.56
2018-07-29,-5.28
2018-08-05,-3.45
2018-08-12,-2.88
2018-08-19,-4.75
2018-08-26,-2.99
2018-09-02,-0.72
2018-09-09,-2.69
2018-09-16,-2.96
2018-09-23,-3.59
2018-09-30,-2.25
2018-10-07,-5.98
2018-10-14,-13.07
2018-10-21,-12.87
2018-10-28,-17.98
2018-11-04,-17.51
2018-11-11,-17.79
2018-11-18,-17
2018-11-25,-18.67
2018-12-02,-14.78
2018-12-09,-15.31
2018-12-16,-16.47
2018-12-23,-15.31
2018-12-30,-17.36
2019-01-06,-18.61
2019-01-13,-15.98
2019-01-20,-14.76
2019-01-27,-13.63
2019-02-03,-12.18
2019-02-10,-7.46
2019-02-17,-7.47
2019-02-24,-5.25
2019-03-03,-7.07
2019-03-10,-10.55
2019-03-17,-11.13
2019-03-24,-10.3
2019-03-31,-9.63
2019-04-07,-5.99
2019-04-14,-5.49
2019-04-21,-8.32
2019-04-28,-9.2
2019-05-05,-9.26
2019-05-12,-12.08
2019-05-19,-13.75
2019-05-26,-14.59
2019-06-02,-12.96
2019-06-09,-13.4
2019-06-16,-10.87
2019-06-23,-6.15
2019-06-30,-4.46
2019-07-07,-3.4
2019-07-14,-4.9
2019-07-21,-4.73
2019-07-28,-5.86
2019-08-04,-8.11
2019-08-11,-12.11
2019-08-18,-9.66
2019-08-25,-10.74
2019-09-01,-10.87
2019-09-08,-7.45
2019-09-15,-5.01
2019-09-22,-5.18
2019-09-29,-7.89
2019-10-06,-5.86
2019-10-13,1.29
2019-10-20,1
2019-10-27,6.71
2019-11-03,8.63
2019-11-10,6.74
2019-11-17,8.54
2019-11-24,7.06
2019-12-01,3.57
2019-12-08,6.19
2019-12-15,10.47
2019-12-22,14.4
2019-12-29,15.95
2020-01-05,16.35
2020-01-12,14.5
2020-01-19,14.18
2020-01-26,12.98
2020-02-02,1.86
2020-02-09,6.84
2020-02-16,7.43
2020-02-23,3.77
2020-03-01,-3.35
2020-03-08,0.61
2020-03-15,-10.76
2020-03-22,-21.9
2020-03-29,-13.77
2020-04-05,-17.03
2020-04-12,-11.89
2020-04-19,-10.15
2020-04-26,-9.76
2020-05-03,-7.92
2020-05-10,-6.3
2020-05-17,-3.73
2020-05-24,-0.41
2020-05-31,5
2020-06-07,10.91
2020-06-14,5.67
2020-06-21,5.27
2020-06-28,5.19
2020-07-05,7.37
2020-07-12,8.5
2020-07-19,9.86
2020-07-26,8.82
2020-08-02,14.94
2020-08-09,26.86
2020-08-16,28.1
2020-08-23,21.17
2020-08-30,24.96
2020-09-06,21.88
2020-09-13,19.43
2020-09-20,19.19
2020-09-27,13.07
2020-10-04,16.54
2020-10-11,19.54
2020-10-18,15.31
2020-10-25,16.44
2020-11-01,11.85
2020-11-08,15.67
2020-11-15,20.96
2020-11-22,23.31
2020-11-29,27.41
2020-12-06,37
2020-12-13,35.68
2020-12-20,29.01
2020-12-27,32.25
2021-01-03,34.89
2021-01-10,51.32
2021-01-17,42.78
2021-01-24,42.06
2021-01-31,40.09
2021-02-07,47.56
2021-02-14,44.21
2021-02-21,43.63
2021-02-28,49.06
2021-03-07,49.05
2021-03-14,71.06
