Date,CD
2011-01-07,"1,970"
2011-01-14,"1,982"
2011-01-21,"1,865"
2011-01-28,"1,868"
2011-02-04,"1,807"
2011-02-11,"1,727"
2011-02-18,"1,795"
2011-02-25,"1,773"
2011-03-04,"1,862"
2011-03-11,"1,827"
2011-03-18,"1,817"
2011-03-25,"1,974"
2011-04-01,"2,045"
2011-04-08,"2,086"
2011-04-15,"2,199"
2011-04-22,"2,276"
2011-04-29,"2,289"
2011-05-06,"2,233"
2011-05-13,"2,190"
2011-05-20,"2,254"
2011-05-27,"2,318"
2011-06-03,"2,307"
2011-06-10,"2,205"
2011-06-17,"2,231"
2011-06-24,"2,289"
2011-07-01,"2,369"
2011-07-08,"2,449"
2011-07-15,"2,409"
2011-07-22,"2,425"
2011-07-29,"2,361"
2011-08-05,"2,136"
2011-08-12,"2,008"
2011-08-19,"1,921"
2011-08-26,"1,991"
2011-09-02,"2,088"
2011-09-09,"2,050"
2011-09-16,"2,108"
2011-09-23,"1,980"
2011-09-30,"2,108"
2011-10-07,"1,998"
2011-10-14,"2,109"
2011-10-21,"2,139"
2011-10-28,"2,188"
2011-11-04,"2,247"
2011-11-11,"2,142"
2011-11-18,"2,076"
2011-11-25,"1,999"
2011-12-02,"2,117"
2011-12-09,"2,063"
2011-12-16,"1,998"
2011-12-23,"2,036"
2011-12-30,"2,026"
2012-01-06,"2,060"
2012-01-13,"2,110"
2012-01-20,"2,139"
2012-01-27,"2,106"
2012-02-03,"2,050"
2012-02-10,"2,072"
2012-02-17,"2,110"
2012-02-24,"2,087"
2012-03-02,"2,104"
2012-03-09,"2,064"
2012-03-16,"2,111"
2012-03-23,"2,099"
2012-03-30,"2,136"
2012-04-06,"2,293"
2012-04-13,"2,244"
2012-04-20,"2,201"
2012-04-27,"2,242"
2012-05-04,"2,228"
2012-05-11,"2,170"
2012-05-18,"2,026"
2012-05-25,"2,062"
2012-06-01,"2,091"
2012-06-08,"2,049"
2012-06-15,"2,083"
2012-06-22,"2,101"
2012-06-29,"2,057"
2012-07-06,"2,043"
2012-07-13,"2,010"
2012-07-20,"2,029"
2012-07-27,"2,041"
2012-08-03,"2,047"
2012-08-10,"2,169"
2012-08-17,"2,167"
2012-08-24,"2,132"
2012-08-31,"2,124"
2012-09-07,"2,109"
2012-09-14,"2,195"
2012-09-21,"2,166"
2012-09-28,"2,155"
2012-10-05,"2,135"
2012-10-12,"2,065"
2012-10-19,"2,053"
2012-10-26,"1,967"
2012-11-02,"1,923"
2012-11-09,"1,887"
2012-11-16,"1,895"
2012-11-23,"1,922"
2012-11-30,"2,005"
2012-12-07,"2,001"
2012-12-14,"2,045"
2012-12-21,"2,007"
2012-12-28,"2,002"
2013-01-04,"1,932"
2013-01-11,"1,909"
2013-01-18,"1,933"
2013-01-25,"1,866"
2013-02-01,"1,944"
2013-02-08,"1,971"
2013-02-15,"1,991"
2013-02-22,"2,045"
2013-03-01,"2,054"
2013-03-08,"2,015"
2013-03-15,"2,037"
2013-03-22,"2,007"
2013-03-29,"2,070"
2013-04-05,"1,931"
2013-04-12,"1,912"
2013-04-19,"1,844"
2013-04-26,"1,884"
2013-05-03,"1,932"
2013-05-10,"1,867"
2013-05-17,"1,934"
2013-05-24,"1,978"
2013-05-31,"2,026"
2013-06-07,"1,974"
2013-06-14,"1,911"
2013-06-21,"1,892"
2013-06-28,"2,011"
2013-07-05,"1,953"
2013-07-12,"1,938"
2013-07-19,"1,978"
2013-07-26,"2,006"
2013-08-02,"2,031"
2013-08-09,"1,965"
2013-08-16,"2,031"
2013-08-23,"1,988"
2013-08-30,"2,101"
2013-09-06,"2,136"
2013-09-13,"2,145"
2013-09-20,"2,185"
2013-09-27,"2,179"
2013-10-04,"2,136"
2013-10-11,"2,190"
2013-10-18,"2,186"
2013-10-25,"2,200"
2013-11-01,"2,186"
2013-11-08,"2,178"
2013-11-15,"2,169"
2013-11-22,"2,190"
2013-11-29,"2,202"
2013-12-06,"2,075"
2013-12-13,"2,067"
2013-12-20,"2,034"
2013-12-27,"2,096"
2014-01-03,"2,034"
2014-01-10,"2,038"
2014-01-17,"2,064"
2014-01-24,"2,076"
2014-01-31,"2,138"
2014-02-07,"2,120"
2014-02-14,"2,124"
2014-02-21,"2,118"
2014-02-28,"2,172"
2014-03-07,"2,149"
2014-03-14,"2,090"
2014-03-21,"2,136"
2014-03-28,"2,215"
2014-04-04,"2,220"
2014-04-11,"2,184"
2014-04-18,"2,199"
2014-04-25,"2,141"
2014-05-02,"2,102"
2014-05-09,"2,124"
2014-05-16,"2,166"
2014-05-23,"2,173"
2014-05-30,"2,134"
2014-06-06,"2,126"
2014-06-13,"2,113"
2014-06-20,"2,075"
2014-06-27,"2,131"
2014-07-04,"2,124"
2014-07-11,"2,107"
2014-07-18,"2,155"
2014-07-25,"2,155"
2014-08-01,"2,258"
2014-08-08,"2,178"
2014-08-15,"2,217"
2014-08-22,"2,194"
2014-08-29,"2,227"
2014-09-05,"2,146"
2014-09-12,"2,147"
2014-09-19,"2,063"
2014-09-26,"2,029"
2014-10-03,"1,972"
2014-10-10,"1,979"
2014-10-17,"1,871"
2014-10-24,"1,937"
2014-10-31,"1,910"
2014-11-07,"1,861"
2014-11-14,"1,913"
2014-11-21,"1,883"
2014-11-28,"1,930"
2014-12-05,"1,973"
2014-12-12,"1,901"
2014-12-19,"1,857"
2014-12-26,"1,894"
2015-01-02,"1,875"
2015-01-09,"1,903"
2015-01-16,"1,890"
2015-01-23,"1,878"
2015-01-30,"1,871"
2015-02-06,"1,838"
2015-02-13,"1,818"
2015-02-20,"1,842"
2015-02-27,"1,845"
2015-03-06,"1,911"
2015-03-13,"1,870"
2015-03-20,"1,906"
2015-03-27,"1,849"
2015-04-03,"1,853"
2015-04-10,"1,850"
2015-04-17,"1,927"
2015-04-24,"1,992"
2015-05-01,"1,908"
2015-05-08,"1,909"
2015-05-15,"1,899"
2015-05-22,"1,916"
2015-05-29,"1,894"
2015-06-05,"1,768"
2015-06-12,"1,760"
2015-06-19,"1,706"
2015-06-26,"1,749"
2015-07-03,"1,767"
2015-07-10,"1,683"
2015-07-17,"1,680"
2015-07-24,"1,758"
2015-07-31,"1,813"
2015-08-07,"1,764"
2015-08-14,"1,781"
2015-08-21,"1,741"
2015-08-28,"1,793"
2015-09-04,"1,783"
2015-09-11,"1,836"
2015-09-18,"1,876"
2015-09-25,"1,844"
2015-10-02,"1,896"
2015-10-09,"1,881"
2015-10-16,"1,870"
2015-10-23,"1,872"
2015-10-30,"1,867"
2015-11-06,"1,910"
2015-11-13,"1,847"
2015-11-20,"1,839"
2015-11-27,"1,831"
2015-12-04,"1,801"
2015-12-11,"1,774"
2015-12-18,"1,845"
2015-12-25,"1,831"
2016-01-01,"1,806"
