Date,CM
2012-01-08,0.28
2012-01-15,4.7
2012-01-22,5.44
2012-01-29,6.79
2012-02-05,6.86
2012-02-12,6.01
2012-02-19,7.33
2012-02-26,11.08
2012-03-04,12.88
2012-03-11,6.87
2012-03-18,12.52
2012-03-25,12.53
2012-04-01,11.51
2012-04-08,10.59
2012-04-15,9.6
2012-04-22,6.59
2012-04-29,1.4
2012-05-06,-1.24
2012-05-13,1.8
2012-05-20,-4.95
2012-05-27,-3.3
2012-06-03,-2.81
2012-06-10,0.3
2012-06-17,-2.37
2012-06-24,-2.88
2012-07-01,-0.06
2012-07-08,-1.65
2012-07-15,1.64
2012-07-22,-2.67
2012-07-29,-0.78
2012-08-05,3.63
2012-08-12,11.5
2012-08-19,12.57
2012-08-26,8.24
2012-09-02,5.84
2012-09-09,9.02
2012-09-16,14.71
2012-09-23,7.58
2012-09-30,7.8
2012-10-07,4.51
2012-10-14,-0.31
2012-10-21,-8
2012-10-28,-6.41
2012-11-04,-2.8
2012-11-11,-6.48
2012-11-18,-3.37
2012-11-25,1.61
2012-12-02,-3.26
2012-12-09,-5
2012-12-16,-1.48
2012-12-23,-2.35
2012-12-30,-1.2
2013-01-06,0.92
2013-01-13,3.21
2013-01-20,5.56
2013-01-27,8.8
2013-02-03,9.75
2013-02-10,12.08
2013-02-17,5.06
2013-02-24,9.63
2013-03-03,10.99
2013-03-10,14.85
2013-03-17,11.35
2013-03-24,6.1
2013-03-31,8.84
2013-04-07,7.28
2013-04-14,6.58
2013-04-21,14.72
2013-04-28,19.62
2013-05-05,29.42
2013-05-12,27.78
2013-05-19,39.71
2013-05-26,43.27
2013-06-02,38.38
2013-06-09,28.21
2013-06-16,32.81
2013-06-23,29.1
2013-06-30,29.2
2013-07-07,28.71
2013-07-14,32.9
2013-07-21,32.35
2013-07-28,30.22
2013-08-04,27.52
2013-08-11,25.85
2013-08-18,20.52
2013-08-25,14.87
2013-09-01,16.39
2013-09-08,12.43
2013-09-15,17.26
2013-09-22,19.38
2013-09-29,21.01
2013-10-06,21.47
2013-10-13,26.74
2013-10-20,30.28
2013-10-27,27.86
2013-11-03,30.52
2013-11-10,25.48
2013-11-17,30.84
2013-11-24,29.03
2013-12-01,38.06
2013-12-08,41.05
2013-12-15,37.21
2013-12-22,42.16
2013-12-29,44.5
2014-01-05,41.11
2014-01-12,38.5
2014-01-19,35.41
2014-01-26,24.61
2014-02-02,28.14
2014-02-09,27.36
2014-02-16,28.7
2014-02-23,24.74
2014-03-02,27.37
2014-03-09,25.35
2014-03-16,24.37
2014-03-23,24.83
2014-03-30,26.82
2014-04-06,21.02
2014-04-13,22.76
2014-04-20,17.12
2014-04-27,14.85
2014-05-04,10.21
2014-05-11,6.26
2014-05-18,6.01
2014-05-25,6.72
2014-06-01,6.25
2014-06-08,6.26
2014-06-15,9.02
2014-06-22,10.74
2014-06-29,16.43
2014-07-06,13.95
2014-07-13,7.45
2014-07-20,4.91
2014-07-27,5.28
2014-08-03,9.11
2014-08-10,12.29
2014-08-17,10.92
2014-08-24,15.11
2014-08-31,16.02
2014-09-07,18.69
2014-09-14,15.15
2014-09-21,19.54
2014-09-28,14.34
2014-10-05,13.72
2014-10-12,8.97
2014-10-19,1.86
2014-10-26,-1.77
2014-11-02,2.01
2014-11-09,6.03
2014-11-16,5.17
2014-11-23,9.05
2014-11-30,0.95
2014-12-07,5.76
2014-12-14,0.65
2014-12-21,1.92
2014-12-28,1.93
2015-01-04,-0.14
2015-01-11,3.4
2015-01-18,1.99
2015-01-25,8.52
2015-02-01,9.43
2015-02-08,7.45
2015-02-15,7.09
2015-02-22,7.55
2015-03-01,4.48
2015-03-08,4.51
2015-03-15,0.96
2015-03-22,1.13
2015-03-29,2.08
2015-04-05,3.02
2015-04-12,2.82
2015-04-19,5.18
2015-04-26,6.92
2015-05-03,7.59
2015-05-10,3.49
2015-05-17,0.54
2015-05-24,2.63
2015-05-31,0.5
2015-06-07,0.83
2015-06-14,-0.92
2015-06-21,-3.08
2015-06-28,-1.87
2015-07-05,-4.06
2015-07-12,2.09
