Date,CM
2011-01-07,1058
2011-01-14,1015
2011-01-21,1010
2011-01-28,994
2011-02-04,971
2011-02-11,972
2011-02-18,978
2011-02-25,973
2011-03-04,982
2011-03-11,982
2011-03-18,963
2011-03-25,978
2011-04-01,1024
2011-04-08,1018
2011-04-15,1028
2011-04-22,1047
2011-04-29,1057
2011-05-06,1060
2011-05-13,1018
2011-05-20,1005
2011-05-27,1004
2011-06-03,1015
2011-06-10,992
2011-06-17,1006
2011-06-24,1025
2011-07-01,1041
2011-07-08,1035
2011-07-15,1031
2011-07-22,1075
2011-07-29,1067
2011-08-05,1022
2011-08-12,947
2011-08-19,1053
2011-08-26,1003
2011-09-02,1061
2011-09-09,1054
2011-09-16,1079
2011-09-23,1082
2011-09-30,1112
2011-10-07,1086
2011-10-14,1176
2011-10-21,1181
2011-10-28,1163
2011-11-04,1165
2011-11-11,1142
2011-11-18,1112
2011-11-25,1110
2011-12-02,1129
2011-12-09,1095
2011-12-16,1085
2011-12-23,1118
2011-12-30,1106
2012-01-06,1053
2012-01-13,1061
2012-01-20,1064
2012-01-27,1072
2012-02-03,1038
2012-02-10,1044
2012-02-17,1037
2012-02-24,1068
2012-03-02,1083
2012-03-09,1062
2012-03-16,1083
2012-03-23,1110
2012-03-30,1106
2012-04-06,1133
2012-04-13,1123
2012-04-20,1101
2012-04-27,1071
2012-05-04,1051
2012-05-11,1048
2012-05-18,955
2012-05-25,962
2012-06-01,987
2012-06-08,1019
2012-06-15,979
2012-06-22,1001
2012-06-29,1034
2012-07-06,1032
2012-07-13,1041
2012-07-20,1030
2012-07-27,1072
2012-08-03,1093
2012-08-10,1066
2012-08-17,1124
2012-08-24,1125
2012-08-31,1129
2012-09-07,1177
2012-09-14,1183
2012-09-21,1168
2012-09-28,1171
2012-10-05,1159
2012-10-12,1121
2012-10-19,1126
2012-10-26,1117
2012-11-02,1122
2012-11-09,1101
2012-11-16,1094
2012-11-23,1127
2012-11-30,1088
2012-12-07,1066
2012-12-14,1081
2012-12-21,1082
2012-12-28,1083
2013-01-04,1100
2013-01-11,1081
2013-01-18,1118
2013-01-25,1154
2013-02-01,1148
2013-02-08,1149
2013-02-15,1129
2013-02-22,1167
2013-03-01,1181
2013-03-08,1217
2013-03-15,1210
2013-03-22,1189
2013-03-29,1201
2013-04-05,1221
2013-04-12,1196
2013-04-19,1263
2013-04-26,1269
2013-05-03,1363
2013-05-10,1358
2013-05-17,1389
2013-05-24,1390
2013-05-31,1353
2013-06-07,1302
2013-06-14,1320
2013-06-21,1310
2013-06-28,1312
2013-07-05,1354
2013-07-12,1359
2013-07-19,1358
2013-07-26,1363
2013-08-02,1383
2013-08-09,1356
2013-08-16,1349
2013-08-23,1315
2013-08-30,1325
2013-09-06,1325
2013-09-13,1384
2013-09-20,1358
2013-09-27,1398
2013-10-04,1399
2013-10-11,1423
2013-10-18,1473
