Date,CS
2012-01-08,-1.63
2012-01-15,-2.2
2012-01-22,-0.86
2012-01-29,1.48
2012-02-05,1.59
2012-02-12,2.35
2012-02-19,3.33
2012-02-26,6.24
2012-03-04,7.23
2012-03-11,3.45
2012-03-18,9.32
2012-03-25,9.04
2012-04-01,7.71
2012-04-08,2.74
2012-04-15,4.45
2012-04-22,4.24
2012-04-29,1.14
2012-05-06,0.64
2012-05-13,1.08
2012-05-20,-3.15
2012-05-27,-3.36
2012-06-03,-2.59
2012-06-10,0.37
2012-06-17,1.4
2012-06-24,1.7
2012-07-01,2.02
2012-07-08,-0.6
2012-07-15,3.12
2012-07-22,2.19
2012-07-29,1.38
2012-08-05,4.81
2012-08-12,15.82
2012-08-19,11.87
2012-08-26,13.11
2012-09-02,12.11
2012-09-09,13.31
2012-09-16,17.29
2012-09-23,17.44
2012-09-30,20.9
2012-10-07,20.32
2012-10-14,23.02
2012-10-21,14.12
2012-10-28,15.06
2012-11-04,20.7
2012-11-11,19.04
2012-11-18,20.39
2012-11-25,22.71
2012-12-02,18.33
2012-12-09,13.7
2012-12-16,14.99
2012-12-23,18.1
2012-12-30,18.75
2013-01-06,19.99
2013-01-13,25.45
2013-01-20,27.8
2013-01-27,24.35
2013-02-03,21.73
2013-02-10,22.72
2013-02-17,25.17
2013-02-24,24.7
2013-03-03,28.25
2013-03-10,31.34
2013-03-17,26.09
2013-03-24,22.05
2013-03-31,24.85
2013-04-07,25.11
2013-04-14,24.43
2013-04-21,30.38
2013-04-28,30.03
2013-05-05,33.13
2013-05-12,28.46
2013-05-19,33.19
2013-05-26,35.15
2013-06-02,30.38
2013-06-09,22.05
2013-06-16,24.36
2013-06-23,16.78
2013-06-30,18.84
2013-07-07,20.83
2013-07-14,19.87
2013-07-21,19.42
2013-07-28,21.2
2013-08-04,20.38
2013-08-11,17.75
2013-08-18,13.96
2013-08-25,7.88
2013-09-01,10.49
2013-09-08,12.14
2013-09-15,13.07
2013-09-22,12.37
2013-09-29,9.17
2013-10-06,8.72
2013-10-13,7.5
2013-10-20,5.54
2013-10-27,4.77
2013-11-03,3.36
2013-11-10,2.26
2013-11-17,2.83
2013-11-24,2.39
2013-12-01,7
2013-12-08,4.82
2013-12-15,4.67
2013-12-22,4.4
2013-12-29,5.68
2014-01-05,4
2014-01-12,2.23
2014-01-19,1.4
2014-01-26,-0.19
2014-02-02,2.97
2014-02-09,2.34
2014-02-16,4.59
2014-02-23,3.48
2014-03-02,2.19
2014-03-09,1.98
2014-03-16,-0.06
2014-03-23,3.78
2014-03-30,3.74
2014-04-06,0.97
2014-04-13,6.06
2014-04-20,2.1
2014-04-27,0.85
2014-05-04,0.41
2014-05-11,2.5
2014-05-18,4.31
2014-05-25,5.17
2014-06-01,5.14
2014-06-08,8.73
2014-06-15,8.18
2014-06-22,11.81
2014-06-29,15.62
2014-07-06,14.34
2014-07-13,12.89
2014-07-20,11.64
2014-07-27,10.77
2014-08-03,16.52
2014-08-10,19.48
2014-08-17,20.87
2014-08-24,27.6
2014-08-31,26.33
2014-09-07,25.46
2014-09-14,21.41
2014-09-21,27.72
2014-09-28,27.21
2014-10-05,27.42
2014-10-12,26.22
2014-10-19,24.57
2014-10-26,22.53
2014-11-02,22.42
2014-11-09,25.24
2014-11-16,23.79
2014-11-23,26.38
2014-11-30,23.75
2014-12-07,25.09
2014-12-14,20.92
2014-12-21,18.79
2014-12-28,16.49
2015-01-04,15.46
2015-01-11,13.27
2015-01-18,13.9
2015-01-25,21.98
2015-02-01,23.18
2015-02-08,25.09
2015-02-15,27.94
2015-02-22,25.96
2015-03-01,23.08
2015-03-08,23.23
2015-03-15,23.15
2015-03-22,30.33
2015-03-29,30.19
2015-04-05,34.39
2015-04-12,31.66
2015-04-19,38.93
2015-04-26,38.84
2015-05-03,37.48
2015-05-10,34.22
2015-05-17,36.39
2015-05-24,40.14
2015-05-31,37.7
2015-06-07,35.79
2015-06-14,33.58
2015-06-21,35.08
2015-06-28,39.07
2015-07-05,40.88
2015-07-12,35.16
2015-07-19,39.03
2015-07-26,38.55
2015-08-02,35.01
2015-08-09,34.14
2015-08-16,29.42
2015-08-23,25.04
2015-08-30,23.6
2015-09-06,15.92
2015-09-13,22.98
2015-09-20,21.01
2015-09-27,18.43
2015-10-04,21.04
2015-10-11,22.21
2015-10-18,24.46
2015-10-25,22.78
2015-11-01,22.51
2015-11-08,22.31
2015-11-15,20.63
2015-11-22,21.42
2015-11-29,24.07
2015-12-06,20.87
2015-12-13,26.16
2015-12-20,28.55
2015-12-27,27.98
2016-01-03,29.72
2016-01-10,30.59
2016-01-17,26.51
2016-01-24,20.67
2016-01-31,22.93
2016-02-07,20.78
2016-02-14,14.16
2016-02-21,15.35
2016-02-28,17.97
2016-03-06,17.68
2016-03-13,20.16
2016-03-20,16.66
2016-03-27,11.56
2016-04-03,10.66
2016-04-10,13.33
2016-04-17,10.18
2016-04-24,8.57
2016-05-01,7.82
2016-05-08,9.68
2016-05-15,11.21
2016-05-22,4.05
2016-05-29,8.21
2016-06-05,11.58
2016-06-12,11.41
2016-06-19,7.32
2016-06-26,3.74
2016-07-03,6.23
2016-07-10,8.02
2016-07-17,2.71
2016-07-24,4.02
2016-07-31,-0.38
2016-08-07,-5.13
2016-08-14,-0.95
2016-08-21,-1.66
2016-08-28,0.61
2016-09-04,0.45
2016-09-11,1
2016-09-18,-1.32
2016-09-25,1.18
2016-10-02,-2.31
2016-10-09,-5.51
2016-10-16,-4.48
2016-10-23,-5.95
2016-10-30,-8.07
2016-11-06,-7.47
2016-11-13,-5.74
2016-11-20,-7.37
2016-11-27,-10.96
2016-12-04,-13.03
2016-12-11,-8.59
2016-12-18,-8.34
2016-12-25,-10.72
2017-01-01,-10.11
2017-01-08,-10.9
2017-01-15,-10.74
2017-01-22,-7.21
2017-01-29,-7.69
2017-02-05,-11.29
2017-02-12,-9.71
2017-02-19,-4.22
2017-02-26,-3.63
2017-03-05,-9.77
2017-03-12,-7.43
2017-03-19,-8.47
2017-03-26,-6.02
2017-04-02,-6.96
2017-04-09,-7.02
2017-04-16,-8.81
2017-04-23,-6.04
2017-04-30,-8.93
2017-05-07,-9.65
2017-05-14,-8.51
2017-05-21,-5.88
2017-05-28,-3.67
2017-06-04,-3.09
2017-06-11,-5.26
2017-06-18,-2.35
2017-06-25,-4.04
2017-07-02,-7.18
2017-07-09,-8.92
2017-07-16,-7.49
2017-07-23,-5.49
2017-07-30,-2.41
2017-08-06,-2.51
2017-08-13,-5.51
2017-08-20,-3.64
2017-08-27,-1.5
2017-09-03,-3.69
2017-09-10,-8.49
2017-09-17,-6.75
2017-09-24,-11.1
2017-10-01,-9.85
2017-10-08,-9.85
2017-10-15,-3.21
2017-10-22,-1.08
2017-10-29,1.57
2017-11-05,4.06
2017-11-12,4.43
2017-11-19,7.91
2017-11-26,12
2017-12-03,12.73
2017-12-10,10.12
2017-12-17,11.11
2017-12-24,10.83
2017-12-31,10.32
2018-01-07,9.27
2018-01-14,11.11
