Date,CS
2011-01-07,874
2011-01-14,852
2011-01-21,841
2011-01-28,830
2011-02-04,822
2011-02-11,789
2011-02-18,798
2011-02-25,787
2011-03-04,792
2011-03-11,781
2011-03-18,760
2011-03-25,779
2011-04-01,809
2011-04-08,798
2011-04-15,791
2011-04-22,802
2011-04-29,817
2011-05-06,843
2011-05-13,817
2011-05-20,833
2011-05-27,822
2011-06-03,831
2011-06-10,810
2011-06-17,814
2011-06-24,835
2011-07-01,838
2011-07-08,843
2011-07-15,837
2011-07-22,844
2011-07-29,845
2011-08-05,814
2011-08-12,774
2011-08-19,821
2011-08-26,781
2011-09-02,803
2011-09-09,800
2011-09-16,822
2011-09-23,792
2011-09-30,797
2011-10-07,816
2011-10-14,820
2011-10-21,834
2011-10-28,847
2011-11-04,831
2011-11-11,819
2011-11-18,823
2011-11-25,827
2011-12-02,844
2011-12-09,849
2011-12-16,853
2011-12-23,870
2011-12-30,857
2012-01-06,854
2012-01-13,837
2012-01-20,836
2012-01-27,845
2012-02-03,835
2012-02-10,815
2012-02-17,821
2012-02-24,838
2012-03-02,833
2012-03-09,817
2012-03-16,836
2012-03-23,837
2012-03-30,848
2012-04-06,831
2012-04-13,825
2012-04-20,825
2012-04-27,826
2012-05-04,843
2012-05-11,834
2012-05-18,796
2012-05-25,796
2012-06-01,812
2012-06-08,827
2012-06-15,823
2012-06-22,838
2012-06-29,851
2012-07-06,847
2012-07-13,859
2012-07-20,858
2012-07-27,863
2012-08-03,873
2012-08-10,878
2012-08-17,899
2012-08-24,909
2012-08-31,912
2012-09-07,912
2012-09-14,928
2012-09-21,955
2012-09-28,959
2012-10-05,969
2012-10-12,981
2012-10-19,975
2012-10-26,990
2012-11-02,1005
2012-11-09,995
2012-11-16,996
2012-11-23,1006
2012-11-30,991
2012-12-07,977
2012-12-14,984
2012-12-21,1009
2012-12-28,1022
2013-01-04,1033
2013-01-11,1051
2013-01-18,1066
2013-01-25,1048
2013-02-01,1030
2013-02-08,1024
2013-02-15,1017
2013-02-22,1035
2013-03-01,1061
2013-03-08,1067
2013-03-15,1054
2013-03-22,1025
2013-03-29,1051
2013-04-05,1043
2013-04-12,1033
2013-04-19,1071
2013-04-26,1078
2013-05-03,1111
2013-05-10,1080
2013-05-17,1090
2013-05-24,1079
2013-05-31,1053
2013-06-07,1017
2013-06-14,1029
2013-06-21,988
2013-06-28,994
2013-07-05,1026
2013-07-12,1029
2013-07-19,1031
2013-07-26,1039
2013-08-02,1052
2013-08-09,1033
2013-08-16,1029
2013-08-23,985
2013-08-30,1014
2013-09-06,1022
2013-09-13,1045
2013-09-20,1032
2013-09-27,1044
2013-10-04,1047
2013-10-11,1033
2013-10-18,1026
2013-10-25,1050
2013-11-01,1047
2013-11-08,1019
2013-11-15,1023
2013-11-22,1033
2013-11-29,1054
2013-12-06,1026
2013-12-13,1032
2013-12-20,1047
2013-12-27,1074
2014-01-03,1062
2014-01-10,1073
2014-01-17,1073
2014-01-24,1045
2014-01-31,1063
2014-02-07,1064
2014-02-14,1060
2014-02-21,1064
2014-02-28,1084
2014-03-07,1078
2014-03-14,1071
2014-03-21,1067
2014-03-28,1081
2014-04-04,1063
2014-04-11,1097
2014-04-18,1095
2014-04-25,1081
2014-05-02,1115
2014-05-09,1125
2014-05-16,1137
2014-05-23,1138
2014-05-30,1110
2014-06-06,1103
2014-06-13,1112
2014-06-20,1128
2014-06-27,1125
2014-07-04,1155
2014-07-11,1159
2014-07-18,1150
2014-07-25,1152
2014-08-01,1229
2014-08-08,1240
2014-08-15,1245
2014-08-22,1258
2014-08-29,1270
2014-09-05,1289
2014-09-12,1274
2014-09-19,1318
2014-09-26,1326
2014-10-03,1329
2014-10-10,1298
2014-10-17,1267
2014-10-24,1292
2014-10-31,1282
2014-11-07,1283
2014-11-14,1260
2014-11-21,1292
2014-11-28,1304
2014-12-05,1287
2014-12-12,1248
2014-12-19,1244
2014-12-26,1239
2015-01-02,1242
2015-01-09,1226
2015-01-16,1234
2015-01-23,1291
2015-01-30,1309
2015-02-06,1310
2015-02-13,1351
2015-02-20,1337
2015-02-27,1330
2015-03-06,1326
2015-03-13,1318
2015-03-20,1393
2015-03-27,1411
2015-04-03,1428
2015-04-10,1443
2015-04-17,1519
2015-04-24,1526
2015-05-01,1516
2015-05-08,1490
2015-05-15,1541
2015-05-22,1591
2015-05-29,1533
2015-06-05,1498
2015-06-12,1502
2015-06-19,1530
2015-06-26,1568
2015-07-03,1616
2015-07-10,1558
2015-07-17,1599
2015-07-24,1594
2015-07-31,1647
2015-08-07,1670
2015-08-14,1619
2015-08-21,1566
2015-08-28,1589
2015-09-04,1510
2015-09-11,1564
2015-09-18,1584
2015-09-25,1575
2015-10-02,1609
2015-10-09,1597
2015-10-16,1607
2015-10-23,1598
2015-10-30,1580
2015-11-06,1575
2015-11-13,1531
2015-11-20,1562
2015-11-27,1596
2015-12-04,1562
2015-12-11,1558
2015-12-18,1576
2015-12-25,1594
2016-01-01,1595
2016-01-08,1597
2016-01-15,1567
2016-01-22,1539
2016-01-29,1597
2016-02-05,1578
2016-02-12,1518
2016-02-19,1543
2016-02-26,1573
2016-03-04,1552
2016-03-11,1552
2016-03-18,1591
2016-03-25,1586
2016-04-01,1580
2016-04-08,1601
2016-04-15,1602
2016-04-22,1633
2016-04-29,1648
2016-05-06,1676
2016-05-13,1700
2016-05-20,1666
2016-05-27,1676
2016-06-03,1673
2016-06-10,1672
2016-06-17,1616
2016-06-24,1609
2016-07-01,1681
2016-07-08,1656
2016-07-15,1656
2016-07-22,1652
2016-07-29,1617
2016-08-05,1578
2016-08-12,1612
2016-08-19,1559
2016-08-26,1568
2016-09-02,1563
2016-09-09,1567
2016-09-16,1543
2016-09-23,1594
2016-09-30,1572
2016-10-07,1507
2016-10-14,1512
2016-10-21,1511
2016-10-28,1487
2016-11-04,1474
2016-11-11,1448
2016-11-18,1428
2016-11-25,1405
2016-12-02,1388
2016-12-09,1425
2016-12-16,1437
2016-12-23,1427
2016-12-30,1435
2017-01-06,1425
2017-01-13,1437
2017-01-20,1439
2017-01-27,1432
2017-02-03,1418
2017-02-10,1425
2017-02-17,1432
2017-02-24,1475
2017-03-03,1412
2017-03-10,1439
2017-03-17,1462
2017-03-24,1488
2017-03-31,1468
2017-04-07,1478
2017-04-14,1454
2017-04-21,1528
2017-04-28,1498
2017-05-05,1514
2017-05-12,1549
2017-05-19,1572
2017-05-26,1605
2017-06-02,1620
2017-06-09,1599
2017-06-16,1584
2017-06-23,1572
2017-06-30,1560
2017-07-07,1530
2017-07-14,1528
2017-07-21,1559
2017-07-28,1594
2017-08-04,1556
2017-08-11,1534
2017-08-18,1529
2017-08-25,1530
2017-09-01,1499
2017-09-08,1445
2017-09-15,1439
2017-09-22,1404
2017-09-29,1428
2017-10-06,1428
2017-10-13,1469
2017-10-20,1494
2017-10-27,1521
2017-11-03,1538
2017-11-10,1549
2017-11-17,1548
2017-11-24,1566
2017-12-01,1580
2017-12-08,1566
2017-12-15,1601
2017-12-22,1570
2017-12-29,1588
2018-01-05,1559
2018-01-12,1574
2018-01-19,1601
2018-01-26,1607
2018-02-02,1571
2018-02-09,1473
2018-02-16,1455
2018-02-23,1496
2018-03-02,1448
2018-03-09,1479
2018-03-16,1488
2018-03-23,1435
2018-03-30,1490
2018-04-06,1513
2018-04-13,1503
2018-04-20,1509
2018-04-27,1516
2018-05-04,1542
2018-05-11,1534
2018-05-18,1518
2018-05-25,1508
2018-06-01,1505
2018-06-08,1548
2018-06-15,1543
2018-06-22,1556
2018-06-29,1541
2018-07-06,1489
2018-07-13,1502
2018-07-20,1450
2018-07-27,1455
2018-08-03,1473
2018-08-10,1459
2018-08-17,1430
2018-08-24,1447
2018-08-31,1436
2018-09-07,1425
2018-09-14,1461
2018-09-21,1432
2018-09-28,1476
2018-10-05,1414
2018-10-12,1340
2018-10-19,1362
2018-10-26,1331
2018-11-02,1307
2018-11-09,1309
2018-11-16,1333
2018-11-23,1345
2018-11-30,1393
2018-12-07,1392
2018-12-14,1417
2018-12-21,1422
2018-12-28,1429
2019-01-04,1427
2019-01-11,1422
2019-01-18,1415
2019-01-25,1426
2019-02-01,1434
2019-02-08,1413
2019-02-15,1432
2019-02-22,1483
2019-03-01,1482
2019-03-08,1480
2019-03-15,1516
2019-03-22,1480
2019-03-29,1462
2019-04-05,1457
2019-04-12,1481
2019-04-19,1482
2019-04-26,1458
2019-05-03,1439
2019-05-10,1392
2019-05-17,1338
2019-05-24,1317
2019-05-31,1316
2019-06-07,1319
2019-06-14,1325
2019-06-21,1328
2019-06-28,1316
2019-07-05,1323
2019-07-12,1294
2019-07-19,1297
2019-07-26,1269
2019-08-02,1230
2019-08-09,1191
2019-08-16,1177
2019-08-23,1185
2019-08-30,1203
2019-09-06,1223
2019-09-13,1247
2019-09-20,1252
2019-09-27,1263
2019-10-04,1235
2019-10-11,1240
2019-10-18,1267
2019-10-25,1263
