Date,CT
2011-01-07,748
2011-01-14,780
2011-01-21,743
2011-01-28,776
2011-02-04,752
2011-02-11,708
2011-02-18,689
2011-02-25,656
2011-03-04,664
2011-03-11,652
2011-03-18,665
2011-03-25,689
2011-04-01,706
2011-04-08,740
2011-04-15,716
2011-04-22,712
2011-04-29,737
2011-05-06,721
2011-05-13,693
2011-05-20,667
2011-05-27,682
2011-06-03,702
2011-06-10,674
2011-06-17,691
2011-06-24,709
2011-07-01,746
2011-07-08,768
2011-07-15,777
2011-07-22,809
2011-07-29,761
2011-08-05,656
2011-08-12,626
2011-08-19,606
2011-08-26,629
2011-09-02,655
2011-09-09,618
2011-09-16,642
2011-09-23,585
2011-09-30,598
2011-10-07,553
2011-10-14,597
2011-10-21,598
2011-10-28,655
2011-11-04,639
2011-11-11,619
2011-11-18,609
2011-11-25,570
2011-12-02,638
2011-12-09,622
2011-12-16,610
2011-12-23,619
2011-12-30,608
2012-01-06,621
2012-01-13,630
2012-01-20,659
2012-01-27,665
2012-02-03,698
2012-02-10,718
2012-02-17,706
2012-02-24,706
2012-03-02,722
2012-03-09,726
2012-03-16,716
2012-03-23,715
2012-03-30,694
2012-04-06,668
2012-04-13,665
2012-04-20,645
2012-04-27,619
2012-05-04,616
2012-05-11,557
2012-05-18,538
2012-05-25,575
2012-06-01,555
2012-06-08,544
2012-06-15,558
2012-06-22,555
2012-06-29,558
2012-07-06,575
2012-07-13,546
2012-07-20,539
2012-07-27,524
2012-08-03,536
2012-08-10,581
2012-08-17,588
2012-08-24,561
2012-08-31,563
2012-09-07,589
2012-09-14,619
2012-09-21,606
2012-09-28,582
2012-10-05,570
2012-10-12,533
2012-10-19,536
2012-10-26,488
2012-11-02,490
2012-11-09,474
2012-11-16,457
2012-11-23,470
2012-11-30,498
2012-12-07,514
2012-12-14,535
2012-12-21,532
2012-12-28,533
2013-01-04,556
2013-01-11,536
2013-01-18,533
2013-01-25,515
2013-02-01,515
2013-02-08,504
2013-02-15,513
2013-02-22,525
2013-03-01,522
2013-03-08,516
2013-03-15,499
2013-03-22,485
2013-03-29,505
2013-04-05,465
2013-04-12,419
2013-04-19,407
2013-04-26,409
2013-05-03,406
2013-05-10,440
2013-05-17,448
2013-05-24,440
2013-05-31,449
2013-06-07,430
2013-06-14,420
2013-06-21,384
2013-06-28,393
2013-07-05,383
2013-07-12,393
2013-07-19,388
2013-07-26,416
2013-08-02,417
2013-08-09,412
2013-08-16,420
2013-08-23,394
2013-08-30,412
2013-09-06,435
2013-09-13,452
2013-09-20,464
2013-09-27,452
2013-10-04,436
2013-10-11,446
2013-10-18,440
2013-10-25,430
2013-11-01,425
2013-11-08,405
2013-11-15,401
2013-11-22,390
2013-11-29,406
2013-12-06,385
2013-12-13,370
2013-12-20,372
2013-12-27,390
2014-01-03,384
2014-01-10,391
2014-01-17,388
2014-01-24,388
2014-01-31,393
2014-02-07,390
2014-02-14,392
2014-02-21,417
2014-02-28,410
2014-03-07,413
2014-03-14,389
2014-03-21,388
2014-03-28,406
2014-04-04,406
2014-04-11,409
2014-04-18,409
2014-04-25,396
2014-05-02,404
2014-05-09,396
2014-05-16,405
2014-05-23,401
2014-05-30,390
2014-06-06,384
2014-06-13,377
2014-06-20,383
2014-06-27,394
2014-07-04,406
2014-07-11,398
2014-07-18,399
2014-07-25,412
2014-08-01,417
2014-08-08,395
2014-08-15,403
2014-08-22,387
2014-08-29,400
2014-09-05,402
2014-09-12,398
2014-09-19,405
2014-09-26,398
2014-10-03,379
2014-10-10,373
2014-10-17,358
2014-10-24,357
2014-10-31,361
2014-11-07,363
2014-11-14,359
2014-11-21,352
2014-11-28,349
2014-12-05,342
2014-12-12,317
2014-12-19,319
2014-12-26,323
2015-01-02,319
2015-01-09,317
2015-01-16,301
2015-01-23,311
2015-01-30,323
2015-02-06,330
2015-02-13,329
2015-02-20,337
2015-02-27,358
2015-03-06,360
2015-03-13,343
2015-03-20,350
2015-03-27,351
2015-04-03,353
2015-04-10,364
2015-04-17,385
2015-04-24,372
2015-05-01,361
2015-05-08,354
2015-05-15,352
2015-05-22,353
2015-05-29,355
2015-06-05,369
2015-06-12,356
2015-06-19,344
2015-06-26,357
2015-07-03,362
2015-07-10,352
2015-07-17,390
2015-07-24,348
2015-07-31,346
2015-08-07,333
2015-08-14,319
2015-08-21,287
2015-08-28,307
2015-09-04,290
2015-09-11,312
2015-09-18,327
2015-09-25,312
2015-10-02,310
2015-10-09,326
2015-10-16,332
2015-10-23,321
2015-10-30,291
2015-11-06,290
2015-11-13,275
2015-11-20,285
2015-11-27,285
2015-12-04,274
2015-12-11,259
2015-12-18,261
2015-12-25,264
2016-01-01,276
2016-01-08,263
2016-01-15,272
2016-01-22,268
2016-01-29,290
2016-02-05,291
2016-02-12,278
2016-02-19,292
2016-02-26,279
2016-03-04,290
2016-03-11,290
2016-03-18,291
2016-03-25,302
2016-04-01,300
2016-04-08,300
2016-04-15,310
2016-04-22,310
2016-04-29,322
2016-05-06,300
2016-05-13,293
2016-05-20,279
2016-05-27,279
2016-06-03,277
2016-06-10,288
2016-06-17,270
2016-06-24,264
2016-07-01,275
2016-07-08,268
2016-07-15,276
2016-07-22,284
2016-07-29,292
2016-08-05,292
2016-08-12,296
2016-08-19,298
2016-08-26,295
2016-09-02,290
2016-09-09,288
2016-09-16,278
2016-09-23,288
2016-09-30,292
2016-10-07,299
2016-10-14,302
2016-10-21,297
2016-10-28,292
2016-11-04,280
2016-11-11,291
2016-11-18,281
2016-11-25,268
2016-12-02,268
2016-12-09,268
2016-12-16,274
2016-12-23,277
2016-12-30,279
2017-01-06,285
2017-01-13,285
2017-01-20,271
2017-01-27,274
2017-02-03,277
2017-02-10,288
2017-02-17,287
2017-02-24,285
2017-03-03,289
2017-03-10,287
2017-03-17,292
2017-03-24,296
2017-03-31,295
2017-04-07,292
2017-04-14,291
2017-04-21,295
2017-04-28,293
2017-05-05,294
2017-05-12,300
2017-05-19,301
2017-05-26,322
2017-06-02,318
2017-06-09,308
2017-06-16,306
2017-06-23,304
2017-06-30,308
2017-07-07,308
2017-07-14,307
2017-07-21,315
2017-07-28,307
2017-08-04,290
2017-08-11,283
2017-08-18,281
2017-08-25,280
2017-09-01,279
2017-09-08,270
2017-09-15,267
2017-09-22,261
2017-09-29,264
2017-10-06,264
2017-10-13,270
2017-10-20,277
2017-10-27,283
2017-11-03,283
2017-11-10,287
2017-11-17,274
2017-11-24,271
2017-12-01,273
2017-12-08,270
2017-12-15,278
2017-12-22,269
2017-12-29,277
2018-01-05,288
2018-01-12,300
2018-01-19,298
2018-01-26,308
2018-02-02,314
2018-02-09,281
2018-02-16,279
2018-02-23,287
2018-03-02,273
2018-03-09,288
2018-03-16,285
2018-03-23,275
2018-03-30,291
2018-04-06,294
2018-04-13,303
2018-04-20,328
2018-04-27,326
2018-05-04,360
2018-05-11,356
2018-05-18,375
2018-05-25,347
2018-06-01,360
2018-06-08,354
2018-06-15,336
2018-06-22,323
2018-06-29,314
2018-07-06,311
2018-07-13,306
2018-07-20,294
2018-07-27,309
2018-08-03,321
2018-08-10,319
2018-08-17,315
2018-08-24,327
2018-08-31,322
2018-09-07,329
2018-09-14,349
2018-09-21,342
2018-09-28,343
2018-10-05,340
2018-10-12,307
2018-10-19,304
2018-10-26,271
2018-11-02,284
2018-11-09,282
2018-11-16,287
2018-11-23,287
2018-11-30,303
2018-12-07,307
2018-12-14,316
2018-12-21,313
2018-12-28,313
2019-01-04,307
2019-01-11,313
2019-01-18,318
2019-01-25,329
2019-02-01,330
2019-02-08,326
2019-02-15,325
2019-02-22,326
2019-03-01,311
2019-03-08,299
2019-03-15,306
2019-03-22,302
2019-03-29,308
2019-04-05,314
2019-04-12,309
2019-04-19,303
2019-04-26,305
2019-05-03,307
2019-05-10,288
2019-05-17,295
2019-05-24,291
2019-05-31,294
2019-06-07,301
2019-06-14,315
2019-06-21,311
2019-06-28,308
2019-07-05,303
2019-07-12,287
2019-07-19,277
2019-07-26,268
2019-08-02,260
2019-08-09,254
2019-08-16,247
2019-08-23,253
2019-08-30,257
2019-09-06,256
2019-09-13,267
2019-09-20,275
2019-09-27,269
2019-10-04,263
2019-10-11,259
2019-10-18,265
2019-10-25,258
2019-11-01,259
2019-11-08,271
2019-11-15,267
2019-11-22,260
2019-11-29,254
2019-12-06,252
2019-12-13,264
2019-12-20,262
2019-12-27,263
2020-01-03,260
2020-01-10,250
2020-01-17,257
2020-01-24,252
2020-01-31,236
2020-02-07,245
2020-02-14,238
2020-02-21,224
2020-02-28,211
2020-03-06,213
2020-03-13,174
2020-03-20,146
2020-03-27,162
2020-04-03,176
2020-04-10,191
2020-04-17,197
2020-04-24,198
2020-05-01,210
2020-05-08,207
2020-05-15,200
2020-05-22,205
2020-05-29,219
2020-06-05,233
2020-06-12,214
2020-06-19,217
2020-06-26,213
2020-07-03,218
2020-07-10,216
2020-07-17,223
2020-07-24,221
2020-07-31,220
2020-08-07,232
2020-08-14,235
2020-08-21,217
2020-08-28,226
2020-09-04,228
2020-09-11,225
2020-09-18,223
2020-09-25,204
2020-10-02,212
2020-10-09,216
2020-10-16,215
