Date,EN
2012-01-08,-14.62
2012-01-15,-12.62
2012-01-22,-6.23
2012-01-29,-9.61
2012-02-05,-4.52
2012-02-12,4.23
2012-02-19,3.85
2012-02-26,4.09
2012-03-04,4.35
2012-03-11,-7.59
2012-03-18,-12.38
2012-03-25,-17.65
2012-04-01,-22.24
2012-04-08,-25.86
2012-04-15,-24.57
2012-04-22,-34.64
2012-04-29,-38.86
2012-05-06,-33.56
2012-05-13,-38.59
2012-05-20,-40.91
2012-05-27,-34.49
2012-06-03,-42.11
2012-06-10,-39.21
2012-06-17,-37.31
2012-06-24,-36.05
2012-07-01,-35.26
2012-07-08,-34.15
2012-07-15,-36.31
2012-07-22,-33.62
2012-07-29,-36.73
2012-08-05,-32.45
2012-08-12,-11.93
2012-08-19,-13.22
2012-08-26,-5.92
2012-09-02,-16.81
2012-09-09,-7.56
2012-09-16,0.56
2012-09-23,-8
2012-09-30,8.99
2012-10-07,20.24
2012-10-14,-3.14
2012-10-21,-4.93
2012-10-28,-14.14
2012-11-04,-9.93
2012-11-11,-12.19
2012-11-18,-12.76
2012-11-25,-4.96
2012-12-02,-4.04
2012-12-09,-7.54
2012-12-16,0.09
2012-12-23,4.58
2012-12-30,5.79
2013-01-06,5.39
2013-01-13,0.78
2013-01-20,-8.02
2013-01-27,-11.21
2013-02-03,-15.12
2013-02-10,-21.9
2013-02-17,-19.13
2013-02-24,-18.75
2013-03-03,-15.95
2013-03-10,-16.37
2013-03-17,-15.77
2013-03-24,-15.56
2013-03-31,-13.45
2013-04-07,-16.68
2013-04-14,-20.2
2013-04-21,-18.77
2013-04-28,-10.21
2013-05-05,-11.91
2013-05-12,-5.74
2013-05-19,3.08
2013-05-26,-0.98
2013-06-02,-1.36
2013-06-09,0.84
2013-06-16,-6.6
2013-06-23,-14.73
2013-06-30,-8.96
2013-07-07,-14.55
2013-07-14,-7.01
2013-07-21,-8.64
2013-07-28,-2.14
2013-08-04,-6
2013-08-11,-13.08
2013-08-18,-10.74
2013-08-25,-12.64
2013-09-01,-9.02
2013-09-08,-5.77
2013-09-15,-5.63
2013-09-22,-7.81
2013-09-29,-5.17
2013-10-06,-6.89
2013-10-13,-0.8
2013-10-20,0.12
2013-10-27,2.37
2013-11-03,1.16
2013-11-10,-3.78
2013-11-17,0.3
2013-11-24,1.11
2013-12-01,-2.44
2013-12-08,-5.73
2013-12-15,-10.17
2013-12-22,-10.61
2013-12-29,-7.54
2014-01-05,-13.25
2014-01-12,-12.71
2014-01-19,-9.96
2014-01-26,-9.34
2014-02-02,-11.31
2014-02-09,-9.79
2014-02-16,-11.45
2014-02-23,-10.69
2014-03-02,-9.54
2014-03-09,-7.08
2014-03-16,-9.03
2014-03-23,-8.83
2014-03-30,-6.5
2014-04-06,-1.85
2014-04-13,0.63
2014-04-20,5.72
2014-04-27,-1.83
2014-05-04,-1
2014-05-11,-7.85
2014-05-18,-6.72
2014-05-25,-3.41
2014-06-01,-5.35
2014-06-08,-5.23
2014-06-15,-0.15
2014-06-22,6.19
2014-06-29,8.88
2014-07-06,4.76
2014-07-13,-1.2
2014-07-20,0.02
2014-07-27,-3.54
2014-08-03,-3.44
2014-08-10,-6.62
2014-08-17,-9.36
2014-08-24,-5.74
2014-08-31,-9.37
2014-09-07,-12.2
2014-09-14,-15.47
2014-09-21,-14.79
2014-09-28,-18.34
2014-10-05,-22.69
2014-10-12,-24.49
2014-10-19,-30.04
2014-10-26,-32.78
2014-11-02,-27.89
2014-11-09,-27.93
2014-11-16,-22.72
2014-11-23,-22.22
2014-11-30,-23.81
2014-12-07,-23.41
2014-12-14,-26.04
2014-12-21,-23.28
2014-12-28,-23.94
2015-01-04,-26.31
2015-01-11,-23.88
2015-01-18,-24.82
2015-01-25,-19.63
2015-02-01,-14.72
2015-02-08,-9.32
2015-02-15,-9.87
2015-02-22,-11.15
2015-03-01,-8.51
2015-03-08,-6.25
2015-03-15,-6.65
2015-03-22,-2.6
2015-03-29,-5.65
2015-04-05,-2.86
2015-04-12,0.94
2015-04-19,5.61
2015-04-26,11.36
2015-05-03,12.7
2015-05-10,13.32
2015-05-17,10.1
2015-05-24,11.81
2015-05-31,9.49
2015-06-07,12.64
2015-06-14,13.29
2015-06-21,16.9
2015-06-28,15.77
2015-07-05,17.06
2015-07-12,13.94
2015-07-19,14.83
2015-07-26,10.27
2015-08-02,6.28
2015-08-09,6.15
2015-08-16,5.01
2015-08-23,1.59
2015-08-30,7.61
2015-09-06,4.32
