Date,EN
2011-01-07,"1,443"
2011-01-14,"1,458"
2011-01-21,"1,444"
2011-01-28,"1,549"
2011-02-04,"1,529"
2011-02-11,"1,422"
2011-02-18,"1,456"
2011-02-25,"1,418"
2011-03-04,"1,464"
2011-03-11,"1,470"
2011-03-18,"1,583"
2011-03-25,"1,656"
2011-04-01,"1,718"
2011-04-08,"1,740"
2011-04-15,"1,781"
2011-04-22,"1,963"
2011-04-29,"1,872"
2011-05-06,"1,755"
2011-05-13,"1,728"
2011-05-20,"1,780"
2011-05-27,"1,754"
2011-06-03,"1,788"
2011-06-10,"1,729"
2011-06-17,"1,733"
2011-06-24,"1,686"
2011-07-01,"1,745"
2011-07-08,"1,801"
2011-07-15,"1,791"
2011-07-22,"1,768"
2011-07-29,"1,757"
2011-08-05,"1,516"
2011-08-12,"1,341"
2011-08-19,"1,249"
2011-08-26,"1,338"
2011-09-02,"1,404"
2011-09-09,"1,317"
2011-09-16,"1,334"
2011-09-23,"1,188"
2011-09-30,"1,167"
2011-10-07,"1,153"
2011-10-14,"1,226"
2011-10-21,"1,246"
2011-10-28,"1,359"
2011-11-04,"1,342"
2011-11-11,"1,298"
2011-11-18,"1,271"
2011-11-25,"1,182"
2011-12-02,"1,308"
2011-12-09,"1,256"
2011-12-16,"1,199"
2011-12-23,"1,212"
2011-12-30,"1,185"
2012-01-06,"1,228"
2012-01-13,"1,279"
2012-01-20,"1,365"
2012-01-27,"1,385"
2012-02-03,"1,460"
2012-02-10,"1,508"
2012-02-17,"1,469"
2012-02-24,"1,459"
2012-03-02,"1,447"
2012-03-09,"1,384"
2012-03-16,"1,355"
2012-03-23,"1,336"
2012-03-30,"1,318"
2012-04-06,"1,273"
2012-04-13,"1,315"
2012-04-20,"1,220"
2012-04-27,"1,166"
2012-05-04,"1,203"
2012-05-11,"1,115"
2012-05-18,"1,074"
2012-05-25,"1,096"
2012-06-01,"1,077"
2012-06-08,"1,051"
2012-06-15,"1,117"
2012-06-22,"1,097"
2012-06-29,"1,111"
2012-07-06,"1,162"
2012-07-13,"1,124"
2012-07-20,"1,153"
2012-07-27,"1,139"
2012-08-03,"1,160"
2012-08-10,"1,228"
2012-08-17,"1,254"
2012-08-24,"1,215"
2012-08-31,"1,192"
2012-09-07,"1,228"
2012-09-14,"1,257"
2012-09-21,"1,243"
2012-09-28,"1,240"
2012-10-05,"1,219"
2012-10-12,"1,172"
2012-10-19,"1,210"
2012-10-26,"1,123"
2012-11-02,"1,173"
2012-11-09,"1,171"
2012-11-16,"1,119"
2012-11-23,"1,134"
2012-11-30,"1,176"
2012-12-07,"1,198"
2012-12-14,"1,230"
2012-12-21,"1,242"
2012-12-28,"1,255"
2013-01-04,"1,290"
2013-01-11,"1,244"
2013-01-18,"1,210"
2013-01-25,"1,199"
2013-02-01,"1,186"
2013-02-08,"1,172"
2013-02-15,"1,211"
2013-02-22,"1,208"
2013-03-01,"1,199"
2013-03-08,"1,162"
2013-03-15,"1,133"
2013-03-22,"1,111"
2013-03-29,"1,123"
2013-04-05,"1,050"
2013-04-12,"1,032"
2013-04-19,"1,028"
2013-04-26,"1,056"
2013-05-03,"1,049"
2013-05-10,"1,077"
2013-05-17,"1,100"
2013-05-24,"1,060"
2013-05-31,"1,086"
2013-06-07,"1,062"
2013-06-14,"1,034"
2013-06-21,957
2013-06-28,992
2013-07-05,999
2013-07-12,"1,029"
2013-07-19,"1,047"
2013-07-26,"1,087"
2013-08-02,"1,099"
2013-08-09,"1,071"
2013-08-16,"1,106"
2013-08-23,"1,066"
2013-08-30,"1,089"
2013-09-06,"1,120"
2013-09-13,"1,147"
2013-09-20,"1,167"
2013-09-27,"1,173"
2013-10-04,"1,136"
2013-10-11,"1,167"
2013-10-18,"1,211"
