Date,FN
2012-01-08,-27.24
2012-01-15,-27.75
2012-01-22,-21.52
2012-01-29,-17.12
2012-02-05,-14.61
2012-02-12,-13.96
2012-02-19,-11.47
2012-02-26,-12.16
2012-03-04,-10.95
2012-03-11,-17.14
2012-03-18,-8.86
2012-03-25,-7.45
2012-04-01,-12.3
2012-04-08,-15
2012-04-15,-12.59
2012-04-22,-14.38
2012-04-29,-16.81
2012-05-06,-17.29
2012-05-13,-18.26
2012-05-20,-19.67
2012-05-27,-15.74
2012-06-03,-17.52
2012-06-10,-17.34
2012-06-17,-14.58
2012-06-24,-16.31
2012-07-01,-16.64
2012-07-08,-19.93
2012-07-15,-20.5
2012-07-22,-24.22
2012-07-29,-26.1
2012-08-05,-20.77
2012-08-12,-2.15
2012-08-19,-7.13
2012-08-26,-1.92
2012-09-02,-8.87
2012-09-09,-2.33
2012-09-16,9.29
2012-09-23,5.55
2012-09-30,6.56
2012-10-07,7.65
2012-10-14,-3.74
2012-10-21,-2.05
2012-10-28,-5.87
2012-11-04,-5.14
2012-11-11,-7.34
2012-11-18,-4.3
2012-11-25,-0.38
2012-12-02,-3.41
2012-12-09,-5.97
2012-12-16,4.51
2012-12-23,6.17
2012-12-30,6.49
2013-01-06,9.3
2013-01-13,8.46
2013-01-20,5.49
2013-01-27,3.24
2013-02-03,0.74
2013-02-10,-5.35
2013-02-17,-3.35
2013-02-24,2.76
2013-03-03,2.64
2013-03-10,2.26
2013-03-17,-5.81
2013-03-24,-10.98
2013-03-31,-4.01
2013-04-07,-8.12
2013-04-14,-4.47
2013-04-21,-4.53
2013-04-28,-0.44
2013-05-05,-4.04
2013-05-12,-1.28
2013-05-19,5.72
2013-05-26,9.12
2013-06-02,8.63
2013-06-09,3.33
2013-06-16,-0.07
2013-06-23,-2.99
2013-06-30,3.05
2013-07-07,-1.39
2013-07-14,7.4
2013-07-21,7.33
2013-07-28,14
2013-08-04,10.69
2013-08-11,4.37
2013-08-18,2.66
2013-08-25,-1.24
2013-09-01,4.47
2013-09-08,8.38
2013-09-15,7.68
2013-09-22,3.16
2013-09-29,6.62
2013-10-06,7.21
2013-10-13,12.28
2013-10-20,14.84
2013-10-27,14.74
2013-11-03,16.58
2013-11-10,13.63
2013-11-17,17.96
2013-11-24,17.41
2013-12-01,16.55
2013-12-08,13
2013-12-15,7.8
2013-12-22,9.78
2013-12-29,11.8
2014-01-05,6.16
2014-01-12,6.01
2014-01-19,4.31
2014-01-26,2.37
2014-02-02,0.81
2014-02-09,1.6
2014-02-16,-1.74
2014-02-23,-0.77
2014-03-02,-0.57
2014-03-09,-0.46
2014-03-16,-1.98
2014-03-23,3.22
2014-03-30,3.04
2014-04-06,3.52
2014-04-13,5.09
2014-04-20,8.67
2014-04-27,1.15
2014-05-04,4.25
2014-05-11,2.57
2014-05-18,4.87
2014-05-25,5.14
2014-06-01,-0.76
2014-06-08,2.9
2014-06-15,8.33
2014-06-22,6.21
2014-06-29,10.2
2014-07-06,9.85
2014-07-13,5.22
2014-07-20,7.23
2014-07-27,8.45
2014-08-03,14.63
2014-08-10,14.25
2014-08-17,17.84
2014-08-24,21.84
2014-08-31,22.39
2014-09-07,18.71
2014-09-14,14.03
2014-09-21,12.49
2014-09-28,8.85
2014-10-05,7.32
2014-10-12,8.48
2014-10-19,0.77
2014-10-26,1.03
2014-11-02,7.5
2014-11-09,10.35
2014-11-16,12.06
2014-11-23,9.73
2014-11-30,7.72
2014-12-07,9.92
2014-12-14,7.8
2014-12-21,3.41
2014-12-28,1.56
2015-01-04,-2.81
2015-01-11,1.4
2015-01-18,-1.17
2015-01-25,4.85
2015-02-01,1.78
2015-02-08,4.25
2015-02-15,4.55
2015-02-22,0.23
2015-03-01,0.5
2015-03-08,-2.81
2015-03-15,-0.27
2015-03-22,5.79
2015-03-29,0.31
2015-04-05,3
2015-04-12,0.02
2015-04-19,8.12
2015-04-26,13.75
2015-05-03,12.97
2015-05-10,11.22
2015-05-17,7.64
2015-05-24,9.78
2015-05-31,7.21
2015-06-07,4.51
2015-06-14,2.92
2015-06-21,1.61
2015-06-28,5.55
2015-07-05,3.14
2015-07-12,-0.73
2015-07-19,-1.37
2015-07-26,-5.02
2015-08-02,-7.91
2015-08-09,-9.23
2015-08-16,-11.28
2015-08-23,-10.77
2015-08-30,-14.49
2015-09-06,-18.5
2015-09-13,-14.68
2015-09-20,-13.35
2015-09-27,-14.05
2015-10-04,-9.08
2015-10-11,-8.25
2015-10-18,-4.41
2015-10-25,-1.21
2015-11-01,-8.52
2015-11-08,-8.18
2015-11-15,-9.74
2015-11-22,-10.75
2015-11-29,-10.86
2015-12-06,-13.08
2015-12-13,-9.5
2015-12-20,-9.44
2015-12-27,-8.58
2016-01-03,-7.08
2016-01-10,-10.67
2016-01-17,-12.28
2016-01-24,-14.71
2016-01-31,-12.37
2016-02-07,-7.93
2016-02-14,-10.35
2016-02-21,-7.68
2016-02-28,-9.15
2016-03-06,-3.91
2016-03-13,-0.41
2016-03-20,-3.26
2016-03-27,-2.9
2016-04-03,-3.73
2016-04-10,-4.67
2016-04-17,-6.75
2016-04-24,-5.9
2016-05-01,-11.05
2016-05-08,-14.95
2016-05-15,-15.97
2016-05-22,-15.04
2016-05-29,-11.31
2016-06-05,-10.95
2016-06-12,-9.84
2016-06-19,-10.66
2016-06-26,-13.42
2016-07-03,-11.63
2016-07-10,-11.14
2016-07-17,-7.51
2016-07-24,-4.31
2016-07-31,-2.83
2016-08-07,-5.55
2016-08-14,-2.91
2016-08-21,-4.21
2016-08-28,0.71
2016-09-04,3.45
2016-09-11,4.55
2016-09-18,1.93
2016-09-25,3.27
2016-10-02,0.35
2016-10-09,1.85
2016-10-16,1.55
2016-10-23,1.79
2016-10-30,2
2016-11-06,-0.66
2016-11-13,7.1
2016-11-20,8.51
2016-11-27,7.92
2016-12-04,8.69
2016-12-11,15.06
