Date,FN
2011-01-07,914
2011-01-14,947
2011-01-21,897
2011-01-28,904
2011-02-04,894
2011-02-11,865
2011-02-18,870
2011-02-25,852
2011-03-04,888
2011-03-11,869
2011-03-18,863
2011-03-25,864
2011-04-01,899
2011-04-08,885
2011-04-15,863
2011-04-22,858
2011-04-29,898
2011-05-06,873
2011-05-13,829
2011-05-20,812
2011-05-27,811
2011-06-03,833
2011-06-10,812
2011-06-17,793
2011-06-24,835
2011-07-01,843
2011-07-08,859
2011-07-15,845
2011-07-22,875
2011-07-29,858
2011-08-05,797
2011-08-12,703
2011-08-19,711
2011-08-26,705
2011-09-02,731
2011-09-09,691
2011-09-16,682
2011-09-23,617
2011-09-30,687
2011-10-07,708
2011-10-14,734
2011-10-21,693
2011-10-28,752
2011-11-04,726
2011-11-11,684
2011-11-18,661
2011-11-25,655
2011-12-02,715
2011-12-09,679
2011-12-16,654
2011-12-23,676
2011-12-30,663
2012-01-06,661
2012-01-13,671
2012-01-20,727
2012-01-27,745
2012-02-03,764
2012-02-10,759
2012-02-17,757
2012-02-24,750
2012-03-02,748
2012-03-09,744
2012-03-16,782
2012-03-23,784
2012-03-30,767
2012-04-06,760
2012-04-13,760
2012-04-20,734
2012-04-27,722
2012-05-04,732
2012-05-11,713
2012-05-18,664
2012-05-25,677
2012-06-01,681
2012-06-08,691
2012-06-15,703
2012-06-22,685
2012-06-29,695
2012-07-06,695
2012-07-13,670
2012-07-20,652
2012-07-27,649
2012-08-03,650
2012-08-10,695
2012-08-17,696
2012-08-24,682
2012-08-31,678
2012-09-07,690
2012-09-14,724
2012-09-21,731
2012-09-28,710
2012-10-05,705
2012-10-12,684
2012-10-19,694
2012-10-26,675
2012-11-02,681
2012-11-09,658
2012-11-16,644
2012-11-23,643
2012-11-30,659
2012-12-07,664
2012-12-14,695
2012-12-21,710
2012-12-28,709
2013-01-04,732
2013-01-11,711
2013-01-18,741
2013-01-25,748
2013-02-01,748
2013-02-08,730
2013-02-15,741
2013-02-22,764
2013-03-01,766
2013-03-08,761
2013-03-15,737
2013-03-22,707
2013-03-29,743
2013-04-05,709
2013-04-12,717
2013-04-19,705
2013-04-26,721
2013-05-03,700
2013-05-10,712
2013-05-17,736
2013-05-24,740
2013-05-31,741
2013-06-07,719
2013-06-14,701
2013-06-21,683
2013-06-28,694
2013-07-05,689
2013-07-12,715
2013-07-19,705
2013-07-26,718
2013-08-02,734
2013-08-09,721
2013-08-16,718
2013-08-23,694
2013-08-30,713
2013-09-06,726
2013-09-13,743
2013-09-20,754
2013-09-27,755
2013-10-04,756
2013-10-11,764
2013-10-18,803
2013-10-25,782
2013-11-01,781
2013-11-08,753
2013-11-15,762
2013-11-22,757
2013-11-29,765
2013-12-06,749
2013-12-13,751
2013-12-20,775
2013-12-27,793
2014-01-03,777
2014-01-10,765
2014-01-17,757
2014-01-24,759
2014-01-31,765
2014-02-07,739
2014-02-14,729
2014-02-21,752
2014-02-28,762
2014-03-07,754
2014-03-14,726
2014-03-21,730
2014-03-28,756
2014-04-04,748
2014-04-11,763
2014-04-18,758
2014-04-25,736
2014-05-02,738
2014-05-09,740
2014-05-16,771
2014-05-23,764
2014-05-30,742
2014-06-06,744
2014-06-13,755
2014-06-20,739
2014-06-27,753
2014-07-04,753
2014-07-11,753
2014-07-18,756
2014-07-25,780
2014-08-01,839
2014-08-08,825
2014-08-15,852
2014-08-22,845
2014-08-29,857
2014-09-05,865
2014-09-12,856
2014-09-19,848
2014-09-26,823
2014-10-03,806
2014-10-10,806
2014-10-17,796
2014-10-24,798
2014-10-31,842
2014-11-07,836
2014-11-14,823
2014-11-21,826
2014-11-28,827
2014-12-05,824
2014-12-12,803
2014-12-19,794
2014-12-26,804
2015-01-02,776
2015-01-09,790
2015-01-16,756
2015-01-23,789
2015-01-30,779
2015-02-06,769
2015-02-13,757
2015-02-20,753
2015-02-27,761
2015-03-06,741
2015-03-13,732
2015-03-20,767
2015-03-27,755
2015-04-03,768
2015-04-10,768
2015-04-17,818
2015-04-24,850
2015-05-01,831
2015-05-08,819
2015-05-15,827
2015-05-22,838
2015-05-29,812
2015-06-05,778
2015-06-12,786
2015-06-19,763
2015-06-26,797
2015-07-03,778
2015-07-10,752
2015-07-17,754
2015-07-24,734
2015-07-31,771
2015-08-07,764
2015-08-14,748
2015-08-21,743
2015-08-28,736
2015-09-04,710
2015-09-11,727
2015-09-18,738
2015-09-25,725
2015-10-02,733
2015-10-09,738
2015-10-16,761
2015-10-23,789
2015-10-30,777
2015-11-06,773
2015-11-13,755
2015-11-20,738
2015-11-27,742
2015-12-04,719
2015-12-11,716
2015-12-18,720
2015-12-25,731
2016-01-01,724
2016-01-08,699
2016-01-15,677
2016-01-22,660
2016-01-29,693
2016-02-05,705
2016-02-12,677
2016-02-19,695
2016-02-26,692
2016-03-04,715
2016-03-11,717
2016-03-18,736
2016-03-25,725
2016-04-01,727
2016-04-08,718
2016-04-15,753
2016-04-22,764
2016-04-29,745
