Date,HE
2012-01-08,-7.65
2012-01-15,-4.4
2012-01-22,-3.16
2012-01-29,-1.16
2012-02-05,0.06
2012-02-12,-1.85
2012-02-19,-2.9
2012-02-26,-3.25
2012-03-04,-6.18
2012-03-11,-8.6
2012-03-18,-4.61
2012-03-25,-8.18
2012-04-01,-10.95
2012-04-08,-15.28
2012-04-15,-12.45
2012-04-22,-12.76
2012-04-29,-17.91
2012-05-06,-18.31
2012-05-13,-15.33
2012-05-20,-17.9
2012-05-27,-12.55
2012-06-03,-12.36
2012-06-10,-8.26
2012-06-17,-8.11
2012-06-24,-5.42
2012-07-01,-7.28
2012-07-08,-11.41
2012-07-15,-14.62
2012-07-22,-16.1
2012-07-29,-20.55
2012-08-05,-17.99
2012-08-12,-4.75
2012-08-19,-4.15
2012-08-26,1.38
2012-09-02,-2.69
2012-09-09,3.36
2012-09-16,8.54
2012-09-23,7.37
2012-09-30,16.31
2012-10-07,16.05
2012-10-14,14.61
2012-10-21,2.27
2012-10-28,7.55
2012-11-04,14.67
2012-11-11,16.98
2012-11-18,17.47
2012-11-25,17.98
2012-12-02,17.14
2012-12-09,7.77
2012-12-16,15.91
2012-12-23,20.07
2012-12-30,20.16
2013-01-06,22.56
2013-01-13,21.65
2013-01-20,24.06
2013-01-27,21.12
2013-02-03,22.51
2013-02-10,25.37
2013-02-17,29.94
2013-02-24,34.82
2013-03-03,44.63
2013-03-10,49.75
2013-03-17,47.21
2013-03-24,48.27
2013-03-31,52.55
2013-04-07,51.88
2013-04-14,59.74
2013-04-21,58.54
2013-04-28,65.19
2013-05-05,70.22
2013-05-12,65.46
2013-05-19,65.9
2013-05-26,66.1
2013-06-02,63.5
2013-06-09,41.06
2013-06-16,47.06
2013-06-23,30.01
2013-06-30,32.3
2013-07-07,40.25
2013-07-14,41.03
2013-07-21,40.68
2013-07-28,45.18
2013-08-04,42.46
2013-08-11,40.3
2013-08-18,31.69
2013-08-25,24.93
2013-09-01,22.43
2013-09-08,26.18
2013-09-15,28.06
2013-09-22,24.15
2013-09-29,20.79
2013-10-06,19.02
2013-10-13,19.26
2013-10-20,14.73
2013-10-27,11.13
2013-11-03,9.07
2013-11-10,2.72
2013-11-17,5.35
2013-11-24,8.56
2013-12-01,12.84
2013-12-08,14.29
2013-12-15,8.59
2013-12-22,10.65
2013-12-29,7.62
2014-01-05,5.03
2014-01-12,1.88
2014-01-19,3.16
2014-01-26,4.77
2014-02-02,4.58
2014-02-09,2.74
2014-02-16,6.21
2014-02-23,4.96
2014-03-02,1.34
2014-03-09,0.67
2014-03-16,-5.19
2014-03-23,-1.6
2014-03-30,-5.87
2014-04-06,-8.33
2014-04-13,-7.3
2014-04-20,-9.74
2014-04-27,-11.25
2014-05-04,-11.03
2014-05-11,-12.54
2014-05-18,-8.29
2014-05-25,-7
2014-06-01,-10.58
2014-06-08,-7.36
2014-06-15,-9.22
2014-06-22,-4.53
2014-06-29,0.56
2014-07-06,-6.72
2014-07-13,-8.26
2014-07-20,-10.55
2014-07-27,-12.28
2014-08-03,-16.79
2014-08-10,-18.92
2014-08-17,-15.5
2014-08-24,-11.44
2014-08-31,-8.62
2014-09-07,-10.33
2014-09-14,-11.59
2014-09-21,-4.42
2014-09-28,-5.66
2014-10-05,-8.26
2014-10-12,-3.99
2014-10-19,1.45
2014-10-26,-1.61
2014-11-02,-7.5
2014-11-09,-3.34
2014-11-16,-3.28
2014-11-23,-3.85
2014-11-30,-7.9
2014-12-07,-5.42
2014-12-14,-4.32
2014-12-21,-2.42
2014-12-28,-3.6
2015-01-04,-3.95
2015-01-11,-8.69
2015-01-18,-7.62
2015-01-25,-5.65
2015-02-01,-4.01
2015-02-08,-2.58
2015-02-15,-3.71
2015-02-22,-0.65
2015-03-01,-1.88
2015-03-08,0.4
2015-03-15,10.8
2015-03-22,27.45
2015-03-29,31.67
2015-04-05,33.71
2015-04-12,38.03
2015-04-19,49.25
2015-04-26,49.35
2015-05-03,52.38
2015-05-10,58.89
2015-05-17,64.28
2015-05-24,84.16
2015-05-31,83.23
2015-06-07,94.11
2015-06-14,90.6
2015-06-21,99.15
2015-06-28,112.86
2015-07-05,133.14
2015-07-12,111.63
2015-07-19,116.67
2015-07-26,121.22
2015-08-02,90.16
2015-08-09,96.06
2015-08-16,84.77
2015-08-23,69.82
2015-08-30,74.66
2015-09-06,60.04
2015-09-13,60.65
2015-09-20,65.5
2015-09-27,56.76
2015-10-04,56.32
2015-10-11,52.68
2015-10-18,51.92
2015-10-25,62.27
2015-11-01,75.85
2015-11-08,111.5
2015-11-15,108.27
2015-11-22,109.96
2015-11-29,116.26
2015-12-06,100.78
2015-12-13,90.02
2015-12-20,95.83
2015-12-27,91.86
2016-01-03,104.87
2016-01-10,140.13
2016-01-17,120.13
2016-01-24,130.16
2016-01-31,126.47
2016-02-07,119.5
2016-02-14,93.27
2016-02-21,95.73
2016-02-28,95.43
2016-03-06,100.6
2016-03-13,89.97
2016-03-20,73.26
2016-03-27,58.02
2016-04-03,62.04
2016-04-10,58.95
2016-04-17,48.8
2016-04-24,35.09
2016-05-01,32.82
2016-05-08,29.23
2016-05-15,26.87
2016-05-22,17.24
2016-05-29,23.97
2016-06-05,30.23
2016-06-12,36.97
2016-06-19,24.09
2016-06-26,13.84
2016-07-03,7.7
2016-07-10,19.25
2016-07-17,4.6
2016-07-24,5.47
2016-07-31,12.98
2016-08-07,12.72
2016-08-14,29.21
2016-08-21,29.33
2016-08-28,25.03
2016-09-04,25.29
2016-09-11,29.66
2016-09-18,27.27
2016-09-25,27.79
2016-10-02,23.83
2016-10-09,12.33
2016-10-16,13.07
2016-10-23,1.83
2016-10-30,-11.99
2016-11-06,-18.38
2016-11-13,-24.83
2016-11-20,-24.35
2016-11-27,-32.67
2016-12-04,-31.5
2016-12-11,-29.34
2016-12-18,-20.58
2016-12-25,-22.86
2017-01-01,-25.07
2017-01-08,-32.3
2017-01-15,-34.38
2017-01-22,-37.72
2017-01-29,-41.7
2017-02-05,-41.23
2017-02-12,-37.47
2017-02-19,-23.09
2017-02-26,-24.57
2017-03-05,-31.41
2017-03-12,-30.33
2017-03-19,-31.44
2017-03-26,-30.48
2017-04-02,-31.07
2017-04-09,-31.61
2017-04-16,-29.43
2017-04-23,-27.48
2017-04-30,-27.25
2017-05-07,-23.04
2017-05-14,-20.42
2017-05-21,-23.29
2017-05-28,-23.04
2017-06-04,-22.89
2017-06-11,-25.44
2017-06-18,-22.1
2017-06-25,-21.86
2017-07-02,-21.43
2017-07-09,-22.87
2017-07-16,-24.16
2017-07-23,-20.24
2017-07-30,-17.95
2017-08-06,-18.78
2017-08-13,-22.4
2017-08-20,-18.15
2017-08-27,-18.02
2017-09-03,-13.36
2017-09-10,-13.08
2017-09-17,-7.05
2017-09-24,-11.9
2017-10-01,-14.32
2017-10-08,-14.32
2017-10-15,13.17
2017-10-22,20.6
2017-10-29,19.05
2017-11-05,36.78
2017-11-12,24.77
2017-11-19,37.61
2017-11-26,53.42
2017-12-03,50.35
2017-12-10,44.96
2017-12-17,40.08
2017-12-24,43.78
2017-12-31,39.79
2018-01-07,46.55
2018-01-14,66.86
2018-01-21,57.35
2018-01-28,74.45
2018-02-04,71.33
2018-02-11,55.79
2018-02-18,57.58
2018-02-25,51.29
2018-03-04,47.18
2018-03-11,49.12
2018-03-18,54.83
2018-03-25,50.98
2018-04-01,52.12
2018-04-08,50.65
2018-04-15,58.96
2018-04-22,42.16
2018-04-29,42.98
2018-05-06,25.63
2018-05-13,19.12
2018-05-20,27.27
2018-05-27,26.94
2018-06-03,20.43
2018-06-10,11.65
2018-06-17,12.68
2018-06-24,13.75
2018-07-01,8.65
2018-07-08,8.5
2018-07-15,14.13
2018-07-22,10.7
2018-07-29,2.83
2018-08-05,14.13
2018-08-12,19.65
2018-08-19,19.35
2018-08-26,20.42
2018-09-02,19.18
2018-09-09,20.3
2018-09-16,18.78
2018-09-23,18.72
2018-09-30,22.03
2018-10-07,11.77
2018-10-14,-0.84
2018-10-21,-3.67
2018-10-28,-14
2018-11-04,-12.12
2018-11-11,-13.87
2018-11-18,-20.15
2018-11-25,-19.05
2018-12-02,-12.8
2018-12-09,-7.4
2018-12-16,-11.82
2018-12-23,-11.45
2018-12-30,-14.19
2019-01-06,-14.87
2019-01-13,-18.97
2019-01-20,-20.98
2019-01-27,-20.74
2019-02-03,-21.56
2019-02-10,-14.63
2019-02-17,-15.81
2019-02-24,-14.41
2019-03-03,-12.79
2019-03-10,-12.76
2019-03-17,-15.49
2019-03-24,-18.83
2019-03-31,-21.98
2019-04-07,-20.9
2019-04-14,-21.97
2019-04-21,-15.83
2019-04-28,-16.18
2019-05-05,-10.87
2019-05-12,-15.22
2019-05-19,-18.15
2019-05-26,-20.94
2019-06-02,-20.67
2019-06-09,-17.82
2019-06-16,-16.43
2019-06-23,-11.66
2019-06-30,-14.67
2019-07-07,-16.72
2019-07-14,-22.59
2019-07-21,-21.74
2019-07-28,-19.53
2019-08-04,-25.59
2019-08-11,-32.63
2019-08-18,-29.05
2019-08-25,-31.48
2019-09-01,-32.8
2019-09-08,-32.87
2019-09-15,-32.49
2019-09-22,-31.73
2019-09-29,-35.87
2019-10-06,-31.87
2019-10-13,-22.69
2019-10-20,-19.21
2019-10-27,-6.98
2019-11-03,0.1
2019-11-10,-10.2
2019-11-17,-6.83
2019-11-24,-10.7
2019-12-01,-10.86
2019-12-08,-11.05
2019-12-15,-13.83
2019-12-22,-8.76
2019-12-29,-7.75
2020-01-05,-6.5
2020-01-12,-10.25
2020-01-19,-8.1
2020-01-26,-7.28
2020-02-02,-12.7
2020-02-09,-7.95
2020-02-16,-9.49
2020-02-23,-14.38
2020-03-01,-18.35
2020-03-08,-14.34
2020-03-15,-20.92
2020-03-22,-24.12
2020-03-29,-10.88
2020-04-05,-7.83
2020-04-12,0.66
2020-04-19,1.34
2020-04-26,3.34
2020-05-03,3.18
2020-05-10,9.68
2020-05-17,15.23
2020-05-24,18.65
2020-05-31,22.3
2020-06-07,30.48
2020-06-14,44.66
2020-06-21,41.94
2020-06-28,42.22
2020-07-05,41.16
2020-07-12,55.52
2020-07-19,60.69
2020-07-26,71.61
2020-08-02,72.81
2020-08-09,116.62
2020-08-16,97.99
2020-08-23,92.18
2020-08-30,97.36
2020-09-06,91.13
2020-09-13,86.93
2020-09-20,77
2020-09-27,63.55
2020-10-04,69.78
2020-10-11,64.73
2020-10-18,54.39
2020-10-25,44.76
2020-11-01,39.43
2020-11-08,57.15
2020-11-15,62.62
2020-11-22,67.93
2020-11-29,70.65
2020-12-06,82.89
2020-12-13,79.72
2020-12-20,80.87
2020-12-27,64.09
2021-01-03,68.06
2021-01-10,82.57
2021-01-17,65.96
2021-01-24,59.43
2021-01-31,53.87
2021-02-07,60.37
2021-02-14,50.01
2021-02-21,47.4
2021-02-28,49.03
2021-03-07,38.76
2021-03-14,47.08
2021-03-21,82.09
2021-03-28,49.81
2021-04-04,39.99
2021-04-11,33.39
2021-04-18,33.5
2021-04-25,28.7
2021-05-02,21.98
2021-05-09,23.89
2021-05-16,21.1
2021-05-23,19.31
2021-05-30,19.38
2021-06-06,10.21
2021-06-13,-2.87
2021-06-20,-5.06
2021-06-27,-3.02
2021-07-04,2.86
