Date,HE
2011-01-07,"1,048"
2011-01-14,"1,025"
2011-01-21,"1,002"
2011-01-28,969
2011-02-04,957
2011-02-11,919
2011-02-18,928
2011-02-25,917
2011-03-04,939
2011-03-11,937
2011-03-18,918
2011-03-25,949
2011-04-01,972
2011-04-08,967
2011-04-15,974
2011-04-22,960
2011-04-29,964
2011-05-06,967
2011-05-13,926
2011-05-20,890
2011-05-27,866
2011-06-03,898
2011-06-10,876
2011-06-17,920
2011-06-24,931
2011-07-01,960
2011-07-08,997
2011-07-15,"1,030"
2011-07-22,"1,078"
2011-07-29,"1,147"
2011-08-05,"1,066"
2011-08-12,"1,053"
2011-08-19,973
2011-08-26,954
2011-09-02,974
2011-09-09,934
2011-09-16,962
2011-09-23,954
2011-09-30,952
2011-10-07,947
2011-10-14,982
2011-10-21,999
2011-10-28,"1,040"
2011-11-04,"1,016"
2011-11-11,975
2011-11-18,975
2011-11-25,908
2011-12-02,971
2011-12-09,963
2011-12-16,919
2011-12-23,943
2011-12-30,931
2012-01-06,965
2012-01-13,989
2012-01-20,976
2012-01-27,978
2012-02-03,957
2012-02-10,927
2012-02-17,907
2012-02-24,883
2012-03-02,872
2012-03-09,853
2012-03-16,872
2012-03-23,855
2012-03-30,859
2012-04-06,830
2012-04-13,829
2012-04-20,829
2012-04-27,793
2012-05-04,805
2012-05-11,788
2012-05-18,745
2012-05-25,750
2012-06-01,787
2012-06-08,815
2012-06-15,843
2012-06-22,880
2012-06-29,883
2012-07-06,872
2012-07-13,866
2012-07-20,901
2012-07-27,892
2012-08-03,925
2012-08-10,954
2012-08-17,976
2012-08-24,976
2012-08-31,976
2012-09-07,978
2012-09-14,"1,001"
2012-09-21,"1,060"
2012-09-28,"1,077"
2012-10-05,"1,073"
2012-10-12,"1,108"
2012-10-19,"1,057"
2012-10-26,"1,113"
2012-11-02,"1,150"
2012-11-09,"1,177"
2012-11-16,"1,134"
2012-11-23,"1,117"
2012-11-30,"1,103"
2012-12-07,"1,054"
2012-12-14,"1,095"
2012-12-21,"1,097"
2012-12-28,"1,126"
2013-01-04,"1,163"
2013-01-11,"1,224"
2013-01-18,"1,220"
2013-01-25,"1,191"
2013-02-01,"1,188"
2013-02-08,"1,192"
2013-02-15,"1,196"
2013-02-22,"1,208"
2013-03-01,"1,251"
2013-03-08,"1,268"
2013-03-15,"1,290"
2013-03-22,"1,267"
2013-03-29,"1,291"
2013-04-05,"1,264"
2013-04-12,"1,320"
2013-04-19,"1,312"
2013-04-26,"1,337"
2013-05-03,"1,361"
2013-05-10,"1,305"
2013-05-17,"1,259"
2013-05-24,"1,239"
2013-05-31,"1,254"
2013-06-07,"1,164"
2013-06-14,"1,224"
2013-06-21,"1,152"
2013-06-28,"1,162"
2013-07-05,"1,226"
2013-07-12,"1,221"
2013-07-19,"1,258"
2013-07-26,"1,275"
2013-08-02,"1,319"
2013-08-09,"1,331"
2013-08-16,"1,279"
2013-08-23,"1,224"
2013-08-30,"1,215"
2013-09-06,"1,228"
2013-09-13,"1,260"
2013-09-20,"1,247"
2013-09-27,"1,294"
2013-10-04,"1,276"
2013-10-11,"1,261"
2013-10-18,"1,220"
2013-10-25,"1,259"
2013-11-01,"1,262"
2013-11-08,"1,200"
2013-11-15,"1,202"
2013-11-22,"1,214"
2013-11-29,"1,252"
2013-12-06,"1,213"
2013-12-13,"1,203"
2013-12-20,"1,184"
2013-12-27,"1,211"
2014-01-03,"1,185"
2014-01-10,"1,247"
2014-01-17,"1,252"
2014-01-24,"1,241"
2014-01-31,"1,248"
2014-02-07,"1,244"
2014-02-14,"1,252"
2014-02-21,"1,254"
2014-02-28,"1,268"
2014-03-07,"1,261"
2014-03-14,"1,234"
2014-03-21,"1,224"
2014-03-28,"1,201"
2014-04-04,"1,186"
2014-04-11,"1,198"
2014-04-18,"1,206"
2014-04-25,"1,166"
2014-05-02,"1,187"
2014-05-09,"1,157"
2014-05-16,"1,155"
2014-05-23,"1,143"
2014-05-30,"1,125"
2014-06-06,"1,079"
2014-06-13,"1,110"
2014-06-20,"1,122"
2014-06-27,"1,144"
2014-07-04,"1,135"
2014-07-11,"1,109"
2014-07-18,"1,115"
2014-07-25,"1,108"
2014-08-01,"1,106"
2014-08-08,"1,082"
2014-08-15,"1,091"
2014-08-22,"1,073"
2014-08-29,"1,110"
2014-09-05,"1,121"
2014-09-12,"1,127"
2014-09-19,"1,192"
2014-09-26,"1,205"
2014-10-03,"1,187"
2014-10-10,"1,194"
2014-10-17,"1,233"
2014-10-24,"1,246"
2014-10-31,"1,175"
2014-11-07,"1,156"
2014-11-14,"1,148"
2014-11-21,"1,164"
2014-11-28,"1,155"
2014-12-05,"1,167"
2014-12-12,"1,146"
2014-12-19,"1,155"
2014-12-26,"1,162"
2015-01-02,"1,146"
2015-01-09,"1,141"
2015-01-16,"1,159"
2015-01-23,"1,165"
2015-01-30,"1,198"
2015-02-06,"1,197"
2015-02-13,"1,214"
2015-02-20,"1,239"
2015-02-27,"1,230"
2015-03-06,"1,266"
2015-03-13,"1,364"
2015-03-20,"1,572"
2015-03-27,"1,575"
2015-04-03,"1,570"
2015-04-10,"1,658"
2015-04-17,"1,787"
2015-04-24,"1,753"
2015-05-01,"1,808"
2015-05-08,"1,831"
2015-05-15,"1,914"
2015-05-22,"2,092"
2015-05-29,"2,085"
2015-06-05,"2,094"
2015-06-12,"2,122"
2015-06-19,"2,235"
2015-06-26,"2,428"
2015-07-03,"2,637"
2015-07-10,"2,345"
2015-07-17,"2,420"
2015-07-24,"2,458"
2015-07-31,"2,095"
2015-08-07,"2,131"
2015-08-14,"2,002"
2015-08-21,"1,830"
2015-08-28,"1,955"
2015-09-04,"1,765"
2015-09-11,"1,798"
2015-09-18,"1,942"
2015-09-25,"1,900"
2015-10-02,"1,855"
2015-10-09,"1,819"
2015-10-16,"1,857"
2015-10-23,"2,026"
2015-10-30,"2,087"
2015-11-06,"2,425"
2015-11-13,"2,399"
2015-11-20,"2,420"
2015-11-27,"2,479"
2015-12-04,"2,346"
2015-12-11,"2,156"
2015-12-18,"2,243"
2015-12-25,"2,213"
2016-01-01,"2,364"
2016-01-08,"2,708"
2016-01-15,"2,557"
2016-01-22,"2,687"
2016-01-29,"2,656"
2016-02-05,"2,629"
2016-02-12,"2,309"
2016-02-19,"2,424"
2016-02-26,"2,412"
2016-03-04,"2,494"
2016-03-11,"2,432"
2016-03-18,"2,463"
2016-03-25,"2,507"
2016-04-01,"2,550"
2016-04-08,"2,576"
2016-04-15,"2,512"
2016-04-22,"2,479"
2016-04-29,"2,409"
2016-05-06,"2,334"
2016-05-13,"2,451"
2016-05-20,"2,508"
2016-05-27,"2,521"
2016-06-03,"2,672"
2016-06-10,"2,843"
2016-06-17,"2,604"
2016-06-24,"2,534"
2016-07-01,"2,671"
2016-07-08,"2,678"
2016-07-15,"2,587"
2016-07-22,"2,540"
2016-07-29,"2,450"
2016-08-05,"2,365"
2016-08-12,"2,501"
2016-08-19,"2,402"
2016-08-26,"2,452"
2016-09-02,"2,384"
2016-09-09,"2,301"
2016-09-16,"2,289"
2016-09-23,"2,471"
2016-09-30,"2,298"
2016-10-07,"2,040"
2016-10-14,"2,011"
2016-10-21,"1,956"
2016-10-28,"1,787"
2016-11-04,"1,741"
2016-11-11,"1,875"
2016-11-18,"1,773"
2016-11-25,"1,680"
2016-12-02,"1,637"
2016-12-09,"1,614"
2016-12-16,"1,722"
2016-12-23,"1,728"
2016-12-30,"1,768"
2017-01-06,"1,757"
2017-01-13,"1,717"
2017-01-20,"1,696"
2017-01-27,"1,593"
2017-02-03,"1,593"
2017-02-10,"1,644"
2017-02-17,"1,756"
2017-02-24,"1,800"
2017-03-03,"1,730"
2017-03-10,"1,715"
2017-03-17,"1,675"
2017-03-24,"1,697"
2017-03-31,"1,730"
2017-04-07,"1,764"
2017-04-14,"1,749"
2017-04-21,"1,799"
2017-04-28,"1,781"
2017-05-05,"1,796"
2017-05-12,"1,945"
2017-05-19,"1,884"
2017-05-26,"1,934"
2017-06-02,"2,032"
2017-06-09,"2,094"
2017-06-16,"2,049"
2017-06-23,"2,069"
2017-06-30,"2,082"
2017-07-07,"2,075"
2017-07-14,"1,985"
2017-07-21,"2,031"
2017-07-28,"2,017"
2017-08-04,"1,945"
2017-08-11,"1,923"
