Date,HI
2012-01-08,-33.92
2012-01-15,-33.59
2012-01-22,-29.73
2012-01-29,-31.9
2012-02-05,-27.36
2012-02-12,-13.97
2012-02-19,-9.87
2012-02-26,-13.03
2012-03-04,-2.95
2012-03-11,-7.57
2012-03-18,-5.66
2012-03-25,-14.03
2012-04-01,-19.32
2012-04-08,-23.88
2012-04-15,-26.01
2012-04-22,-22.5
2012-04-29,-30.84
2012-05-06,-25.68
2012-05-13,-31.6
2012-05-20,-35.54
2012-05-27,-28.12
2012-06-03,-35.1
2012-06-10,-33
2012-06-17,-31.88
2012-06-24,-30.9
2012-07-01,-31.64
2012-07-08,-31.47
2012-07-15,-33.96
2012-07-22,-32.78
2012-07-29,-32.95
2012-08-05,-24.88
2012-08-12,-7.69
2012-08-19,-13.15
2012-08-26,-3.96
2012-09-02,-14.96
2012-09-09,-7.48
2012-09-16,3.16
2012-09-23,-1.72
2012-09-30,12.64
2012-10-07,15.91
2012-10-14,-6.35
2012-10-21,-2.84
2012-10-28,-8.8
2012-11-04,-9.05
2012-11-11,-10.06
2012-11-18,-10.5
2012-11-25,-6.5
2012-12-02,-5.83
2012-12-09,-9.71
2012-12-16,-0.34
2012-12-23,4.3
2012-12-30,6.69
2013-01-06,2.64
2013-01-13,0.41
2013-01-20,-8.24
2013-01-27,-12.63
2013-02-03,-14.05
2013-02-10,-20.33
2013-02-17,-21.61
2013-02-24,-15.45
2013-03-03,-20.7
2013-03-10,-22.03
2013-03-17,-26.71
2013-03-24,-26.68
2013-03-31,-24.19
2013-04-07,-27.93
2013-04-14,-29.53
2013-04-21,-31.65
2013-04-28,-23.22
2013-05-05,-26.9
2013-05-12,-21.45
2013-05-19,-15.69
2013-05-26,-16.85
2013-06-02,-17.67
2013-06-09,-16.12
2013-06-16,-20.37
2013-06-23,-23.19
2013-06-30,-18.36
2013-07-07,-23.32
2013-07-14,-14.93
2013-07-21,-10.42
2013-07-28,-2.78
2013-08-04,-9.1
2013-08-11,-13.34
2013-08-18,-11
2013-08-25,-11.82
2013-09-01,-7.65
2013-09-08,-3.18
2013-09-15,-4.21
2013-09-22,-4.11
2013-09-29,0.21
2013-10-06,-3.38
2013-10-13,5.3
2013-10-20,4.04
2013-10-27,5.99
2013-11-03,3.76
2013-11-10,5.57
2013-11-17,12.98
2013-11-24,10.36
2013-12-01,7.35
2013-12-08,-0.4
