Date,HI
2011-01-07,820
2011-01-14,859
2011-01-21,844
2011-01-28,862
2011-02-04,839
2011-02-11,758
2011-02-18,749
2011-02-25,744
2011-03-04,739
2011-03-11,711
2011-03-18,736
2011-03-25,782
2011-04-01,799
2011-04-08,850
2011-04-15,841
2011-04-22,822
2011-04-29,870
2011-05-06,809
2011-05-13,796
2011-05-20,809
2011-05-27,786
2011-06-03,848
2011-06-10,793
2011-06-17,792
2011-06-24,818
2011-07-01,825
2011-07-08,841
2011-07-15,807
2011-07-22,781
2011-07-29,752
2011-08-05,651
2011-08-12,618
2011-08-19,569
2011-08-26,592
2011-09-02,624
2011-09-09,590
2011-09-16,582
2011-09-23,502
2011-09-30,523
2011-10-07,534
2011-10-14,568
2011-10-21,534
2011-10-28,606
2011-11-04,579
2011-11-11,545
2011-11-18,540
2011-11-25,510
2011-12-02,573
2011-12-09,559
2011-12-16,527
2011-12-23,536
2011-12-30,515
2012-01-06,529
2012-01-13,557
2012-01-20,608
2012-01-27,594
2012-02-03,610
2012-02-10,661
2012-02-17,651
2012-02-24,638
2012-03-02,685
2012-03-09,681
2012-03-16,675
2012-03-23,663
2012-03-30,633
2012-04-06,621
2012-04-13,623
2012-04-20,622
2012-04-27,601
2012-05-04,621
2012-05-11,568
2012-05-18,526
2012-05-25,538
2012-06-01,545
2012-06-08,544
2012-06-15,564
2012-06-22,560
2012-06-29,556
2012-07-06,573
2012-07-13,539
2012-07-20,527
2012-07-27,517
2012-08-03,537
2012-08-10,566
2012-08-17,571
2012-08-24,553
2012-08-31,539
2012-09-07,556
2012-09-14,575
2012-09-21,574
2012-09-28,561
2012-10-05,557
2012-10-12,528
2012-10-19,545
2012-10-26,511
2012-11-02,522
2012-11-09,513
2012-11-16,483
2012-11-23,484
2012-11-30,511
2012-12-07,521
2012-12-14,542
2012-12-21,549
2012-12-28,552
2013-01-04,554
2013-01-11,547
2013-01-18,539
2013-01-25,526
2013-02-01,528
2013-02-08,514
2013-02-15,522
2013-02-22,537
2013-03-01,526
2013-03-08,525
2013-03-15,504
2013-03-22,482
2013-03-29,487
2013-04-05,449
2013-04-12,424
2013-04-19,431
2013-04-26,456
2013-05-03,448
2013-05-10,455
2013-05-17,457
2013-05-24,442
2013-05-31,454
2013-06-07,460
2013-06-14,450
2013-06-21,443
2013-06-28,447
2013-07-05,444
2013-07-12,460
2013-07-19,474
2013-07-26,487
2013-08-02,494
2013-08-09,493
2013-08-16,504
2013-08-23,498
2013-08-30,502
2013-09-06,518
2013-09-13,532
2013-09-20,551
2013-09-27,564
2013-10-04,540
2013-10-11,559
2013-10-18,570
2013-10-25,549
2013-11-01,528
2013-11-08,543
2013-11-15,546
2013-11-22,536
2013-11-29,542
2013-12-06,513
2013-12-13,494
2013-12-20,515
2013-12-27,527
2014-01-03,519
2014-01-10,517
2014-01-17,514
2014-01-24,516
2014-01-31,511
2014-02-07,486
2014-02-14,500
2014-02-21,511
2014-02-28,496
2014-03-07,504
2014-03-14,469
2014-03-21,471
2014-03-28,484
2014-04-04,491
2014-04-11,497
2014-04-18,486
2014-04-25,462
2014-05-02,444
2014-05-09,448
2014-05-16,454
2014-05-23,455
2014-05-30,448
2014-06-06,440
2014-06-13,444
2014-06-20,435
2014-06-27,433
2014-07-04,443
2014-07-11,417
2014-07-18,429
2014-07-25,440
2014-08-01,425
2014-08-08,417
2014-08-15,435
2014-08-22,422
2014-08-29,434
2014-09-05,432
2014-09-12,421
2014-09-19,431
2014-09-26,421
2014-10-03,395
2014-10-10,389
2014-10-17,383
2014-10-24,375
