Date,IN
2012-01-08,-20.68
2012-01-15,-20.6
2012-01-22,-16.99
2012-01-29,-15.4
2012-02-05,-9.12
2012-02-12,-3.39
2012-02-19,2.4
2012-02-26,5.2
2012-03-04,8.03
2012-03-11,1.75
2012-03-18,10.2
2012-03-25,3.59
2012-04-01,-3.72
2012-04-08,-7.33
2012-04-15,-8.27
2012-04-22,-11.09
2012-04-29,-15.45
2012-05-06,-13.89
2012-05-13,-15.43
2012-05-20,-22.47
2012-05-27,-16.41
2012-06-03,-22.11
2012-06-10,-21.74
2012-06-17,-18.57
2012-06-24,-18.03
2012-07-01,-18.31
2012-07-08,-19.97
2012-07-15,-23.84
2012-07-22,-25.17
2012-07-29,-23.83
2012-08-05,-18.9
2012-08-12,-3.16
2012-08-19,-8.52
2012-08-26,-3.88
2012-09-02,-10.46
2012-09-09,-6.54
2012-09-16,3.19
2012-09-23,-2.63
2012-09-30,10.24
2012-10-07,17.62
2012-10-14,0.59
2012-10-21,0.1
2012-10-28,-5.17
2012-11-04,-5.49
2012-11-11,-5.39
2012-11-18,-5.64
2012-11-25,1.9
2012-12-02,-1.07
2012-12-09,-6.31
2012-12-16,-2.77
2012-12-23,-2.39
2012-12-30,-0.08
2013-01-06,-1.02
2013-01-13,-0.44
2013-01-20,-5.3
2013-01-27,-11.17
2013-02-03,-11.71
2013-02-10,-17.19
2013-02-17,-17.16
2013-02-24,-15.75
2013-03-03,-15.17
2013-03-10,-16.35
2013-03-17,-20.57
2013-03-24,-21.67
2013-03-31,-18.81
2013-04-07,-21.64
2013-04-14,-22.21
2013-04-21,-25.77
2013-04-28,-20.75
2013-05-05,-22.06
2013-05-12,-20.06
2013-05-19,-12.29
2013-05-26,-13.05
2013-06-02,-12.37
2013-06-09,-13.75
2013-06-16,-18.87
2013-06-23,-22.57
2013-06-30,-19.37
2013-07-07,-22.95
2013-07-14,-17.19
2013-07-21,-19.69
2013-07-28,-14.51
2013-08-04,-16.23
2013-08-11,-21.74
2013-08-18,-18.77
2013-08-25,-21.49
2013-09-01,-20.18
2013-09-08,-16.59
2013-09-15,-18.53
2013-09-22,-19.59
2013-09-29,-18.4
2013-10-06,-20.28
2013-10-13,-16.82
2013-10-20,-18.13
2013-10-27,-14.99
2013-11-03,-14.92
2013-11-10,-17.77
2013-11-17,-15.24
2013-11-24,-17.49
2013-12-01,-16.13
2013-12-08,-19.97
2013-12-15,-21.8
2013-12-22,-20.59
2013-12-29,-16.97
2014-01-05,-19.17
2014-01-12,-17.55
2014-01-19,-14.82
2014-01-26,-13.59
2014-02-02,-12.26
2014-02-09,-10.48
2014-02-16,-13.33
2014-02-23,-11.07
2014-03-02,-10.16
2014-03-09,-8.36
2014-03-16,-10.38
2014-03-23,-7.93
2014-03-30,-6.75
2014-04-06,-2.24
2014-04-13,1.94
2014-04-20,11.11
2014-04-27,2.35
2014-05-04,4.89
2014-05-11,0.92
2014-05-18,3.81
2014-05-25,4.85
2014-06-01,4.63
2014-06-08,8.49
2014-06-15,9.25
2014-06-22,10.28
2014-06-29,12.22
2014-07-06,13.14
2014-07-13,11.58
2014-07-20,12.3
2014-07-27,9.98
2014-08-03,10.25
2014-08-10,12.07
2014-08-17,11.9
2014-08-24,17.05
2014-08-31,17.49
2014-09-07,14.95
2014-09-14,9.58
2014-09-21,12.4
2014-09-28,12.15
2014-10-05,10.15
2014-10-12,11.87
2014-10-19,12.99
2014-10-26,8.65
2014-11-02,10.36
2014-11-09,14.55
2014-11-16,19.54
2014-11-23,17.23
2014-11-30,14.28
2014-12-07,18.2
2014-12-14,12.51
2014-12-21,14.4
2014-12-28,11.86
2015-01-04,10.72
2015-01-11,10.17
2015-01-18,1.04
2015-01-25,3.26
2015-02-01,4.5
2015-02-08,8.5
2015-02-15,9.93
2015-02-22,9.02
2015-03-01,7.75
2015-03-08,5.78
2015-03-15,4.71
2015-03-22,10.93
2015-03-29,8.42
2015-04-05,6.64
2015-04-12,7.71
2015-04-19,12.17
2015-04-26,11.24
2015-05-03,13.38
2015-05-10,11.45
2015-05-17,10.95
2015-05-24,10.43
2015-05-31,12.24
2015-06-07,13.39
2015-06-14,10.63
2015-06-21,8.1
2015-06-28,10.86
2015-07-05,10.48
2015-07-12,6.18
2015-07-19,4.79
2015-07-26,5.24
2015-08-02,3.03
2015-08-09,1.17
2015-08-16,-3.02
2015-08-23,-10.05
2015-08-30,-6.66
2015-09-06,-10.54
2015-09-13,-5.25
2015-09-20,-6.43
2015-09-27,-11.47
2015-10-04,-8.21
2015-10-11,-8.36
2015-10-18,-6.9
2015-10-25,-6.27
2015-11-01,-4.82
2015-11-08,-4.61
2015-11-15,-13.32
2015-11-22,-10.57
2015-11-29,-9.5
2015-12-06,-10.81
2015-12-13,-9.8
2015-12-20,-8.68
2015-12-27,-8.02
2016-01-03,-11.29
2016-01-10,-15.07
2016-01-17,-12.29
2016-01-24,-13.92
2016-01-31,-10.34
2016-02-07,-13.93
2016-02-14,-17.47
2016-02-21,-13.98
2016-02-28,-18.55
2016-03-06,-14.23
2016-03-13,-12.01
2016-03-20,-14.13
2016-03-27,-18.69
2016-04-03,-20.06
2016-04-10,-18.83
2016-04-17,-18.58
2016-04-24,-18.47
2016-05-01,-19.3
2016-05-08,-19.34
2016-05-15,-19.73
2016-05-22,-20.51
2016-05-29,-20.61
2016-06-05,-18.76
2016-06-12,-18.65
2016-06-19,-18.99
2016-06-26,-22.85
2016-07-03,-21.07
2016-07-10,-17.41
2016-07-17,-18.1
2016-07-24,-15.33
2016-07-31,-15.38
2016-08-07,-17.13
2016-08-14,-10.58
2016-08-21,-6.96
2016-08-28,-8.05
2016-09-04,-4.66
2016-09-11,-7.36
2016-09-18,-9.25
2016-09-25,-7.17
2016-10-02,-6.35
2016-10-09,-8.82
2016-10-16,-14.26
2016-10-23,-13.83
2016-10-30,-16.52
2016-11-06,-20.62
2016-11-13,-14.28
2016-11-20,-10.59
2016-11-27,-13.52
2016-12-04,-16.55
2016-12-11,-9.22
2016-12-18,-7.91
2016-12-25,-11.08
2017-01-01,-11.26
2017-01-08,-4.13
2017-01-15,-3.74
