Date,IN
2011-01-07,1173
2011-01-14,1162
2011-01-21,1152
2011-01-28,1137
2011-02-04,1113
2011-02-11,1050
2011-02-18,1044
2011-02-25,1001
2011-03-04,1006
2011-03-11,990
2011-03-18,969
2011-03-25,1028
2011-04-01,1083
2011-04-08,1096
2011-04-15,1114
2011-04-22,1113
2011-04-29,1092
2011-05-06,1099
2011-05-13,1075
2011-05-20,1076
2011-05-27,1083
2011-06-03,1103
2011-06-10,1070
2011-06-17,1073
2011-06-24,1124
2011-07-01,1123
2011-07-08,1151
2011-07-15,1161
2011-07-22,1191
2011-07-29,1130
2011-08-05,1031
2011-08-12,962
2011-08-19,954
2011-08-26,966
2011-09-02,1016
2011-09-09,972
2011-09-16,982
2011-09-23,878
2011-09-30,886
2011-10-07,866
2011-10-14,932
2011-10-21,909
2011-10-28,977
2011-11-04,976
2011-11-11,916
2011-11-18,897
2011-11-25,850
2011-12-02,940
2011-12-09,926
2011-12-16,909
2011-12-23,920
2011-12-30,901
2012-01-06,911
2012-01-13,920
2012-01-20,972
2012-01-27,976
2012-02-03,1012
2012-02-10,1033
2012-02-17,1037
2012-02-24,1036
2012-03-02,1043
2012-03-09,1029
2012-03-16,1042
2012-03-23,1039
2012-03-30,1019
2012-04-06,1002
2012-04-13,997
2012-04-20,964
2012-04-27,944
2012-05-04,957
2012-05-11,920
2012-05-18,845
2012-05-25,867
2012-06-01,864
2012-06-08,853
2012-06-15,887
2012-06-22,896
2012-06-29,898
2012-07-06,906
2012-07-13,878
2012-07-20,889
2012-07-27,882
2012-08-03,884
2012-08-10,929
2012-08-17,936
2012-08-24,919
2012-08-31,912
2012-09-07,930
2012-09-14,964
2012-09-21,963
2012-09-28,956
2012-10-05,950
2012-10-12,913
2012-10-19,938
2012-10-26,902
2012-11-02,903
2012-11-09,904
2012-11-16,859
2012-11-23,880
2012-11-30,888
2012-12-07,882
2012-12-14,903
2012-12-21,885
2012-12-28,900
2013-01-04,913
2013-01-11,903
2013-01-18,892
2013-01-25,859
2013-02-01,879
2013-02-08,861
2013-02-15,868
2013-02-22,869
2013-03-01,867
2013-03-08,853
2013-03-15,832
2013-03-22,814
2013-03-29,828
