Date,IT
2012-01-08,-13.63
2012-01-15,-9.8
2012-01-22,-8.57
2012-01-29,-8.36
2012-02-05,-6.96
2012-02-12,-4.6
2012-02-19,-0.43
2012-02-26,1.4
2012-03-04,3.58
2012-03-11,5.54
2012-03-18,7.99
2012-03-25,8.65
2012-04-01,3.03
2012-04-08,2.63
2012-04-15,0.55
2012-04-22,-5.35
2012-04-29,-3.51
2012-05-06,-2
2012-05-13,-6.12
2012-05-20,-13.56
2012-05-27,-5.74
2012-06-03,-5.62
2012-06-10,-1.05
2012-06-17,2.58
2012-06-24,3.87
2012-07-01,4.33
2012-07-08,-0.65
2012-07-15,1.5
2012-07-22,-1.66
2012-07-29,1.96
2012-08-05,7.14
2012-08-12,29.52
2012-08-19,26.25
2012-08-26,35.08
2012-09-02,23.18
2012-09-09,27.83
2012-09-16,38.71
2012-09-23,25.63
2012-09-30,30.87
2012-10-07,28.8
2012-10-14,12.96
2012-10-21,13.52
2012-10-28,7.41
2012-11-04,13.4
2012-11-11,15.15
2012-11-18,14.46
2012-11-25,24.74
2012-12-02,14.49
2012-12-09,14.22
2012-12-16,15.41
2012-12-23,12.85
2012-12-30,16.62
2013-01-06,13.62
2013-01-13,14.08
2013-01-20,10.38
2013-01-27,2.68
2013-02-03,1.54
2013-02-10,1.28
2013-02-17,-0.34
2013-02-24,2.7
2013-03-03,4.19
2013-03-10,3.73
2013-03-17,0.29
2013-03-24,-0.02
2013-03-31,3.19
2013-04-07,-0.18
2013-04-14,5.89
2013-04-21,2.79
2013-04-28,6
2013-05-05,5.55
2013-05-12,4.93
2013-05-19,19.54
2013-05-26,19.02
2013-06-02,20.25
2013-06-09,12.01
2013-06-16,8.49
2013-06-23,4.54
2013-06-30,10.75
2013-07-07,3.02
2013-07-14,13.26
2013-07-21,9.9
2013-07-28,13.9
2013-08-04,6.5
2013-08-11,1.42
2013-08-18,3.86
2013-08-25,3.3
2013-09-01,6.89
2013-09-08,7.08
2013-09-15,6.85
2013-09-22,5.53
2013-09-29,8.63
2013-10-06,7.59
2013-10-13,14.58
2013-10-20,15.46
2013-10-27,11.26
2013-11-03,12.47
2013-11-10,4.33
2013-11-17,9.73
2013-11-24,6.51
2013-12-01,12.93
2013-12-08,12.09
2013-12-15,9.19
2013-12-22,12.32
2013-12-29,14.23
2014-01-05,6.83
2014-01-12,8.5
2014-01-19,12.09
2014-01-26,11.59
2014-02-02,12.04
2014-02-09,15.28
2014-02-16,12.67
2014-02-23,7.96
2014-03-02,10.47
2014-03-09,10.37
2014-03-16,6.82
2014-03-23,10.84
2014-03-30,7.86
2014-04-06,10.97
2014-04-13,8.17
2014-04-20,13.78
2014-04-27,10.23
2014-05-04,8.48
2014-05-11,7.36
2014-05-18,9.15
2014-05-25,11.58
2014-06-01,9.53
2014-06-08,13.83
2014-06-15,20.24
2014-06-22,22.58
2014-06-29,24.24
2014-07-06,27.95
2014-07-13,23.17
2014-07-20,25.69
2014-07-27,22.12
2014-08-03,22.2
2014-08-10,21.63
2014-08-17,17.91
2014-08-24,22.77
2014-08-31,19.01
2014-09-07,14.81
2014-09-14,11.54
2014-09-21,13.79
2014-09-28,12.73
2014-10-05,9.4
2014-10-12,3.17
2014-10-19,0.08
2014-10-26,3.05
2014-11-02,8.06
2014-11-09,8.8
2014-11-16,10.23
2014-11-23,10.4
2014-11-30,4.47
2014-12-07,8.06
2014-12-14,4.08
2014-12-21,5.63
2014-12-28,5.15
2015-01-04,6.99
2015-01-11,10.82
2015-01-18,8.35
2015-01-25,12.07
2015-02-01,12.58
2015-02-08,10.74
2015-02-15,7.41
2015-02-22,7.33
2015-03-01,4.85
2015-03-08,4.96
2015-03-15,4.16
2015-03-22,7.72
2015-03-29,5.74
2015-04-05,2.44
2015-04-12,2.68
2015-04-19,3.81
2015-04-26,1.81
2015-05-03,3.27
2015-05-10,1.07
2015-05-17,-2.75
2015-05-24,-1.48
2015-05-31,-1.37
2015-06-07,-5.58
2015-06-14,-9.97
2015-06-21,-10.71
2015-06-28,-11.4
2015-07-05,-13.59
2015-07-12,-13.58
2015-07-19,-13.11
2015-07-26,-14.02
2015-08-02,-16.97
2015-08-09,-18.28
2015-08-16,-17.63
2015-08-23,-23.38
2015-08-30,-20
2015-09-06,-17.97
2015-09-13,-16.38
2015-09-20,-15.1
2015-09-27,-18.05
2015-10-04,-15.1
2015-10-11,-8.5
2015-10-18,-6.48
2015-10-25,-8.27
2015-11-01,-9.98
2015-11-08,-9.74
2015-11-15,-13.08
2015-11-22,-10.81
2015-11-29,-8.41
2015-12-06,-11.64
2015-12-13,-9.75
2015-12-20,-9.79
2015-12-27,-11.09
2016-01-03,-11.04
2016-01-10,-16.37
2016-01-17,-19.29
2016-01-24,-18.19
2016-01-31,-20.19
2016-02-07,-19.7
2016-02-14,-21.91
2016-02-21,-17.56
2016-02-28,-16.04
2016-03-06,-15.61
2016-03-13,-12.77
2016-03-20,-15.68
2016-03-27,-17.94
2016-04-03,-15.3
2016-04-10,-14.58
2016-04-17,-14.53
2016-04-24,-15.79
2016-05-01,-16.18
2016-05-08,-14.15
2016-05-15,-13.78
2016-05-22,-14.92
2016-05-29,-12.27
2016-06-05,-12.49
2016-06-12,-6.31
2016-06-19,-7.5
2016-06-26,-6.64
2016-07-03,-3.1
2016-07-10,1.08
2016-07-17,3.6
2016-07-24,2.28
2016-07-31,6.23
2016-08-07,13.14
2016-08-14,17.32
2016-08-21,25.08
2016-08-28,27.41
2016-09-04,24.17
2016-09-11,19.71
2016-09-18,18.54
2016-09-25,21.63
2016-10-02,22.07
2016-10-09,17.21
2016-10-16,14.69
2016-10-23,12.05
2016-10-30,15.1
2016-11-06,10.27
2016-11-13,9.49
2016-11-20,12.1
2016-11-27,9.38
2016-12-04,9.97
2016-12-11,16.73
2016-12-18,16.46
2016-12-25,14.79
2017-01-01,18.57
2017-01-08,25.89
2017-01-15,30.92
2017-01-22,33.73
2017-01-29,36.02
2017-02-05,42.01
2017-02-12,36.9
2017-02-19,35.44
2017-02-26,32.25
2017-03-05,30.44
2017-03-12,33.01
2017-03-19,36.62
2017-03-26,39.14
2017-04-02,39.92
2017-04-09,41.7
2017-04-16,38.42
2017-04-23,40.72
2017-04-30,47.07
2017-05-07,50.89
2017-05-14,54.83
2017-05-21,53.25
2017-05-28,55.97
2017-06-04,55.79
2017-06-11,58.8
2017-06-18,58.59
2017-06-25,58.25
2017-07-02,59.59
2017-07-09,56.54
2017-07-16,54.99
2017-07-23,56.67
2017-07-30,44.43
2017-08-06,44.97
2017-08-13,36.28
2017-08-20,38.73
2017-08-27,40.53
2017-09-03,43.23
2017-09-10,42.47
2017-09-17,57.42
2017-09-24,52.76
2017-10-01,49.41
2017-10-08,49.41
2017-10-15,57.62
2017-10-22,56.07
2017-10-29,54.64
2017-11-05,64.89
2017-11-12,62.67
2017-11-19,66.88
2017-11-26,65.55
2017-12-03,54.93
2017-12-10,51.72
2017-12-17,51.57
2017-12-24,47.17
2017-12-31,49.78
2018-01-07,50.48
2018-01-14,39.27
2018-01-21,40.97
2018-01-28,40.96
2018-02-04,34.23
2018-02-11,25.17
2018-02-18,34.96
2018-02-25,31.18
2018-03-04,29.53
2018-03-11,36.43
2018-03-18,36.19
2018-03-25,27.45
2018-04-01,27.03
2018-04-08,24.88
2018-04-15,25.84
2018-04-22,26.38
2018-04-29,22.53
2018-05-06,14.95
2018-05-13,14.54
2018-05-20,14.61
2018-05-27,17.53
2018-06-03,15.23
2018-06-10,12.16
2018-06-17,8.06
2018-06-24,6.54
2018-07-01,3.32
2018-07-08,2.56
2018-07-15,5.76
2018-07-22,5.04
2018-07-29,7.96
2018-08-05,8.68
2018-08-12,6.36
2018-08-19,2.9
2018-08-26,5.01
2018-09-02,6.73
2018-09-09,0.57
2018-09-16,-3.59
2018-09-23,-5.3
2018-09-30,-4.35
2018-10-07,-8.47
2018-10-14,-13.45
2018-10-21,-12.08
2018-10-28,-19.35
2018-11-04,-17.41
2018-11-11,-17.67
2018-11-18,-17.68
2018-11-25,-20.45
2018-12-02,-12.33
2018-12-09,-16.19
2018-12-16,-20.07
2018-12-23,-18.11
2018-12-30,-19.76
2019-01-06,-23.24
2019-01-13,-15.85
2019-01-20,-15.66
2019-01-27,-10.46
2019-02-03,-9.6
2019-02-10,-4.18
2019-02-17,-3.69
2019-02-24,-1.17
2019-03-03,-3.7
2019-03-10,-10.17
2019-03-17,-13.59
2019-03-24,-9.84
2019-03-31,-6.71
2019-04-07,-2.98
2019-04-14,-1.91
2019-04-21,-4.04
2019-04-28,-3.87
2019-05-05,-2.33
2019-05-12,-8.24
2019-05-19,-10.47
2019-05-26,-13.44
2019-06-02,-11.91
2019-06-09,-11.57
2019-06-16,-9.98
2019-06-23,-6.2
2019-06-30,-3.29
2019-07-07,-5.14
2019-07-14,-6.74
2019-07-21,-6.35
2019-07-28,-6.03
2019-08-04,-6.41
2019-08-11,-10.04
2019-08-18,-4.67
2019-08-25,-8.76
2019-09-01,-9.13
2019-09-08,-4.48
2019-09-15,-3.06
2019-09-22,-2.45
2019-09-29,-3.66
