Date,IT
2011-01-07,"1,386"
2011-01-14,"1,363"
2011-01-21,"1,376"
2011-01-28,"1,404"
2011-02-04,"1,387"
2011-02-11,"1,331"
2011-02-18,"1,367"
2011-02-25,"1,329"
2011-03-04,"1,353"
2011-03-11,"1,269"
2011-03-18,"1,274"
2011-03-25,"1,309"
2011-04-01,"1,360"
2011-04-08,"1,344"
2011-04-15,"1,363"
2011-04-22,"1,437"
2011-04-29,"1,389"
2011-05-06,"1,370"
2011-05-13,"1,410"
2011-05-20,"1,350"
2011-05-27,"1,327"
2011-06-03,"1,260"
2011-06-10,"1,219"
2011-06-17,"1,171"
2011-06-24,"1,231"
2011-07-01,"1,232"
2011-07-08,"1,248"
2011-07-15,"1,196"
2011-07-22,"1,225"
2011-07-29,"1,198"
2011-08-05,"1,096"
2011-08-12,993
2011-08-19,926
2011-08-26,967
2011-09-02,"1,027"
2011-09-09,"1,002"
2011-09-16,"1,034"
2011-09-23,985
2011-09-30,"1,065"
2011-10-07,"1,084"
2011-10-14,"1,135"
2011-10-21,"1,171"
2011-10-28,"1,180"
2011-11-04,"1,187"
2011-11-11,"1,144"
2011-11-18,"1,147"
2011-11-25,"1,109"
2011-12-02,"1,210"
2011-12-09,"1,171"
2011-12-16,"1,179"
2011-12-23,"1,186"
2011-12-30,"1,175"
2012-01-06,"1,194"
2012-01-13,"1,224"
2012-01-20,"1,269"
2012-01-27,"1,285"
2012-02-03,"1,290"
2012-02-10,"1,294"
2012-02-17,"1,345"
2012-02-24,"1,337"
2012-03-02,"1,357"
2012-03-09,"1,374"
2012-03-16,"1,384"
2012-03-23,"1,393"
2012-03-30,"1,373"
2012-04-06,"1,395"
2012-04-13,"1,361"
2012-04-20,"1,346"
2012-04-27,"1,366"
2012-05-04,"1,358"
2012-05-11,"1,309"
2012-05-18,"1,188"
2012-05-25,"1,213"
2012-06-01,"1,232"
2012-06-08,"1,248"
2012-06-15,"1,253"
2012-06-22,"1,247"
2012-06-29,"1,255"
2012-07-06,"1,249"
2012-07-13,"1,209"
2012-07-20,"1,212"
2012-07-27,"1,242"
2012-08-03,"1,255"
2012-08-10,"1,307"
2012-08-17,"1,294"
2012-08-24,"1,277"
2012-08-31,"1,267"
2012-09-07,"1,301"
2012-09-14,"1,349"
2012-09-21,"1,338"
2012-09-28,"1,331"
2012-10-05,"1,331"
2012-10-12,"1,275"
2012-10-19,"1,298"
2012-10-26,"1,283"
2012-11-02,"1,335"
2012-11-09,"1,345"
2012-11-16,"1,314"
2012-11-23,"1,381"
2012-11-30,"1,353"
2012-12-07,"1,372"
2012-12-14,"1,371"
2012-12-21,"1,331"
2012-12-28,"1,360"
2013-01-04,"1,382"
2013-01-11,"1,369"
2013-01-18,"1,338"
2013-01-25,"1,306"
2013-02-01,"1,308"
2013-02-08,"1,311"
2013-02-15,"1,342"
2013-02-22,"1,384"
2013-03-01,"1,391"
2013-03-08,"1,404"
2013-03-15,"1,396"
2013-03-22,"1,390"
2013-03-29,"1,424"
2013-04-05,"1,392"
2013-04-12,"1,415"
2013-04-19,"1,405"
2013-04-26,"1,427"
2013-05-03,"1,441"
2013-05-10,"1,408"
2013-05-17,"1,461"
2013-05-24,"1,446"
2013-05-31,"1,480"
2013-06-07,"1,403"
2013-06-14,"1,382"
2013-06-21,"1,335"
2013-06-28,"1,357"
2013-07-05,"1,303"
2013-07-12,"1,339"
