Date,MT
2011-01-07,1122
2011-01-14,1138
2011-01-21,1100
2011-01-28,1124
2011-02-04,1119
2011-02-11,1126
2011-02-18,1160
2011-02-25,1118
2011-03-04,1124
2011-03-11,1106
2011-03-18,1166
2011-03-25,1208
2011-04-01,1260
2011-04-08,1293
2011-04-15,1302
2011-04-22,1324
2011-04-29,1258
2011-05-06,1234
2011-05-13,1198
2011-05-20,1193
2011-05-27,1168
2011-06-03,1151
2011-06-10,1164
2011-06-17,1164
2011-06-24,1244
2011-07-01,1250
2011-07-08,1295
2011-07-15,1289
2011-07-22,1320
2011-07-29,1285
2011-08-05,1176
2011-08-12,1099
2011-08-19,1095
2011-08-26,1072
2011-09-02,1153
2011-09-09,1142
2011-09-16,1151
2011-09-23,979
2011-09-30,949
2011-10-07,948
2011-10-14,966
2011-10-21,935
2011-10-28,1046
2011-11-04,1016
2011-11-11,986
2011-11-18,987
2011-11-25,927
2011-12-02,1031
2011-12-09,998
2011-12-16,953
2011-12-23,963
2011-12-30,950
2012-01-06,970
2012-01-13,1014
2012-01-20,1071
2012-01-27,1091
2012-02-03,1114
2012-02-10,1137
2012-02-17,1107
2012-02-24,1135
2012-03-02,1140
2012-03-09,1100
2012-03-16,1080
2012-03-23,1048
2012-03-30,1045
2012-04-06,1036
2012-04-13,1064
2012-04-20,1035
2012-04-27,990
2012-05-04,1002
2012-05-11,948
2012-05-18,890
2012-05-25,903
2012-06-01,893
2012-06-08,918
2012-06-15,953
2012-06-22,927
2012-06-29,935
2012-07-06,945
2012-07-13,918
2012-07-20,925
2012-07-27,924
2012-08-03,925
2012-08-10,981
2012-08-17,993
2012-08-24,981
2012-08-31,977
2012-09-07,995
2012-09-14,1056
2012-09-21,1067
2012-09-28,1049
2012-10-05,1049
2012-10-12,1005
2012-10-19,999
2012-10-26,951
2012-11-02,946
2012-11-09,936
2012-11-16,903
2012-11-23,917
2012-11-30,942
2012-12-07,959
2012-12-14,965
2012-12-21,967
2012-12-28,982
2013-01-04,983
2013-01-11,973
2013-01-18,969
2013-01-25,954
2013-02-01,940
2013-02-08,936
2013-02-15,965
2013-02-22,956
2013-03-01,951
2013-03-08,943
2013-03-15,926
2013-03-22,903
2013-03-29,912
2013-04-05,850
2013-04-12,869
2013-04-19,829
2013-04-26,863
2013-05-03,895
2013-05-10,903
2013-05-17,908
2013-05-24,900
2013-05-31,905
2013-06-07,876
2013-06-14,871
2013-06-21,796
2013-06-28,817
2013-07-05,806
2013-07-12,846
2013-07-19,843
2013-07-26,877
2013-08-02,892
2013-08-09,862
2013-08-16,905
2013-08-23,864
2013-08-30,893
2013-09-06,919
2013-09-13,931
2013-09-20,955
2013-09-27,951
2013-10-04,920
2013-10-11,920
2013-10-18,937
2013-10-25,941
2013-11-01,939
2013-11-08,916
2013-11-15,913
2013-11-22,895
2013-11-29,907
2013-12-06,894
2013-12-13,891
2013-12-20,911
2013-12-27,944
2014-01-03,924
2014-01-10,899
2014-01-17,913
2014-01-24,908
2014-01-31,905
2014-02-07,892
2014-02-14,922
2014-02-21,932
2014-02-28,883
2014-03-07,900
2014-03-14,874
2014-03-21,888
2014-03-28,904
2014-04-04,906
2014-04-11,938
2014-04-18,919
2014-04-25,880
2014-05-02,898
2014-05-09,899
2014-05-16,925
2014-05-23,940
2014-05-30,927
2014-06-06,916
2014-06-13,939
2014-06-20,940
2014-06-27,965
2014-07-04,987
2014-07-11,993
2014-07-18,981
2014-07-25,1021
2014-08-01,1049
2014-08-08,1042
2014-08-15,1059
2014-08-22,1064
2014-08-29,1047
2014-09-05,1059
2014-09-12,1064
2014-09-19,1055
2014-09-26,1025
2014-10-03,974
2014-10-10,963
2014-10-17,977
2014-10-24,982
2014-10-31,968
2014-11-07,973
2014-11-14,970
2014-11-21,974
2014-11-28,974
2014-12-05,973
2014-12-12,940
2014-12-19,944
2014-12-26,960
2015-01-02,971
2015-01-09,993
2015-01-16,982
2015-01-23,1000
2015-01-30,982
2015-02-06,989
2015-02-13,982
2015-02-20,984
2015-02-27,994
2015-03-06,1006
2015-03-13,989
2015-03-20,995
2015-03-27,1028
2015-04-03,1024
2015-04-10,1053
2015-04-17,1063
2015-04-24,1084
2015-05-01,1083
2015-05-08,1084
2015-05-15,1085
2015-05-22,1088
2015-05-29,1080
2015-06-05,1031
2015-06-12,1045
2015-06-19,1038
2015-06-26,1064
2015-07-03,1064
2015-07-10,1021
2015-07-17,1013
2015-07-24,979
2015-07-31,963
2015-08-07,944
2015-08-14,945
2015-08-21,891
2015-08-28,923
2015-09-04,893
2015-09-11,944
2015-09-18,949
2015-09-25,903
2015-10-02,899
2015-10-09,941
2015-10-16,956
2015-10-23,943
2015-10-30,897
2015-11-06,895
2015-11-13,851
2015-11-20,857
2015-11-27,866
2015-12-04,864
2015-12-11,850
2015-12-18,854
2015-12-25,886
2016-01-01,863
2016-01-08,843
2016-01-15,799
2016-01-22,780
2016-01-29,826
2016-02-05,849
2016-02-12,835
2016-02-19,885
2016-02-26,894
2016-03-04,942
2016-03-11,965
2016-03-18,968
2016-03-25,941
2016-04-01,953
2016-04-08,988
2016-04-15,1052
2016-04-22,1059
2016-04-29,1054
2016-05-06,992
2016-05-13,951
2016-05-20,931
2016-05-27,936
2016-06-03,912
2016-06-10,955
2016-06-17,903
2016-06-24,888
2016-07-01,921
2016-07-08,922
2016-07-15,1003
2016-07-22,982
2016-07-29,984
2016-08-05,984
2016-08-12,987
2016-08-19,971
2016-08-26,967
2016-09-02,973
2016-09-09,996
2016-09-16,959
2016-09-23,960
2016-09-30,961
2016-10-07,937
2016-10-14,946
2016-10-21,969
2016-10-28,950
2016-11-04,959
2016-11-11,1015
2016-11-18,1022
2016-11-25,1041
2016-12-02,1024
2016-12-09,1113
2016-12-16,1084
2016-12-23,1094
2016-12-30,1082
2017-01-06,1091
2017-01-13,1164
2017-01-20,1154
2017-01-27,1142
2017-02-03,1125
2017-02-10,1106
2017-02-17,1138
2017-02-24,1113
2017-03-03,1122
2017-03-10,1110
2017-03-17,1132
2017-03-24,1094
2017-03-31,1118
2017-04-07,1080
2017-04-14,1051
2017-04-21,1049
2017-04-28,1058
2017-05-05,1063
2017-05-12,1076
2017-05-19,1073
2017-05-26,1125
2017-06-02,1111
2017-06-09,1124
2017-06-16,1113
2017-06-23,1108
2017-06-30,1184
2017-07-07,1203
2017-07-14,1224
2017-07-21,1224
2017-07-28,1257
2017-08-04,1280
2017-08-11,1234
2017-08-18,1253
2017-08-25,1253
2017-09-01,1265
2017-09-08,1238
2017-09-15,1191
2017-09-22,1142
2017-09-29,1168
2017-10-06,1168
2017-10-13,1210
2017-10-20,1238
2017-10-27,1228
2017-11-03,1206
2017-11-10,1191
2017-11-17,1159
2017-11-24,1165
2017-12-01,1179
2017-12-08,1155
2017-12-15,1185
2017-12-22,1173
2017-12-29,1205
2018-01-05,1247
2018-01-12,1302
2018-01-19,1286
2018-01-26,1305
2018-02-02,1260
2018-02-09,1197
2018-02-16,1200
2018-02-23,1203
2018-03-02,1161
2018-03-09,1145
2018-03-16,1128
2018-03-23,1091
2018-03-30,1109
2018-04-06,1079
2018-04-13,1068
2018-04-20,1116
2018-04-27,1103
2018-05-04,1163
2018-05-11,1173
2018-05-18,1176
2018-05-25,1103
2018-06-01,1106
2018-06-08,1144
2018-06-15,1114
2018-06-22,1032
2018-06-29,1011
2018-07-06,963
2018-07-13,963
2018-07-20,930
2018-07-27,996
2018-08-03,991
2018-08-10,1009
2018-08-17,974
2018-08-24,986
2018-08-31,1017
2018-09-07,1004
2018-09-14,998
2018-09-21,1023
2018-09-28,1019
2018-10-05,980
2018-10-12,911
2018-10-19,903
2018-10-26,855
2018-11-02,874
2018-11-09,874
2018-11-16,883
2018-11-23,875
2018-11-30,879
2018-12-07,885
2018-12-14,915
2018-12-21,898
2018-12-28,902
2019-01-04,903
2019-01-11,948
2019-01-18,950
2019-01-25,961
2019-02-01,984
2019-02-08,964
2019-02-15,959
2019-02-22,1004
2019-03-01,988
2019-03-08,943
2019-03-15,984
2019-03-22,960
2019-03-29,949
2019-04-05,1009
2019-04-12,1001
2019-04-19,984
2019-04-26,944
2019-05-03,927
2019-05-10,893
2019-05-17,873
2019-05-24,866
2019-05-31,868
2019-06-07,877
2019-06-14,906
2019-06-21,918
2019-06-28,918
2019-07-05,920
2019-07-12,893
2019-07-19,893
2019-07-26,871
2019-08-02,825
2019-08-09,812
2019-08-16,800
2019-08-23,797
2019-08-30,804
2019-09-06,817
2019-09-13,856
2019-09-20,857
2019-09-27,834
2019-10-04,814
2019-10-11,814
2019-10-18,813
2019-10-25,795
2019-11-01,773
2019-11-08,804
2019-11-15,796
2019-11-22,769
2019-11-29,783
2019-12-06,773
2019-12-13,806
2019-12-20,812
2019-12-27,817
2020-01-03,813
2020-01-10,789
2020-01-17,803
2020-01-24,795
2020-01-31,736
2020-02-07,779
2020-02-14,775
2020-02-21,746
2020-02-28,693
2020-03-06,687
2020-03-13,590
2020-03-20,481
2020-03-27,560
2020-04-03,568
2020-04-10,622
2020-04-17,632
2020-04-24,620
2020-05-01,645
2020-05-08,633
2020-05-15,604
2020-05-22,619
2020-05-29,641
2020-06-05,728
2020-06-12,677
2020-06-19,651
2020-06-26,615
2020-07-03,636
2020-07-10,634
2020-07-17,659
2020-07-24,687
2020-07-31,694
2020-08-07,728
2020-08-14,746
2020-08-21,693
2020-08-28,681
2020-09-04,675
2020-09-11,678
2020-09-18,691
2020-09-25,652
2020-10-02,667
2020-10-09,711
2020-10-16,717
2020-10-23,750
2020-10-30,700
2020-11-06,742
2020-11-13,765
2020-11-20,773
2020-11-27,793
2020-12-04,860
2020-12-11,894
2020-12-18,876
2020-12-25,866
2021-01-01,893
2021-01-08,990
2021-01-15,927
2021-01-22,932
2021-01-29,868
2021-02-05,912
2021-02-12,922
2021-02-19,923
2021-02-26,946
2021-03-05,993
2021-03-12,982
2021-03-19,977
2021-03-26,1029
2021-04-02,1047
2021-04-09,1128
2021-04-16,1164
2021-04-23,1247
2021-04-30,1297
2021-05-07,1363
2021-05-14,1329
2021-05-21,1296
2021-05-28,1281
2021-06-04,1264
2021-06-11,1260
2021-06-18,1228
2021-06-25,1268
2021-07-02,1234
2021-07-09,1193
2021-07-15,1252
