Date,KOSPI_TR
2011-01-07,2086.2
2011-01-14,2108.17
2011-01-21,2069.92
2011-01-28,2107.87
2011-02-04,2072.03
2011-02-11,1977.19
2011-02-18,2013.14
2011-02-25,1963.43
2011-03-04,2004.68
2011-03-11,1955.54
2011-03-18,1981.13
2011-03-25,2054.04
2011-04-01,2124.07
2011-04-08,2131.03
2011-04-15,2143.58
2011-04-22,2200.99
2011-04-29,2195.53
2011-05-06,2150.55
2011-05-13,2123.15
2011-05-20,2114.56
2011-05-27,2103.28
2011-06-03,2116.53
2011-06-10,2049.63
2011-06-17,2034.86
2011-06-24,2093.82
2011-07-01,2131.86
2011-07-08,2186.64
2011-07-15,2151.38
2011-07-22,2177.49
2011-07-29,2139.36
2011-08-05,1949.34
2011-08-12,1798.46
2011-08-19,1749.9
2011-08-26,1784.07
2011-09-02,1873.12
2011-09-09,1818.14
2011-09-16,1845.39
2011-09-23,1702.32
2011-09-30,1774.76
2011-10-07,1764.86
2011-10-14,1840.71
2011-10-21,1843.7
2011-10-28,1935.06
2011-11-04,1933.99
2011-11-11,1868.84
2011-11-18,1844.48
2011-11-25,1781.53
2011-12-02,1921.57
2011-12-09,1880.16
2011-12-16,1845.27
2011-12-23,1872.62
2011-12-30,1851.9
2012-01-06,1869.54
2012-01-13,1902.54
2012-01-20,1977.81
2012-01-27,1992.96
2012-02-03,2000.58
2012-02-10,2022.26
2012-02-17,2052.44
2012-02-24,2048.8
2012-03-02,2063.75
2012-03-09,2047.19
2012-03-16,2063.56
2012-03-23,2055.84
2012-03-30,2045.65
2012-04-06,2060.87
2012-04-13,2040.44
2012-04-20,2005.63
2012-04-27,2006.35
2012-05-04,2020.37
2012-05-11,1947.23
2012-05-18,1810.44
2012-05-25,1852.8
2012-06-01,1863.3
2012-06-08,1864.44
2012-06-15,1887.31
2012-06-22,1876.37
2012-06-29,1884
2012-07-06,1888.26
2012-07-13,1842.21
2012-07-20,1852.41
2012-07-27,1858.73
2012-08-03,1878.57
2012-08-10,1977.86
2012-08-17,1978.01
2012-08-24,1950.85
2012-08-31,1935.93
2012-09-07,1960.78
2012-09-14,2040.04
2012-09-21,2034.75
2012-09-28,2028.5
2012-10-05,2027.45
2012-10-12,1964.54
2012-10-19,1975.29
2012-10-26,1922.03
2012-11-02,1949.76
2012-11-09,1935.22
2012-11-16,1890.93
