OP Growth,Return,Year
82.68,723.79,2005
109.17,706.12,2005
466.39,632.5,2005
830.17,479.87,2005
112.17,440.72,2003
1735.17,435.1,2003
-0.81,415.68,2005
772.99,395.33,2005
71.55,391.91,2005
70.5,367.67,2005
-11.6,365.98,2005
34.34,336.07,2005
76.51,335.34,2005
-63.99,331.76,2005
72.28,316.63,2005
70.14,308.16,2003
9.6,307.03,2005
156.57,293.65,2005
198.05,285.71,2005
-80.16,283.49,2005
-32.54,282.04,2005
45.89,277.21,2005
44.17,276.32,2005
128.52,276.29,2005
353.42,273.33,2005
20.3,270.27,2005
-18.29,267.78,2005
56.11,261.27,2005
3549.37,259.37,2003
57.95,259.06,2005
194.21,257.4,2003
285.62,254.91,2005
2.68,254.4,2005
129.84,253.51,2005
16.21,252.54,2005
63.95,252.27,2005
350.22,246.37,2005
33.83,246.1,2003
91.06,240.71,2005
44.69,240.14,2003
318.65,231.24,2005
16.37,226.4,2005
42.29,225.11,2003
62.96,224.32,2012
73.86,223.36,2005
0.75,221.61,2005
-64.45,219.53,2005
-4.6,219.23,2003
-41.53,218.98,2005
-3.77,218.72,2003
16.89,218.14,2005
24.61,216.72,2005
-3.52,215.5,2005
208.81,214.81,2003
-11.14,214.06,2005
39.87,211.74,2005
117.23,210.55,2003
27.67,209.16,2003
31.54,208.57,2005
229.09,208.13,2014
189.25,206.15,2014
172.81,204.33,2005
51.41,204.11,2005
-28,203,2005
31.91,202.4,2005
93.2,201.79,2005
10.18,199.98,2005
32.21,199.32,2005
177.84,197.42,2005
70.57,197.11,2005
-11.07,196.85,2005
66.62,194.74,2003
42.78,194.04,2003
36.3,190.35,2005
2.04,190.06,2005
48.48,187.43,2005
63.2,185.71,2005
288.86,185.37,2011
217.03,183.41,2003
69.76,180.07,2003
-1.2,178.95,2005
27.38,177.88,2005
4.74,177.67,2005
11.99,177.58,2005
188.02,177.39,2005
47.97,175.8,2012
108.71,174.77,2005
97.07,174.55,2012
48.91,174.53,2005
27.96,173.42,2005
69.78,171.16,2013
117.29,170.16,2005
81.32,169.79,2005
9.35,166.47,2005
36.34,163.69,2005
7.12,163.25,2003
241.54,160.09,2005
