Date,KOSPI,KOSDAQ,Energy,Chemicals,Nonferrous Metals,Materials,Construction,Macinery,Shipbuilding,Capital Goods,Transportation,Automobiles,Consumer Durables,Hotels,Media,Retail,Consumer Staples,Healthcare,Banking,Securities,Insurance,Software,IT hardware,Semiconductors,IT home appliance,Display,Communication Services,Utilities
2011-01-07,2086.20 ,530.84 ,4437.93 ,4581.92 ,3391.91 ,3813.74 ,2658.76 ,2753.80 ,9553.11 ,785.23 ,2910.12 ,7613.51 ,1612.54 ,1443.25 ,370.61 ,2605.60 ,3317.27 ,1636.42 ,1890.68 ,1375.95 ,5422.35 ,212.47 ,194.38 ,2055.95 ,1068.50 ,1863.96 ,241.98 ,936.81 
2011-01-14,2108.17 ,535.20 ,4406.85 ,4678.21 ,3472.75 ,3742.83 ,2742.92 ,2788.85 ,10264.72 ,802.46 ,2903.24 ,7759.88 ,1578.63 ,1429.51 ,382.35 ,2548.65 ,3303.21 ,1633.03 ,1953.36 ,1459.88 ,5477.30 ,204.50 ,189.24 ,2087.84 ,1054.99 ,1803.81 ,235.25 ,914.14 
2011-01-21,2069.92 ,525.75 ,4442.66 ,4592.33 ,3345.47 ,3668.13 ,2658.74 ,2649.86 ,9919.78 ,778.02 ,2885.68 ,7219.76 ,1546.25 ,1341.86 ,366.41 ,2468.40 ,3209.58 ,1622.41 ,1836.11 ,1389.63 ,5519.60 ,201.12 ,183.81 ,2165.58 ,1092.62 ,1752.87 ,236.71 ,917.25 
2011-01-28,2107.87 ,527.46 ,4973.04 ,4780.50 ,3326.83 ,3686.06 ,2706.14 ,2658.33 ,10246.23 ,792.34 ,2883.25 ,7243.85 ,1535.08 ,1363.71 ,366.57 ,2520.90 ,3173.31 ,1603.17 ,1844.73 ,1410.27 ,5485.02 ,201.66 ,188.01 ,2254.31 ,1082.62 ,1779.15 ,231.71 ,913.49 
2011-02-04,2072.03 ,524.50 ,4904.71 ,4728.46 ,3259.91 ,3677.89 ,2634.85 ,2586.29 ,9971.54 ,786.83 ,2796.38 ,6950.06 ,1537.62 ,1360.38 ,358.35 ,2465.58 ,3159.31 ,1604.46 ,1830.92 ,1355.06 ,5588.87 ,197.43 ,190.03 ,2206.68 ,1060.51 ,1787.92 ,228.39 ,907.22 
2011-02-11,1977.19 ,517.73 ,4553.76 ,4424.87 ,3273.76 ,3766.05 ,2469.88 ,2494.80 ,8895.38 ,744.15 ,2726.09 ,6753.84 ,1450.14 ,1256.15 ,358.96 ,2276.13 ,3053.79 ,1555.35 ,1776.85 ,1292.84 ,5410.68 ,195.06 ,184.33 ,2073.05 ,1028.87 ,1751.84 ,224.61 ,879.36 
2011-02-18,2013.14 ,518.55 ,4497.31 ,4598.01 ,3392.87 ,3841.91 ,2450.51 ,2419.10 ,8809.36 ,729.99 ,2724.01 ,7012.19 ,1489.42 ,1289.35 ,359.02 ,2382.96 ,3071.81 ,1571.44 ,1783.39 ,1277.37 ,5586.43 ,199.14 ,185.96 ,2166.79 ,1054.44 ,1767.88 ,218.81 ,904.14 
2011-02-25,1963.43 ,509.33 ,4512.13 ,4400.63 ,3265.43 ,3648.31 ,2352.67 ,2334.85 ,8967.08 ,721.52 ,2530.96 ,6929.67 ,1475.51 ,1292.02 ,356.87 ,2241.65 ,3066.22 ,1550.32 ,1751.90 ,1238.76 ,5441.16 ,197.55 ,179.54 ,2088.90 ,1023.39 ,1749.88 ,221.11 ,874.02 
2011-03-04,2004.68 ,518.79 ,4591.78 ,4566.29 ,3240.68 ,3676.17 ,2372.04 ,2369.54 ,8879.06 ,730.81 ,2528.32 ,7366.89 ,1488.58 ,1334.75 ,359.84 ,2300.82 ,3107.07 ,1588.46 ,1827.64 ,1254.59 ,5707.58 ,201.48 ,182.67 ,2139.66 ,1010.91 ,1792.98 ,220.02 ,858.81 
2011-03-11,1955.54 ,518.55 ,4641.52 ,4546.08 ,3426.32 ,3539.88 ,2327.37 ,2348.57 ,8549.30 ,734.79 ,2504.18 ,7225.15 ,1489.14 ,1299.86 ,364.38 ,2346.95 ,3072.37 ,1583.60 ,1796.33 ,1226.28 ,5585.92 ,201.07 ,172.89 ,1969.24 ,943.60 ,1728.26 ,218.19 ,852.66 
2011-03-18,1981.13 ,494.79 ,5195.44 ,4742.74 ,3398.16 ,3901.15 ,2357.24 ,2328.32 ,9101.00 ,725.18 ,2366.26 ,7206.00 ,1454.46 ,1262.99 ,349.53 ,2242.75 ,2991.34 ,1519.69 ,1794.12 ,1202.80 ,5415.17 ,198.44 ,164.53 ,2025.55 ,916.53 ,1701.08 ,211.61 ,812.62 
2011-03-25,2054.04 ,514.57 ,5359.59 ,5000.26 ,3593.36 ,3941.20 ,2441.38 ,2407.86 ,9576.40 ,744.84 ,2518.82 ,7951.00 ,1529.81 ,1240.14 ,347.93 ,2279.50 ,3138.57 ,1583.40 ,1792.06 ,1220.24 ,5479.34 ,200.79 ,170.44 ,2080.06 ,964.18 ,1724.04 ,215.28 ,831.79 
2011-04-01,2121.01 ,532.06 ,5531.41 ,5198.70 ,3730.45 ,3974.39 ,2503.89 ,2512.37 ,9820.72 ,778.63 ,2633.60 ,8159.08 ,1561.10 ,1271.04 ,357.01 ,2447.20 ,3244.48 ,1643.14 ,1847.43 ,1273.06 ,5675.93 ,210.04 ,178.22 ,2157.15 ,978.07 ,1787.90 ,225.09 ,852.21 
