STD,Type
-99.91,Consensus
-88.23,Consensus
-74.71,Consensus
-55.96,Consensus
-49.13,Consensus
-48.61,Consensus
-47.53,Consensus
-45.76,Consensus
-45.32,Consensus
-44.83,Consensus
-40.71,Consensus
-38.68,Consensus
-38.52,Consensus
-38.37,Consensus
-38.29,Consensus
-36.02,Consensus
-33.50,Consensus
-30.39,Consensus
-29.50,Consensus
-27.59,Consensus
-27.39,Consensus
-26.24,Consensus
-26.21,Consensus
-23.62,Consensus
-21.46,Consensus
-20.19,Consensus
-19.87,Consensus
-19.86,Consensus
-18.88,Consensus
-18.74,Consensus
-18.62,Consensus
-18.29,Consensus
-18.11,Consensus
-18.08,Consensus
-18.02,Consensus
-16.63,Consensus
-16.39,Consensus
-16.38,Consensus
-15.11,Consensus
-14.83,Consensus
-14.70,Consensus
-12.84,Consensus
-12.82,Consensus
-12.74,Consensus
-12.19,Consensus
-11.99,Consensus
-11.97,Consensus
-11.72,Consensus
-11.37,Consensus
-11.34,Consensus
-11.28,Consensus
-10.53,Consensus
-10.25,Consensus
-10.19,Consensus
-9.68,Consensus
-9.59,Consensus
-9.36,Consensus
-9.35,Consensus
-8.98,Consensus
-8.83,Consensus
-8.56,Consensus
-7.91,Consensus
-7.56,Consensus
-7.23,Consensus
-7.06,Consensus
-6.56,Consensus
-6.06,Consensus
-5.51,Consensus
-5.06,Consensus
-4.78,Consensus
-4.64,Consensus
-4.27,Consensus
-4.14,Consensus
-4.10,Consensus
-3.98,Consensus
-3.60,Consensus
-3.22,Consensus
-3.11,Consensus
-3.05,Consensus
-2.97,Consensus
-2.90,Consensus
-2.81,Consensus
-2.58,Consensus
-2.10,Consensus
-2.06,Consensus
-1.45,Consensus
-0.58,Consensus
-0.44,Consensus
-0.23,Consensus
-0.12,Consensus
-0.03,Consensus
0.05,Consensus
0.19,Consensus
0.52,Consensus
0.61,Consensus
0.91,Consensus
0.94,Consensus
1.00,Consensus
1.07,Consensus
1.65,Consensus
1.86,Consensus
2.37,Consensus
2.49,Consensus
2.67,Consensus
2.76,Consensus
3.09,Consensus
3.21,Consensus
3.62,Consensus
3.75,Consensus
3.95,Consensus
4.16,Consensus
4.18,Consensus
5.55,Consensus
5.69,Consensus
6.18,Consensus
6.84,Consensus
7.10,Consensus
7.74,Consensus
8.09,Consensus
8.88,Consensus
9.05,Consensus
9.31,Consensus
