Date,Price,12MF_3M_Chg,12MF_1M_Chg,Return_3M,Return_6M
2014-12-30,26540,-1.17,-7.58,12.08,0.38
2015-01-02,26600,0.83,-5.44,16.56,0
2015-01-05,26660,0.93,-5.34,16.83,2.07
2015-01-06,25900,0.67,-4.15,12.51,-0.84
2015-01-07,26140,0.67,-3.76,12.48,1.16
2015-01-08,26280,2.03,0.18,16.28,1.47
2015-01-09,26280,2.78,0.92,16.28,0.46
2015-01-12,26320,3.72,1.44,19.1,2.49
2015-01-13,26780,3.72,1.46,20.85,4.28
2015-01-14,26900,3.76,1.5,19.34,4.59
2015-01-15,26680,3.45,1.5,18.58,1.06
2015-01-16,26320,3.18,1.18,18.03,-0.38
2015-01-19,26860,4.07,1.76,23.32,0
2015-01-20,27440,4.62,2.3,24.05,2.16
2015-01-21,27900,4.71,2.56,28.81,3.1
2015-01-22,27560,4.84,2.56,24.82,2.23
2015-01-23,27720,4.84,2.56,26.69,3.59
2015-01-26,27780,4.72,2.47,24.91,2.51
2015-01-27,28000,4.72,2.47,27.85,3.32
2015-01-28,27560,4.72,2.47,26.31,1.47
2015-01-29,27200,7.88,5.55,20.35,-1.88
2015-01-30,27300,8.57,5.13,15.58,-2.15
2015-02-02,27360,8.15,5.34,9.97,5.88
2015-02-03,27320,8.15,9.25,10.61,5.73
2015-02-04,27180,9.02,10.27,11.67,3.19
2015-02-05,27160,8.91,10.27,12.98,3.19
2015-02-06,27440,9.38,10.37,13.95,5.54
2015-02-09,27900,6.99,10.36,15.67,11.6
2015-02-10,27560,7.23,10.57,8.67,10.24
2015-02-11,27100,7.23,10.57,10.07,6.69
2015-02-12,26880,6.66,10.55,9.27,6.16
2015-02-13,27220,6.66,10.59,13.42,7.67
2015-02-16,27480,6.95,10.59,15.08,8.96
2015-02-17,27540,6.95,10.28,14.27,9.2
2015-02-23,27340,6.37,10.95,11.77,9.62
2015-02-24,27340,6.13,10.66,12.05,9.62
2015-02-25,27580,6.13,10.66,15.88,12.3
2015-02-26,27500,6.23,10.14,14.49,12.52
2015-02-27,27140,5.72,9.64,7.36,10.33
2015-03-02,28460,2.23,11.47,9.88,19.18
2015-03-03,28360,2.39,11.65,9.24,19.26
2015-03-04,28740,1.58,11.65,10.54,18.76
2015-03-05,28440,1.58,11.65,9.22,18.4
2015-03-06,28840,1.38,11.64,10.75,20.07
2015-03-09,28400,1.39,11.49,5.26,18.23
2015-03-10,28420,1.31,11.66,7.9,18.32
2015-03-11,29480,2.54,13.01,12.95,23.66
2015-03-12,28940,3.16,14.12,12.52,20.48
2015-03-13,29140,4.09,15.15,13.3,21.32
2015-03-16,29400,4.62,15.46,14.93,21.89
2015-03-17,29940,4.62,15.85,18.25,22.1
2015-03-18,30060,4.62,15.85,18.72,24.21
2015-03-19,29400,4.62,15.85,10.69,21.49
2015-03-20,29280,4.62,15.85,10.24,20.99
2015-03-23,29340,4.94,17.02,9.56,26.36
2015-03-24,29520,5.17,17,9.9,28.35
2015-03-25,29700,5.72,17.61,10.57,28.46
2015-03-26,28420,5.8,17.69,5.1,19.92
2015-03-27,28420,6.37,17.76,5.1,19.92
2015-03-30,28560,7.69,19.18,7.61,20.61
2015-03-31,28820,7.98,19.5,8.59,21.71
2015-04-01,28460,9.24,20.9,7.23,23.1
2015-04-02,28680,8,19.41,7.82,25.68
2015-04-03,28680,7.9,19.48,7.82,25.68
2015-04-06,29400,8.08,19.85,13.51,27.71
2015-04-07,29240,10.5,22.53,11.86,25.82
2015-04-08,29580,11.1,21.41,12.56,30.88
2015-04-09,29660,12.17,21.68,12.86,31.24
2015-04-10,29800,12,21.68,13.39,34.84
2015-04-13,29580,9.03,21.05,10.46,33.48
2015-04-14,29480,9.03,21,9.59,30.79
2015-04-15,28920,9.03,21.01,8.4,28.53
2015-04-16,29540,8.47,21.38,12.23,32.47
2015-04-17,29000,8.48,21.39,10.18,33.15
2015-04-20,28600,8.76,20.43,4.23,29.29
2015-04-21,28880,8.76,20.32,3.51,33.33
2015-04-22,29220,8.76,20.32,6.02,32.34
2015-04-23,29020,7.8,20.32,4.69,32.63
2015-04-24,28200,7.8,20.32,1.73,26.8
2015-04-27,27900,7.1,20.43,-0.36,27.4
2015-04-28,27320,7.1,20.43,-0.87,25.21
2015-04-29,27700,6.7,16.47,1.84,22.57
2015-04-30,28200,4.97,15.22,3.3,19.39
2015-05-04,28000,4.88,14.95,3.02,15.04
