Date,Samsung_KOSPI200,Samsung
2015-01-02,100,100
2015-01-09,98,99
2015-01-16,100,99
2015-01-23,102,104
2015-01-30,101,103
2015-02-06,101,103
2015-02-13,100,102
2015-02-20,101,104
2015-02-27,99,102
2015-03-06,104,108
2015-03-13,106,110
2015-03-20,104,110
2015-03-27,102,107
2015-04-03,103,108
2015-04-10,105,112
2015-04-17,99,109
2015-04-24,96,106
2015-05-01,97,106
2015-05-08,94,101
2015-05-15,93,100
2015-05-22,93,102
2015-05-29,92,98
2015-06-05,97,101
2015-06-12,93,96
2015-06-19,93,95
2015-06-26,92,96
2015-07-03,92,95
2015-07-10,94,95
2015-07-17,96,98
2015-07-24,92,92
2015-07-31,89,89
2015-08-07,87,85
2015-08-14,88,86
2015-08-21,89,83
2015-08-28,86,81
2015-09-04,91,85
2015-09-11,88,84
2015-09-18,91,89
2015-09-25,88,84
2015-10-02,87,84
2015-10-09,95,95
2015-10-16,94,95
2015-10-23,95,97
2015-10-30,101,103
2015-11-06,98,101
2015-11-13,99,98
2015-11-20,97,97
2015-11-27,98,100
2015-12-04,96,95
2015-12-11,98,97
2015-12-18,97,96
2015-12-25,96,97
2016-01-01,96,95
2016-01-08,92,88
2016-01-15,91,85
2016-01-22,94,88
2016-01-29,91,86
2016-02-05,92,88
2016-02-12,92,85
2016-02-19,93,89
2016-02-26,92,88
2016-03-04,93,91
2016-03-11,95,94
2016-03-18,96,96
2016-03-25,97,97
2016-04-01,97,96
2016-04-08,95,94
2016-04-15,96,98
2016-04-22,95,96
2016-04-29,93,94
2016-05-06,98,97
2016-05-13,96,94
2016-05-20,98,95
2016-05-27,98,96
2016-06-03,104,104
2016-06-10,104,106
2016-06-17,109,107
2016-06-24,108,105
2016-07-01,109,110
2016-07-08,110,110
2016-07-15,111,114
2016-07-22,112,114
2016-07-29,113,116
2016-08-05,114,117
2016-08-12,111,116
2016-08-19,119,126
2016-08-26,116,121
2016-09-02,115,120
2016-09-09,113,118
2016-09-16,112,115
2016-09-23,112,118
2016-09-30,114,120
2016-10-07,121,128
2016-10-14,114,119
2016-10-21,114,119
2016-10-28,116,121
2016-11-04,119,122
2016-11-11,117,120
2016-11-18,117,119
2016-11-25,120,124
2016-12-02,126,130
2016-12-09,126,134
2016-12-16,126,135
2016-12-23,125,134
2016-12-30,128,135
