Date,Price
2015-01-02,26600
2015-01-09,26280
2015-01-16,26320
2015-01-23,27720
2015-01-30,27300
2015-02-06,27440
2015-02-13,27220
2015-02-20,27540
2015-02-27,27140
2015-03-06,28840
2015-03-13,29140
2015-03-20,29280
2015-03-27,28420
2015-04-03,28680
2015-04-10,29800
2015-04-17,29000
2015-04-24,28200
2015-05-01,28200
2015-05-08,26760
2015-05-15,26520
2015-05-22,27000
2015-05-29,26140
2015-06-05,26820
2015-06-12,25540
2015-06-19,25320
2015-06-26,25560
2015-07-03,25360
2015-07-10,25180
2015-07-17,26100
2015-07-24,24580
2015-07-31,23700
2015-08-07,22720
2015-08-14,22800
2015-08-21,22020
2015-08-28,21620
2015-09-04,22580
2015-09-11,22300
2015-09-18,23800
2015-09-25,22240
2015-10-02,22380
2015-10-09,25400
2015-10-16,25300
2015-10-23,25780
2015-10-30,27440
2015-11-06,26760
2015-11-13,26000
2015-11-20,25700
2015-11-27,26540
2015-12-04,25380
2015-12-11,25680
2015-12-18,25560
2015-12-25,25700
2016-01-01,25200
2016-01-08,23420
2016-01-15,22640
2016-01-22,23360
2016-01-29,23000
2016-02-05,23280
2016-02-12,22600
2016-02-19,23800
2016-02-26,23440
2016-03-04,24300
2016-03-11,24980
2016-03-18,25460
2016-03-25,25760
2016-04-01,25580
2016-04-08,24920
2016-04-15,26000
2016-04-22,25600
2016-04-29,24900
2016-05-06,25800
2016-05-13,25060
2016-05-20,25380
2016-05-27,25640
2016-06-03,27540
2016-06-10,28120
2016-06-17,28520
2016-06-24,28000
2016-07-01,29320
2016-07-08,29200
2016-07-15,30360
2016-07-22,30320
2016-07-29,30780
2016-08-05,31220
2016-08-12,30900
2016-08-19,33500
2016-08-26,32240
2016-09-02,31940
2016-09-09,31500
2016-09-16,30540
2016-09-23,31420
2016-09-30,31960
2016-10-07,34120
2016-10-14,31540
2016-10-21,31780
2016-10-28,32280
2016-11-04,32540
2016-11-11,31960
2016-11-18,31720
2016-11-25,33000
2016-12-02,34540
2016-12-09,35600
2016-12-16,35860
2016-12-23,35640
2016-12-30,36040
2017-01-06,36200
2017-01-13,37460
2017-01-20,37200
2017-01-27,39900
2017-02-03,39460
2017-02-10,38360
2017-02-17,37860
2017-02-24,38220
2017-03-03,39620
2017-03-10,40180
2017-03-17,42400
2017-03-24,41500
2017-03-31,41200
2017-04-07,41600
