Month,Return
Jan,-8.19
Feb,-12.03
Mar,3.93
Apr,-18.61
May,0.89
Jun,18.8
Jul,-14.03
Aug,-2.46
Sep,-16.18
Oct,-16.1
Nov,0.89
Dec,-4.94
Jan,22.45
Feb,-2.3
Mar,-9.49
Apr,10.35
May,6.03
Jun,-5.84
Jul,-9
Aug,0.66
Sep,-16.8
Oct,12.12
Nov,20.61
Dec,9.76
Jan,7.84
Feb,5.09
Mar,9.22
Apr,-5.94
May,-5.45
Jun,-12.5
Jul,-3.33
Aug,1.7
Sep,-12.22
Oct,1.93
Nov,7.67
Dec,-13.42
Jan,-5.69
Feb,-4.18
Mar,-6.9
Apr,7.73
May,5.68
Jun,5.76
Jul,6.51
Aug,5.14
Sep,-8.16
Oct,12.16
Nov,2.69
Dec,1.82
Jan,4.66
Feb,2.36
Mar,-0.33
Apr,-1.22
May,-6.84
Jun,-3.76
Jul,-6.42
Aug,9.28
Sep,3.71
Oct,0.33
Nov,5.18
Dec,2.03
Jan,4.11
Feb,9.74
Mar,-4.52
Apr,-4.97
May,6.46
Jun,4.04
Jul,11.23
Aug,-2.52
Sep,13.84
Oct,-5.15
Nov,13.74
Dec,7.82
Jan,1.48
Feb,-0.94
Mar,-0.87
Apr,6.64
May,-7.19
Jun,-1.71
Jul,0.21
Aug,4.23
Sep,1.99
Oct,-0.5
Nov,5.61
Dec,1.63
Jan,-5.17
Feb,3.36
Mar,2.48
Apr,6.17
May,10.29
Jun,4.92
Jul,10.88
Aug,-3.11
Sep,6.41
Oct,6.08
Nov,-7.13
Dec,3.4
Jan,-14.36
Feb,4.5
Mar,-0.45
Apr,7.27
May,1.45
Jun,-9.56
Jul,-4.79
Aug,-5.93
Sep,-1.78
Oct,-23.13
Nov,7.7
Dec,4.5
Jan,3.35
Feb,-2.78
Mar,13.47
Apr,14.36
May,4.29
Jun,-0.42
Jul,12.03
Aug,2.22
Sep,4.05
Oct,-5.53
Nov,-1.59
Dec,8.17
Jan,-4.19
Feb,-2.61
Mar,6.16
Apr,2.43
May,-5.76
Jun,4.65
Jul,3.59
Aug,-0.94
Sep,6.4
Oct,0.88
Nov,1.15
Dec,7.68
Jan,0.91
Feb,-8
Mar,8.63
Apr,5.8
May,-2.28
Jun,0.33
Jul,1.85
Aug,-11.86
Sep,-4.02
Oct,7.88
Nov,-4.25
Dec,-1.66
Jan,7.12
Feb,3.33
Mar,-0.8
Apr,-1.59
May,-6.99
Jun,0.22
Jul,1.51
Aug,1.23
Sep,4.17
Oct,-4.22
Nov,1.75
Dec,4.41
Jan,-1.76
Feb,4.47
Mar,-1.07
Apr,-2.04
May,1.89
Jun,-6.19
Jul,2.72
Aug,0.49
Sep,3.66
Oct,1.66
Nov,-0.34
Dec,-1.64
Jan,-3.05
Feb,3.29
Mar,0.28
Apr,-0.97
May,1.69
Jun,0.36
Jul,3.69
Aug,0.32
Sep,-2.34
Oct,-2.76
Nov,2.86
Dec,-3.29
Jan,1.76
Feb,1.71
Mar,2.78
Apr,4.78
May,-1.3
Jun,-1.92
Jul,-2.12
Aug,-4.37
Sep,1.3
Oct,3.4
Nov,-1.85
Dec,-1.54
Jan,-2.76
Feb,0.24
Mar,4.13
Apr,-0.04
May,-0.54
Jun,0.16
Jul,3.06
Aug,0.92
Sep,0.19
Oct,-1.73
Nov,-1.78
Dec,2.43
Jan,2.03
Feb,0.39
Mar,3.28
Apr,1.95
May,6.44
Jun,2.05
Jul,0.46
Aug,-1.64
Sep,1.26
Oct,5.39
Nov,-1.02
Dec,-1.86
Jan,4.01
Feb,-5.72
Mar,0.76
Apr,2.84
May,-3.67
Jun,-5.34
Jul,-1.33
Aug,1.2
Sep,1.73
Oct,-13.37
Nov,4.08
Dec,-3.19
Jan,8.03
Feb,0.83
Mar,-2.49
Apr,2.94
May,-7.34
Jun,3.99
Jul,-4.98
Aug,-3.48
Sep,4.84
Oct,0.99
Nov,-0.23
Dec,5.25
Jan,-3.58
Feb,-8.72
Mar,-11.69
Apr,13.38
May,4.21
Jun,3.88
Jul,6.69
Aug,3.41
Sep,-1.1
Oct,-2.61
Nov,14.3
Dec,10.89
Jan,5.52
Feb,-4.06
Mar,1.61
Apr,2.54
May,1.78
Jun,3.39
Jul,-2.86
Aug,-0.1
Sep,-2.4
Oct,-2.93
Nov,0.21
