Ticker Symbol,Proper Name,ETF Issuer,Asset Class,ETF Launch,ETF Last Expense Ratio,ETF AUM,ETF Focus,ETF Niche,ETF Segment Name,ETF Strategy ,ETF Strategy Cluster,ETF Strategy Group,ETF Selection Criteria,ETF Weighting Scheme
AAA,AXS First Priority CLO Bond,AXS Investments,Fixed Income,09/09/2020,25.0,"7,409,160.0",Investment Grade,Floating Rate,"Fixed Income: U.S. - Corporate, Bank Loans Investment Grade Floating Rate",Active,Active,Active,Proprietary,Proprietary
AAAU,Goldman Sachs Physical Gold,Goldman Sachs,Commodities,07/26/2018,18.0,"566,455,000.0",Gold,Physically Held,Commodities: Precious Metals Gold,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares,Equity,07/20/2010,100.0,"29,284,533.6",Total Market,Broad-based,Equity: Global Ex-U.S.  -  Total Market,Active,Active,Active,Proprietary,Proprietary
AAPB,GraniteShares 1.75x Long AAPL Daily,GraniteShares,Equity,08/09/2022,115.0,"5,169,927.2",Information Technology,Technology Hardware Storage & Peripheral,Leveraged Equity: U.S. Technology Hardware Storage & Peripheral,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AAPD,Direxion Daily AAPL Bear 1X Shares,Rafferty Asset Management,Equity,08/09/2022,107.0,"23,432,645.8",Information Technology,Technology Hardware Storage & Peripheral,Inverse Equity: U.S. Technology Hardware Storage & Peripheral,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AAPU,Direxion Daily AAPL Bull 1.5X Shares,Rafferty Asset Management,Equity,08/09/2022,106.0,"43,819,227.4",Information Technology,Technology Hardware Storage & Peripheral,Leveraged Equity: U.S. Technology Hardware Storage & Peripheral,Vanilla,Vanilla,Vanilla,Single Asset,Single Asset
AAXJ,iShares MSCI All Country Asia ex Japan,Blackrock,Equity,08/13/2008,69.0,"2,604,670,200.0",Total Market,Broad-based,Equity: Asia-Pacific Ex-Japan  -  Total Market,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ABEQ,Absolute Select Value,Absolute Investment Advisers LLC,Equity,01/21/2020,85.0,"95,846,000.0",Total Market,Value,Equity: U.S.  -  Total Market Value,Active,Active,Active,Proprietary,Proprietary
ACES,ALPS Clean Energy,SS&C,Equity,06/29/2018,55.0,"430,870,583.3",Theme,Renewable Energy,Equity: U.S. Renewable Energy,Vanilla,Vanilla,Vanilla,Market Cap,Market Cap
ACIO,Aptus Collared Investment Opportunity,Aptus Capital Advisors,Equity,07/10/2019,79.0,"563,598,750.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
ACSI,American Customer Satisfaction,Exponential ETFs,Equity,11/01/2016,65.0,"71,951,000.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Fundamental,Bottom-up,Strategic,Proprietary,Tiered
ACTV,LeaderShares Activist Leaders,Redwood,Equity,10/27/2020,75.0,"101,663,500.0",Total Market,Broad-based,Equity: Global  -  Total Market,Active,Active,Active,Proprietary,Proprietary
ACVF,American Conservative Values,Ridgeline Research LLC,Equity,10/29/2020,75.0,"62,460,000.0",Large Cap,Broad-based,Equity: U.S.  -  Large Cap,Active,Active,Active,Proprietary,Proprietary
