Date,BTC=,BLOK.K,LEGR.O,BITQ.K,BKCH.O,BLCN.O,DAPP.O,CRPT.K,KOIN.K,SATO.K,BLKC.K
2022-01-03,45974.41,40.6,44.06,21.24,88.52,42.92,18.68,17.36,43.3448,21.3,23.5266
2022-01-04,46197.43,40.46,44.25,21.01,88.36,42.76,18.43,17.35,43.4069,21.1028,23.3982
2022-01-05,43609,38.16,43.71,19.42,81.22,41.34,16.95,16.05,42.7296,20.0945,22.5213
2022-01-06,43126.75,37.74,43.8307,19.15,79.72,41.34,16.63,15.9,42.6931,19.6219,22.2296
2022-01-07,41887.36,37.36,44.22,18.87,78.76,41.28,16.24,15.69,42.72,19.421,22.0671
2022-01-10,41718.17,36.83,44.24,18.53,77.36,41.02,15.92,15.365,42.4934,19.1,21.7838
2022-01-11,42684.75,38.02,44.8,19.53,82.56,41.95,16.84,16.11,43.1444,20.08,22.477
2022-01-12,43789.07,38.57,45.01,19.87,83.76,42.41,17.12,16.33,43.4416,20.594,22.9589
2022-01-13,42829.75,37.31,44.8,18.94,79.36,41.59,16.31,15.52,42.9136,19.665,22.142
2022-01-14,43307.27,37.55,44.9,19.18,80.44,41.49,16.4555,15.67,42.8394,19.6897,22.2027
2022-01-18,42386.93,35.6,44.09,17.64,75.32,40.22,15.2,14.7,42.2,18.5918,21.2507
2022-01-19,41723.67,35.02,43.76,17.36,72.84,39.55,14.9,14.38,42.02,18.1688,20.9208
2022-01-20,41314.31,34.89,43.56,17.38,73.56,39.61,14.98,14.35,41.98,18.1231,20.8549
2022-01-21,36684.13,32.14,42.74,15.26,64.52,38.05,13.04,12.67,41.4363,16.2446,19.3965
2022-01-24,36814.44,32.05,42.53,15.11,63.32,37.79,12.86,12.63,41.06,16.1,19.21
2022-01-25,36585.53,31.63,42.44,14.97,62.64,37.43,12.69,12.46,40.6257,15.96,19
2022-01-26,36335.29,31.46,42.28,14.86,62.48,36.99,12.64,12.43,40.4385,16.172,19.11
2022-01-27,36190.72,30.04,41.98,13.8,58.32,36.25,11.84,11.53,40.08,15.03,18.2581
2022-01-28,37807.76,31.05,42.37,14.5,61.44,36.76,12.43,12.2,40.5315,15.79,18.9202
2022-01-31,38429.82,32.92,43.2468,15.71,66.12,38.25,13.54,13.29,41.5626,16.8786,19.8812
2022-02-01,38805.11,33.87,43.61,16.42,69.24,38.881,14.28,13.91,41.906,17.5596,20.3518
2022-02-02,36905.14,32.73,43.84,15.44,65.48,38.58,13.22,12.96,41.8673,16.708,19.8137
2022-02-03,36963.75,31.58,43.19,14.9,62.32,37.65,12.62,12.38,41.1127,16.0045,19.0441
2022-02-04,40645.75,33.26,43.4,16.2,67.92,38.51,13.84,13.44,41.5351,17.2725,20.113
2022-02-07,44104.75,34.28,43.46,17.13,72.52,38.46,14.67,14.2,41.51,18.5,20.91
2022-02-08,44225.82,34.66,43.94,17.34,72.96,39.01,14.72,14.37,41.74,18.65,21.1078
2022-02-09,44480.56,35.97,44.65,18.29,76.92,40.25,15.69,15.06,42.5996,19.5443,21.8537
2022-02-10,43761.28,35.21,44.02,17.9,75.08,39.77,15.3,14.69,41.9612,19.15,21.3621
2022-02-11,42556.98,33.72,43.18,16.94,70.52,38.57,14.54,13.98,41.4983,18.1938,20.5198
2022-02-14,42239.9,33.33,42.79,16.67,69.22,38.27,14.39,13.82,41.189,17.8011,20.2675
2022-02-15,43984.49,35.04,43.6,17.89,74.16,39.54,15.48,14.67,41.7594,19.07,21.2728
2022-02-16,44085.75,34.6,43.45,17.7,73.4,39.54,15.22,14.4,41.6734,18.94,21.2289
2022-02-17,40687.77,32.69,42.61,16.36,67.96,38.07,14.1,13.4,40.8124,17.6,20.0162
2022-02-18,39978.1,32.07,42.4,15.83,66.16,37.65,13.58,12.91,40.6163,16.8217,19.4615
2022-02-22,37884.94,31.22,41.69,15.23,62.76,36.8,13.11,12.44,40.103,16.1579,18.8808
2022-02-23,37526.39,30.59,41.08,14.65,60.68,36.16,12.52,12.03,39.5709,15.7,18.3576
2022-02-24,38399.91,31.59,40.41,15.51,64.2,36.76,13.4,12.73,39.5875,16.32,18.9416
2022-02-25,38998.74,32.41,41.36,15.76,64.08,37.54,13.75,13.13,40.4349,16.649,19.259
2022-02-28,41642.64,33.44,40.41,16.6,67.32,37.44,14.48,13.92,40.11,17.4164,19.7928
2022-03-01,43891.25,33.49,39.39,16.77,68.24,37,14.48,13.82,39.6585,17.4201,19.7689
2022-03-02,44079.43,33.88,39.64,17,69.16,37.62,14.64,13.97,39.98,17.5551,19.9522
2022-03-03,42092.83,32.53,39.19,16,64.72,37.01,13.63,13.08,39.235,16.5874,19.1002
2022-03-04,39395.75,30.9,38.25,14.779,59.72,35.37,12.62,12.21,38.5542,15.5475,18.2754
2022-03-07,37822.36,29.56,37.15,14.09,56.72,34.18,11.99,11.54,37.0735,14.72,17.4133
2022-03-08,38492.87,30.02,37.31,14.44,57.8,34.58,12.4266,11.92,37.0596,15.1871,17.7355
2022-03-09,41887.34,32.05,38.61,15.92,62.96,36.03,13.72,13.12,38.35,16.4584,18.8755
2022-03-10,39331.75,31.46,37.8,15.67,61.84,35.26,13.53,12.89,37.92,16.0356,18.4502
2022-03-11,38849.26,30.2,37.66,14.63,57.04,34.03,12.6,12.09,37.3468,15.154,17.7143
2022-03-14,38711.31,29.45,37.81,13.78,53.7848,33.55,11.82,11.46,37.25,14.5018,17.19
2022-03-15,39448.75,30.32,38.27,14.18,55.2,34.35,12.15,11.83,37.8045,14.967,17.542
2022-03-16,41255.19,32.1,39.76,15.5,61.22,36.5,13.32,12.96,39.5125,16.0057,18.6266
2022-03-17,40717.87,32.92,39.97,15.9732,64.04,36.72,13.94,13.4273,39.565,16.5348,19.0278
2022-03-18,41760.5,34.08,40.53,16.75,67.72,37.72,14.78,14.19,40.48,17.2788,19.71
2022-03-21,41153.25,33.57,40.1,16.37,66.8,37.26,14.4,13.84,39.87,16.9258,19.4617
2022-03-22,42597.82,34.72,40.72,17.61,70.32,38.2228,15.29,14.67,40.6002,17.7405,20.16
2022-03-23,42376.83,34.18,39.97,17.42,70.2,37.98,15.13,14.43,39.9743,17.5756,19.9408
2022-03-24,43906,35.33,40.285,18.14,73.56,38.49,15.8,14.95,40.1,18.43,20.7257
2022-03-25,44569.91,34.81,40.16,17.72,71.16,38.14,15.37,14.64,39.94,18.1503,20.4956
