Date,A373220,A006400,A066570,A361610,A336260,A001820,A005680,A008700,A009470,A033180,A009150,A011070,A020150,A336370,A000670,A007660,A033240,A097520,A007810,A004770,A207940,A068270,A302440,A326030,A000100,A128940,A008930,A137310,A145720,A006280,A069620,A009420,A185750,A019170,A003090,A005250,A003850,A249420,A003000,A003520,A000640,A001060,A011000,A170900,A033270,A008490,A007570,A102460,A003220,A005500,A016580,A009290,A271980,A000020,A001360,A004310,A002210,A000230,A044820,A028050,A000720,A003410,A002380,A006360,A047040,A375500,A010780,A009240,A294870,A013890,A012630,A183190,A053690,A108670,A003070,A004980,A002990,A028100,A090350,A013580,A007210,A009410,A002460,A025750,A034020,A241560,A064350,A006260,A001440,A010120,A042670,A017800,A267260,A267270,A298040,A002900,A009160,A004380,A000490,A210540,A017040,A034220,A108320,A011690,A352820,A030000,A214320,A079160,A363280,A095720,A005930,A000660,A402340,A000990,A042700,A195870,A281820,A011930,A092220,A077500,A003160,A032830,A000810,A005830,A001450,A088350,A000880,A003690,A082640,A000370,A085620,A010130,A014820,A008730,A103140,A016590,A115390,A008350,A001780,A081000,A213500,A004560,A032560,A014160,A012800,A028260,A003550,A034730,A012450,A047810,A047050,A001040,A272210,A012750,A079550,A000150,A004800,A001740,A001120,A383800,A122900,A005440,A002020,A011760,A010820,A282330,A007070,A139480,A023530,A004170,A069960,A057050,A071840,A035420,A035720,A259960,A018260,A036570,A377300,A251270,A307950,A012510,A181710,A192080,A096770,A010950,A267250,A078930,A112610,A006120,A002960,A011200,A003490,A086280,A028670,A180640,A000120,A020560,A005880,A002320,A015760,A052690,A036460,A016710,A004690,A051600,A018670,A071320,A130660,A105560,A055550,A086790,A323410,A316140,A024110,A029780,A138930,A175330,A139130,A010050,A123890,A034830,A026890,A005380,A000270,A012330,A018880,A161390,A204320,A011210,A003620,A005850,A073240,A000240,A002350,A004490,A007340,A064960,A060980,A023800,A009320,A012200,A329180,A009540,A010140,A010620,A042660,A082740,A017960,A075580,A138040,A006800,A008560,A071050,A005940,A016360,A039490,A023590,A003540,A003530,A003470,A001510,A001500,A001200,A005490,A004020,A001230,A016380,A001430,A084010,A000970,A008970,A017670,A030200,A006490,A033780,A271560,A097950,A004990,A006040,A004370,A026960,A007310,A000080,A005300,A001800,A280360,A003230,A001680,A005610,A049770,A145990,A005180,A017810,A003580,A136490,A011150,A035250,A008770,A114090,A039130,A032350,A031440,A051900,A090430,A383220,A021240,A002790,A081660,A111770,A298020,A161890,A192820,A007700,A009970,A031430,A105630,A020000,A284740,A192400,A241590,A009450,A018250,A093050,A453340,A226320,A005390,A024720,A006060,A079980,A009270,A002700,A051910,A003670,A009830,A011170,A005070,A011790,A011780,A005420,A014680,A010060,A298050,A005950,A093370,A004000,A285130,A120110,A006650,A178920,A000210,A069260,A003240,A000070,A005690,A014830,A004430,A025860,A007690,A138490,A452260,A298000,A001340,A012610,A006890,A002360
2018-04-12,,189500,106500,,,51300,12050,3240,18100,22629,115500,126500,34850,,870000,3291,17700,11867,8910,3945,558388,260061,,,39805,493071,84271,,75600,214500,205500,34500,103481,11300,21600,40100,8858,24452,19283,8980,133500,40161,4031,116748,30250,33150,42950,25207,18237,47700,25050,9720,47200,12700,4475,7300,22200,13784,34800,18450,41303,4540,360000,34400,5560,,28250,149000,,,45924,9750,9370,80500,9524,5830,10550,13900,7860,17200,4175,5300,14700,1515,11437,31250,16700,68500,1170,60500,6081,51152,33987,86816,,1610,4260,20500,7530,18300,3430,25100,39150,16580,,18600,63900,66761,,5414,49000,84000,,14400,5400,18650,21950,1655,1270,7630,4850,113500,263500,58800,35800,5960,38950,9745,8290,7410,4990,461000,44950,17800,37950,70000,25300,1105,3970,22683,16400,10950,8209,910,1070,138500,85600,292000,27300,47150,23750,149932,,98100,45100,106500,149037,5520,26400,,9450,15150,51300,18400,3720,179000,35300,276500,250000,399500,90800,104500,74300,151400,24000,,235000,394500,,137500,,54700,34272,63000,204500,117500,85300,61400,15540,41800,337000,4790,21754,174500,4890,21850,135000,14904,2502,21712,34200,27100,50600,7970,111500,44550,97978,79900,3250,59200,45000,42900,,,15950,35100,10300,6050,11350,593,4939,2955,4530,152000,31650,251500,11200,50900,46600,52800,15654,22500,6120,18200,12250,31850,33700,38650,48450,6350,3510,8080,,129000,7250,46624,27650,4124,6110,3102,13850,8950,4130,80000,13900,35700,111500,22350,13300,2995,4130,1083,10400,3405,321500,50000,9570,33750,24900,9290,10400,1263,45800,27500,10850,99400,125000,324500,62900,65100,309000,27200,772000,21100,159800,25050,181000,80000,25000,124000,206000,87400,61400,14700,5480,16050,2700,26850,100000,24350,111360,16650,143000,1249000,323500,,90300,139678,24900,27000,,80100,143115,43350,55000,25200,22400,32800,39200,21000,9700,63300,43350,27900,,59400,1345,47350,8050,11400,2760,1620,378000,39703,28837,407673,15654,37750,97400,19401,71700,168500,,11145,9830,69900,71057,64600,283000,45050,80000,24800,1243000,92100,23050,49600,29750,13100,47722,7520,,,3385,6100,4700,1400
2018-04-13,,192500,106500,,,51200,11850,3275,17650,25179,118500,123000,36200,,851000,3283,17050,11933,8650,3945,563329,252656,,,40688,492159,83906,,78000,214500,210500,34750,103876,11800,21950,40200,9188,24953,19350,9290,134000,40161,4224,124106,30700,34950,45450,25550,18237,47450,25200,9700,49600,12950,4763,7380,23000,13601,36450,18550,41546,4540,357000,34450,5510,,27800,148000,,,44456,9750,9210,80000,9477,5730,10850,14000,7890,17300,4170,5175,14650,1530,11284,31250,17100,67500,1193,60200,6274,53619,34074,87067,,1680,4225,20000,7420,18750,3580,24950,39200,16980,,18450,63200,67305,,5374,49800,84200,,14050,5475,18850,22250,1655,1290,7570,4855,114500,264500,59500,35750,5930,39650,9660,8300,7340,5160,451000,44400,17400,37250,72400,25600,1080,3955,23214,16250,11000,8531,895,1060,138500,84500,293500,26950,47300,23500,148517,,99300,45900,105500,147854,5420,26200,,9350,14800,51400,18400,3725,176500,34000,280000,256500,398000,90200,104000,73200,152800,24100,,237500,387500,,138500,,54000,34219,57100,201000,116000,84300,60000,15611,41850,336000,4740,22014,175500,5050,22050,144000,15009,2567,21760,34500,28450,49500,7980,110000,45000,95423,78300,3330,59900,45450,43450,,,15900,35150,10550,6120,11500,591,4848,2940,4610,150500,31250,250000,10950,50800,45600,51900,15623,22250,6370,17900,12150,31900,33700,39450,47550,6510,3475,8260,,129000,7194,46875,27600,4079,5950,3129,13750,9100,4140,84200,14600,35700,114500,23500,13100,3040,4270,1097,10550,3540,327500,50000,9490,35550,24800,9270,10400,1326,44800,26700,11150,99500,128000,326000,63700,63000,306000,27200,761000,20600,159200,24900,180500,79100,24900,124000,205500,88500,61400,14700,5740,16050,2715,26100,104000,24800,115755,17872,143000,1276000,335000,,90000,146662,25100,27550,,81600,151447,42800,54800,25400,22250,32850,40700,21200,9650,62000,44350,27900,,61100,1305,48000,7950,11200,2840,1615,373000,39703,28449,403863,15790,37400,95400,19596,71800,164000,,11235,10100,67600,71057,65800,287500,45200,80200,24350,1228000,91800,24050,49100,29150,13250,46793,7580,,,3525,6120,4700,1400
2018-04-16,,192500,104500,,,57400,11800,3255,18500,24298,126000,131000,36750,,849000,3367,17300,12567,9050,4040,560364,257447,,,39725,478488,82540,,77400,215500,203000,35450,105061,11500,22000,41250,9324,26137,19923,9560,134000,39810,4261,123125,30500,35400,45350,25207,18412,48600,25500,9980,49550,12900,4053,7360,23750,13875,38200,18500,41059,4450,353000,34250,5570,,28100,147000,,,44194,9760,9110,78900,9486,5710,10850,14450,7860,17200,4265,5125,14500,1530,11437,31400,17700,66500,1230,61200,6209,55353,33727,84307,,1684,4235,19800,7380,17700,3670,24950,40050,18000,,19100,63700,67759,,5541,50340,84000,,14150,5500,18450,22250,1655,1315,7890,4815,114500,264500,59800,35550,6170,38850,9403,8340,7480,5240,444000,45250,17100,37300,73300,25100,1085,3890,23069,16850,11050,8902,916,1050,140000,83600,292000,26500,46650,23400,147103,,99500,46700,106000,145489,5430,26700,,9390,14750,51000,18300,3725,175000,33550,278000,256500,396500,89500,103500,74100,150200,23400,,233500,376500,,133500,,55200,34637,59000,202500,117500,85200,59900,15492,41600,334000,4600,21463,176500,5070,22200,145000,15625,2544,21474,33750,31850,48950,7960,109500,46350,93654,79400,3370,59800,45650,43400,,,15800,34950,10550,6080,11700,594,4856,2920,4650,153000,31350,245500,11100,50900,45800,51900,15528,21900,6420,17950,12400,31700,34450,39450,47650,6490,3545,8250,,125000,7026,45722,26800,4027,5890,3119,13550,9070,4130,84800,14450,35500,112500,23600,13200,3010,4225,1088,10500,3510,325000,49850,9230,35400,24700,9190,10450,1335,45100,26850,11350,99100,128500,324500,63800,62500,307000,27000,781000,20700,158500,24950,181000,89300,24500,124000,207500,92300,61300,14800,5780,16200,2745,26450,105500,26700,117221,18505,144500,1277000,338000,,89900,146662,25700,28350,,81000,156348,43800,55000,27700,21950,32800,41000,21200,11050,62600,46350,28150,,62300,1325,47750,8110,10950,2930,1645,365000,39281,27722,388623,17147,37250,93300,19245,70800,161000,,11416,10050,66200,71390,64400,272000,46050,78400,25000,1234000,94800,23700,50500,28600,14150,47180,7570,,,3480,6030,4670,1390
2018-04-17,,193000,105000,,,58700,11900,3675,21000,23139,128000,136500,36950,,850000,3385,17300,12567,8970,3980,544551,252656,,,40448,469374,81082,,77900,214000,200500,35950,105061,11750,21850,41100,9249,26228,19721,9420,135000,39153,4111,124106,30150,34950,45050,25305,19114,48400,25500,9890,48700,12550,3985,7300,22800,13875,38200,17950,39454,4420,359500,33850,5680,,28950,124500,,,44666,9850,9570,79200,9467,5670,10800,14350,7860,17300,4300,5000,14600,1540,11590,31200,17650,67300,1243,63400,6266,56620,33251,87067,,1726,4250,20650,7420,18750,3590,25750,39200,18340,,19050,65200,68938,,5493,49980,82800,,14100,5500,18750,22800,1635,1345,7940,4845,113500,263000,60500,36050,6110,38650,9403,8460,7500,5250,437500,45250,17100,37400,73300,25100,1085,3940,24179,16800,11100,9025,916,1065,139000,84300,290500,26450,46100,22650,148989,,101500,45750,107500,145489,5400,26550,,9220,14800,51200,18200,3710,174500,33700,273000,253500,396000,89500,104500,75000,149600,23600,,236500,383000,,134000,,52500,34219,61800,198500,117000,85500,59800,15468,41100,334500,4575,21852,188000,5080,22500,146500,15775,2549,21474,34550,32300,48500,7830,107000,46050,94342,79600,3435,59000,45450,43650,,,15700,35150,10400,6010,11650,598,4782,2910,4600,157500,31450,248500,11250,51100,45900,52600,15528,21850,6270,17950,12450,32100,34400,38750,47550,6760,3670,8360,,122000,6885,44719,26300,4057,5770,3021,13500,9010,4060,84200,14350,35950,111000,23350,13300,3020,4240,1088,10400,3535,333000,50100,9180,36000,24650,9250,10500,1322,44700,27150,11500,99100,128000,321500,63100,66000,313000,26650,790000,20800,159800,25100,186500,90400,24750,124000,211500,92600,61200,14500,7510,16000,2760,27100,103500,27000,114290,18686,149000,1306000,338500,,88300,144666,25600,28600,,80400,153897,42950,54900,26900,22050,32950,41300,21700,10875,61400,46350,28250,,62300,1325,48050,8340,11350,2825,1650,368500,40126,27916,391004,17509,37950,96000,20024,72100,162000,,11643,9990,69200,70723,66000,278500,48000,78300,25500,1240000,97700,23550,51700,31100,14150,46328,7590,,,3475,6080,4680,1440
2018-04-18,,192000,104000,,,61000,11800,3480,20250,19012,128000,135000,36150,,847000,3349,18150,12333,8880,3945,532692,247864,,,38200,458437,79078,,79200,209500,196500,34250,101901,10850,20100,39150,9414,24816,18947,9100,130000,38409,4138,118710,29050,34250,43450,25403,18807,48100,24550,9770,47150,12350,3980,7090,21600,13692,38400,18050,43054,4730,371500,35300,5990,,29600,122000,,,45295,11100,9720,80100,9658,6110,11500,14750,7910,17100,4435,5050,15000,1580,12279,31300,18200,71600,1253,63900,6509,59622,33511,89576,,1738,4200,20500,7790,18750,3810,26050,39150,18940,,18850,64600,68485,,5644,51360,84600,,14250,5425,18800,22450,1625,1340,8250,4910,113000,265500,60900,36400,6160,40100,9617,8770,7550,5360,431500,45000,17000,37350,71900,24950,1090,4050,23600,16600,11500,9066,931,1100,140500,84700,293000,26650,46800,22750,151346,,100500,45600,108500,145489,5440,26600,,9360,14600,51400,18450,3910,177500,35300,274000,259500,407500,90800,105000,75600,150400,23900,,237000,384500,,134500,,55900,34272,61000,199000,116500,85000,61400,15729,40800,335500,4815,22306,180000,5170,23100,149500,15895,2623,22760,34700,31750,49000,7790,107500,45500,92868,78400,3390,58900,46100,44150,,,15800,35100,10400,6030,11700,601,4806,2920,4560,158500,31700,248500,11450,50900,46000,52800,15607,22250,6290,17950,12300,32200,33650,38750,47750,7060,3490,8400,,122000,6876,44468,26850,4294,5760,3021,13800,9350,4150,84800,14750,36600,113500,23250,13550,3140,4510,1106,10600,3695,349500,51800,9550,32400,25200,9300,10450,1408,44400,27150,13750,100500,129000,322500,63500,66300,315500,26800,779000,21100,160200,24600,190000,89800,25000,127000,219500,92600,61200,14300,7410,16250,2790,27800,102500,26600,114779,18188,151000,1300000,345500,,88000,146662,25800,28650,,82900,152427,42950,54900,25900,22050,32400,42200,23300,10525,59500,46250,27600,,62900,1345,53000,8700,11300,3090,1635,376000,36465,28837,393385,17509,38200,95700,19752,72000,162000,,12005,9900,70000,69055,67600,280500,48300,81700,25700,1244000,97100,23550,53100,31100,16300,46173,7760,,,3495,6230,4700,1430
2018-04-19,,189500,106000,,,60300,11750,3405,18850,19569,124000,136500,36050,,848000,3323,17850,12033,8740,3865,501066,232182,,,38682,447045,76254,,78000,209000,186000,32000,99136,10300,20100,39150,9474,23405,18240,8780,128000,37314,3956,115767,28100,33700,41900,25697,18369,45850,23500,9610,45400,12150,3774,6660,19950,13601,38300,18700,48308,5140,374000,36900,6320,,30450,119000,,,46186,12500,10000,82300,10232,7510,11800,16100,8370,18600,4410,5525,15600,1640,12547,32050,18200,74200,1372,65500,6630,69358,36715,94092,,2028,4240,19900,8330,19800,4790,25400,40400,18280,,18750,65700,67124,,5652,52780,87900,,14250,5475,18950,22050,1625,1345,8350,4900,110500,267000,59900,35950,6050,40100,9532,8580,7490,5320,429000,44450,16900,39600,72200,24550,1100,4255,23600,17050,12150,9767,931,1130,139000,85000,293000,26100,45800,23650,150403,,96700,43250,111500,148446,5470,27500,,9370,14700,51000,18600,3985,171500,34650,268000,256500,389000,90300,105000,76100,147600,23300,,230500,378000,,129500,,57600,33385,59400,198000,116000,83400,61400,15848,40700,334500,4955,21657,175500,5330,22550,150500,15775,2698,23188,34700,33700,50800,7890,108000,48450,92671,77300,3550,60000,46050,45000,,,15750,35000,10400,6100,11650,597,4914,2995,4580,158000,31200,243000,11300,48700,45900,52700,16097,22100,6090,17800,12150,32000,33500,38950,49450,7310,3395,8600,,120500,7026,45020,26900,4368,5920,3125,13450,9430,4085,84300,14850,36200,117000,23500,13500,3140,4530,1106,10500,3690,355000,54300,10200,32850,25550,9930,11300,1789,44400,26850,12200,100500,121500,320500,63700,66800,312000,27050,775000,20900,160400,24500,189000,93000,24900,129500,219500,90600,61300,14400,7190,16600,2800,27600,102000,26400,110871,19591,146500,1276000,341000,,86000,142671,25000,28300,,82200,149976,44750,54900,24900,22600,33200,42300,24300,10900,58900,45600,27250,,62500,1310,54900,8760,11500,3200,1615,376000,35761,28256,382432,17509,37600,96800,19362,71600,164000,,11960,9780,69900,68388,66200,273000,48450,82700,26200,1276000,102000,19650,52600,30700,18900,45708,7750,,,3515,5960,4730,1450
2018-04-20,,186000,109000,,,62200,11900,3420,19000,18873,122000,132500,35400,,857000,3434,17800,12100,8900,3835,500078,234360,,,38602,448867,76345,,77500,217000,190000,32000,98741,10450,20550,39450,9474,23587,18375,9040,128500,37358,4036,113804,28150,34000,42750,25452,18588,45700,23450,9820,45500,12300,3820,6750,19650,13692,38600,18100,49038,5050,375000,37150,6280,,30400,120000,,,47654,12800,10050,81400,10184,7520,11800,15650,8370,17800,4390,5425,15600,1675,12929,32300,18500,73700,1376,67000,6679,68691,37797,92838,,2160,4265,19900,8890,21600,4845,25100,40350,18040,,19050,67000,67940,,5756,51620,84400,,14500,5350,18800,21400,1660,1360,8350,5030,111500,269000,60400,36450,6100,41250,9660,8320,7420,5350,441000,44700,16650,39500,76800,23650,1150,4260,22973,16850,12000,10303,951,1145,136500,84600,294000,26200,45200,23650,150403,,97400,43400,109000,150812,5510,27100,,9390,14900,51400,18700,4210,177000,34400,267000,264000,395000,91200,106000,76700,145600,23000,,243000,369000,,128500,,54800,32550,60600,199000,117000,82200,60700,16133,42650,336000,4895,21625,175000,5380,22950,155000,15745,2730,23379,35800,35750,50000,7920,110000,49750,94342,78000,3640,60500,45400,44000,,,16050,35000,10350,6130,11700,600,4923,3025,4650,160000,31350,243500,11150,48850,45200,52900,16065,22700,6090,17750,12200,32500,33500,39600,50100,7300,3445,8570,,121500,7054,44418,26850,4406,6030,3152,13500,9390,4060,82600,14800,36200,116000,23400,13400,3130,4520,1116,10500,3680,349500,54300,10200,33600,26200,9810,12500,1939,45000,26950,12800,99300,126000,321500,65400,66600,315500,27200,782000,20750,161200,24600,187000,92000,25550,129000,220000,90800,61700,14500,7050,16500,2830,28750,102500,26700,110871,19546,151000,1278000,338000,,87900,142172,25300,28700,,80900,150466,44250,54800,24900,22400,35200,42300,23100,10775,59400,43850,28400,,61700,1340,53600,8820,12200,2990,1640,372500,35198,28595,389575,17509,37400,94800,19596,71800,161500,,12322,9600,70000,68722,67600,274500,48000,82800,26100,1277000,105000,19750,53900,30300,17750,45940,7630,,,3575,5920,4760,1455
2018-04-23,,188000,104500,,,69400,12650,3285,18900,21609,123500,130500,35750,,853000,3469,18450,11900,8900,3665,467464,218242,,,37077,417424,72609,,76400,215000,183500,30200,94397,10400,19750,38600,8797,22950,17264,8620,126000,36964,3876,111352,27650,34350,41050,24030,18281,44350,22750,9510,43300,12250,3673,6600,19000,13784,37350,17450,49719,4940,376000,37250,6090,,30850,120500,,,47706,13000,10100,81200,10328,8150,11800,16600,8850,18250,4205,5675,15800,1645,13006,32200,19950,75300,1381,69100,6615,65424,37797,91834,,2354,4325,19600,8570,20750,4630,24900,39700,18400,,18950,65500,67577,,5803,51900,84400,,13600,5300,18600,21350,1625,1325,8130,4945,114500,268500,62700,37600,6080,41050,9617,8250,7450,5340,440500,44350,16850,38800,81000,23450,1145,4250,22200,16700,11900,10385,945,1120,136000,84000,295500,25200,43800,23550,151817,,98400,42450,113000,153177,5530,27700,,9320,14800,51100,20300,4070,186500,34900,266500,257500,387500,90400,105000,75000,147000,22200,,240000,360500,,127500,,53500,32133,59900,201000,115500,82600,60900,16204,42650,335000,5190,22208,177000,5430,24500,155500,15324,2763,23950,36700,36800,52800,7990,110500,51200,92671,79800,3790,60800,46100,47200,,,16600,35400,10350,6140,11900,597,4947,2995,4355,159500,31350,243500,11300,48700,45900,53100,15749,22400,6040,17650,12250,32250,33250,40600,49800,7340,3400,9530,,120500,7054,42914,26050,4413,5900,3152,13500,9230,4065,83100,14700,35800,116000,22800,13400,3140,4415,1125,10600,3660,350000,55700,10400,34050,26750,9950,12750,1885,45200,27150,13850,98500,124500,332000,65500,66000,329000,27150,786000,21200,167500,24400,186000,90100,25900,127000,215500,93100,62000,14350,7170,16600,2830,28750,104000,25600,109894,18777,153000,1267000,333000,,88300,141174,25500,28950,,80200,148506,46550,55000,25400,22800,34500,42600,22600,11025,59400,43600,27850,,59400,1315,52200,8800,13200,3465,1630,372500,35808,28498,382908,17509,38900,96400,18700,71900,166500,,12187,9670,68600,70723,69700,268500,49500,83500,26050,1263000,103000,19100,55500,29350,17650,47722,7600,,,3535,5830,4815,1450
2018-04-24,,182500,102000,,,60300,12450,3305,17700,18780,117000,125000,34600,,854000,3678,17650,11700,8700,3740,468453,216500,,,37157,419247,72245,,79000,215500,185000,30500,92817,10100,20000,38700,9038,22858,17500,8560,126000,37051,3918,110861,27550,34600,40900,24324,17974,45100,22650,9540,43500,12000,3660,6510,18550,13966,37800,17750,50303,4830,387500,38150,6220,,31100,121500,,,49122,12800,10100,81300,10519,7650,12000,15800,8950,19100,4420,5700,15700,1645,12929,31700,20100,75600,1409,67200,6886,64157,38317,90579,,2185,4280,19000,8220,21100,4270,24750,39250,19880,,18850,66900,67850,,5756,50460,82100,,13600,5275,18650,20850,1640,1345,8050,4875,117500,269000,62700,37550,6250,41100,9788,8410,7600,5450,442000,45300,16950,38500,81000,23400,1145,4325,22635,16850,12200,9767,943,1160,136000,83200,293000,25400,44100,24050,154646,,99200,42600,112500,152586,5520,27500,,9350,15100,51000,20250,4180,181500,35350,270000,248500,387500,90900,105500,74200,145000,23000,,244000,360000,,129500,,53900,32707,61500,199500,115000,82700,60600,15753,41600,335500,5040,22208,175500,5380,25550,155000,15565,2707,24283,36950,34750,53500,7990,108000,49500,91688,80200,3690,61300,46900,47900,,,16750,35800,10450,6250,11950,590,5055,3045,4460,162500,31400,245000,11650,48350,45400,52600,15970,21350,6180,17600,12250,32400,32950,34550,49400,7290,3400,9700,,117500,7082,42964,26350,4346,5860,3142,13650,9550,4135,87200,15400,36500,118000,22750,13600,3180,4535,1134,10950,3765,354000,55600,10150,33450,26650,10700,13250,1817,44700,27250,14000,98000,127500,340500,65800,66500,326000,27650,786000,21750,165200,24250,189500,92200,25600,130000,225000,91800,63900,14450,6930,16800,2835,29550,107500,27400,110871,19184,156500,1267000,338500,,90700,144666,25100,29900,,81000,153407,46250,54800,25400,22850,35050,42800,23400,10800,59000,45550,28200,,59800,1300,58200,8680,13550,3265,1620,374500,35245,28013,387194,17509,38650,94900,18310,71700,167000,,11915,9570,69600,70056,69700,270000,46050,84500,26150,1264000,104500,18200,54500,29000,16650,51441,7620,,,3465,5840,4825,1455
2018-04-25,,176000,100000,,,61000,12200,3310,17150,18827,117500,117500,33800,,840000,3785,17200,11433,8610,3710,472900,218678,,,36836,415145,71425,,77900,210000,186000,29950,93212,10050,20050,38500,9038,22676,17600,8530,126500,36832,3961,111352,27650,34050,41200,24569,18369,46050,22300,9440,42900,11850,3605,6490,18100,13647,40650,17050,48600,4820,385000,37000,6090,,30050,122500,,,48493,12700,10150,78800,10136,7430,12300,16200,8710,18950,4200,5725,15450,1645,12891,31300,19500,74700,1399,67100,6551,62889,38187,86314,,2160,4295,18700,8090,19100,4125,24700,38500,22500,,19200,67500,69845,,5795,50400,82400,,13450,5275,18150,21150,1600,1390,7920,4870,117000,271500,63100,38300,6220,40300,9788,8420,7560,5450,427000,45050,16650,37500,82000,23350,1155,4255,22345,16850,11950,9437,965,1145,135000,82100,293500,25050,44300,22650,150403,,98600,41650,111500,147854,5480,26450,,9410,14950,51000,19950,5430,185500,34550,269000,256500,396500,97200,107000,75300,148600,23100,,243000,354000,,131000,,51900,32185,61000,193500,110000,80500,60200,15018,41050,334500,4900,22338,176500,5250,24700,152000,15264,2637,24188,36250,35000,54300,7990,110000,48750,91295,80900,3780,60500,46500,46750,,,16600,36750,10350,6120,12050,593,5287,3040,4290,164000,31350,244000,11050,47650,42300,53000,15623,21300,6100,17700,12150,32200,32450,32200,49250,7160,3340,9360,,112500,6951,41661,25000,4413,6100,2946,13950,9440,4070,86600,15050,36050,116000,22500,13400,3155,4485,1125,10900,3725,359000,54500,10000,33600,25900,10450,12850,1717,45300,27200,14400,97700,125000,340000,64900,66600,327500,27200,772000,21400,163700,24300,188000,93500,26250,129000,238000,91700,64900,14850,6470,16700,2820,29450,106000,27500,109894,17781,152500,1223000,334500,,90200,141673,24600,30600,,81900,150957,44800,54700,26800,22450,35050,44400,24300,10725,59900,44350,28400,,60300,1310,58000,8600,13650,3010,1680,352500,35714,27529,383860,17509,37550,91900,17843,70800,158000,,11688,9590,67800,70056,68700,266000,44250,83900,26150,1270000,101000,19500,54500,28550,16750,51441,7900,,,3485,5790,4820,1435
