Date,MKF500,Value,Growth,KOSPI200
2001-01-06,"1,131.12","1,141.80","1,131.39",73.15
2001-01-13,"1,164.66","1,157.34","1,159.32",74.04
2001-01-20,"1,250.57","1,200.56","1,303.95",78.60
2001-01-27,"1,200.55","1,203.95","1,227.61",74.64
2001-02-03,"1,234.64","1,228.21","1,296.25",76.70
2001-02-10,"1,205.78","1,223.27","1,252.91",74.91
2001-02-17,"1,238.17","1,274.08","1,308.97",76.08
2001-02-24,"1,186.03","1,291.25","1,222.20",72.90
2001-03-03,"1,122.23","1,225.78","1,149.77",69.84
2001-03-10,"1,142.16","1,235.38","1,185.43",70.55
2001-03-17,"1,082.35","1,163.94","1,151.55",67.10
2001-03-24,"1,084.88","1,158.03","1,183.38",67.01
2001-03-31,"1,054.45","1,111.82","1,161.67",65.16
2001-04-07,"1,021.10","1,084.84","1,103.82",63.02
2001-04-14,"1,038.91","1,096.37","1,146.91",64.25
2001-04-21,"1,125.34","1,161.72","1,251.62",69.62
2001-04-28,"1,130.20","1,170.93","1,247.34",69.67
2001-05-05,"1,197.05","1,240.64","1,294.55",73.51
2001-05-12,"1,193.17","1,263.86","1,294.82",72.95
2001-05-19,"1,235.35","1,331.55","1,295.33",75.25
2001-05-26,"1,269.66","1,460.14","1,319.86",77.81
2001-06-02,"1,227.37","1,432.80","1,277.21",75.34
2001-06-09,"1,256.55","1,463.48","1,318.47",77.19
2001-06-16,"1,249.81","1,521.63","1,292.86",76.35
2001-06-23,"1,199.19","1,494.83","1,222.36",73.59
2001-06-30,"1,195.93","1,493.21","1,202.91",73.20
2001-07-07,"1,156.79","1,451.11","1,161.69",71.18
2001-07-14,"1,094.84","1,367.47","1,090.49",67.49
2001-07-21,"1,068.05","1,297.73","1,092.96",66.31
2001-07-28,"1,078.67","1,311.45","1,125.18",66.96
2001-08-04,"1,138.78","1,379.21","1,193.14",70.46
2001-08-11,"1,106.70","1,386.03","1,137.88",68.52
2001-08-18,"1,150.48","1,474.75","1,168.91",71.56
2001-08-25,"1,127.81","1,428.39","1,139.14",70.26
2001-09-01,"1,070.56","1,324.86","1,100.51",67.42
2001-09-08,"1,095.13","1,379.63","1,117.54",68.50
2001-09-15,944.28,"1,187.94",960.33,59.73
2001-09-22,909.76,"1,215.60",879.16,58.23
2001-09-29,929.42,"1,250.85",892.28,58.91
2001-10-06,974.36,"1,298.35",930.74,61.82
2001-10-13,"1,013.06","1,323.25","1,010.43",63.59
2001-10-20,"1,040.48","1,371.48","1,039.42",64.98
2001-10-27,"1,077.87","1,398.81","1,079.56",67.09
2001-11-03,"1,091.39","1,416.25","1,093.33",68.09
2001-11-10,"1,153.98","1,471.74","1,159.83",71.60
2001-11-17,"1,221.15","1,550.37","1,210.32",76.11
2001-11-24,"1,292.68","1,651.83","1,275.01",80.55
2001-12-01,"1,296.11","1,732.06","1,279.52",80.03
