Date,MKF500,Value,Growth,KOSPI200
2001-01-05,100.00,100.00,100.00,100.00
2001-01-12,102.97,101.36,102.47,101.22
2001-01-19,110.56,105.15,115.25,107.45
2001-01-26,106.14,105.44,108.50,102.04
2001-02-02,109.15,107.57,114.57,104.85
2001-02-09,106.60,107.14,110.74,102.41
2001-02-16,109.46,111.59,115.70,104.01
2001-02-23,104.85,113.09,108.03,99.66
2001-03-02,99.21,107.36,101.62,95.48
2001-03-09,100.98,108.20,104.78,96.45
2001-03-16,95.69,101.94,101.78,91.73
2001-03-23,95.91,101.42,104.60,91.61
2001-03-30,93.22,97.37,102.68,89.08
2001-04-06,90.27,95.01,97.56,86.15
2001-04-13,91.85,96.02,101.37,87.83
2001-04-20,99.49,101.74,110.63,95.17
2001-04-27,99.92,102.55,110.25,95.24
2001-05-04,105.83,108.66,114.42,100.49
2001-05-11,105.49,110.69,114.45,99.73
2001-05-18,109.21,116.62,114.49,102.87
2001-05-25,112.25,127.88,116.66,106.37
2001-06-01,108.51,125.49,112.89,102.99
2001-06-08,111.09,128.17,116.54,105.52
2001-06-15,110.49,133.27,114.27,104.37
2001-06-22,106.02,130.92,108.04,100.60
2001-06-29,105.73,130.78,106.32,100.07
2001-07-06,102.27,127.09,102.68,97.31
2001-07-13,96.79,119.76,96.38,92.26
2001-07-20,94.42,113.66,96.60,90.65
2001-07-27,95.36,114.86,99.45,91.54
2001-08-03,100.68,120.79,105.46,96.32
2001-08-10,97.84,121.39,100.57,93.67
2001-08-17,101.71,129.16,103.32,97.83
2001-08-24,99.71,125.10,100.68,96.05
2001-08-31,94.65,116.03,97.27,92.17
2001-09-07,96.82,120.83,98.78,93.64
2001-09-14,83.48,104.04,84.88,81.65
2001-09-21,80.43,106.46,77.71,79.60
2001-09-28,82.17,109.55,78.87,80.53
2001-10-05,86.14,113.71,82.27,84.51
2001-10-12,89.56,115.89,89.31,86.93
2001-10-19,91.99,120.12,91.87,88.83
2001-10-26,95.29,122.51,95.42,91.72
2001-11-02,96.49,124.04,96.64,93.08
2001-11-09,102.02,128.90,102.51,97.88
2001-11-16,107.96,135.78,106.98,104.05
2001-11-23,114.28,144.67,112.69,110.12
2001-11-30,114.59,151.70,113.09,109.41
2001-12-07,126.30,161.55,131.41,120.64
2001-12-14,119.78,157.70,125.89,113.06
2001-12-21,115.56,149.27,121.58,109.95
2001-12-28,124.95,158.57,131.84,118.89
2002-01-04,135.16,167.65,145.52,128.83
2002-01-11,131.44,172.50,140.52,124.35
2002-01-18,127.85,167.28,136.16,121.16
